name,type,address,city,state,phone,keyword,is_bar,source
Silver DePizza,Pizza,928 Market St,Sacramento,CA,(530) 605-5556,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver Grill,Grill,4717 Pine St,Sacramento,CA,(916) 946-3937,silver,True,CA_restaurants_enriched_20260428_0340.csv
Silver DelBistro,Bistro,7432 Mission St,Fresno,CA,(559) 665-1586,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DelSeafood,Seafood,7623 Wilshire Blvd,Fresno,CA,(559) 839-9551,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver Seafood,Seafood,4079 Market St,Fresno,CA,(559) 397-3484,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DelBar & Grill,Bar & Grill,1516 Sunset Blvd,Fresno,CA,(559) 331-5385,silver,True,CA_restaurants_enriched_20260428_0340.csv
Silver DelDiner,Diner,1133 Washington Blvd,Fresno,CA,(559) 259-3463,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver Coffee,Coffee,3316 Jefferson St,Fresno,CA,(559) 725-2467,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver Taqueria,Taqueria,9931 Sunset Blvd,Fresno,CA,(559) 362-3400,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver Restaurant,Restaurant,7361 Pine St,Fresno,CA,(559) 418-7326,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DeBurger,Burger,3940 Pine St,Fresno,CA,(559) 230-5629,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DelPizza,Pizza,8793 Main St,Long Beach,CA,(562) 940-9758,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DeGrill,Grill,8859 Broadway,Long Beach,CA,(562) 472-4282,silver,True,CA_restaurants_enriched_20260428_0340.csv
Silver DelSteakhouse,Steakhouse,7070 Cedar Ave,Long Beach,CA,(562) 337-7185,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DeRestaurant,Restaurant,6911 Hollywood Blvd,Long Beach,CA,(562) 746-6070,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver Pizza,Pizza,8680 Washington Blvd,Long Beach,CA,(562) 849-3503,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DeTaqueria,Taqueria,4609 Sunset Blvd,Long Beach,CA,(562) 506-8268,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DeBBQ,BBQ,5641 Oak St,Long Beach,CA,(562) 874-5036,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DeSeafood,Seafood,850 Oak St,Anaheim,CA,(657) 394-4516,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver Seafood,Seafood,7284 Cedar Ave,Anaheim,CA,(657) 567-3632,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DelDiner,Diner,7775 Sunset Blvd,Anaheim,CA,(657) 359-5682,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DeBakery,Bakery,5242 Wilshire Blvd,Anaheim,CA,(657) 889-6015,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DeEatery,Eatery,3975 Mission St,Anaheim,CA,(657) 603-6823,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DeDiner,Diner,2759 Pico Blvd,Anaheim,CA,(657) 642-2839,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver BBQ,BBQ,483 Pico Blvd,Anaheim,CA,(657) 654-2514,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver Bar & Grill,Bar & Grill,5132 Main St,Anaheim,CA,(657) 602-1241,silver,True,CA_restaurants_enriched_20260428_0340.csv
Silver DelCafe,Cafe,7949 Ocean Ave,Anaheim,CA,(657) 415-7829,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DeSteakhouse,Steakhouse,3133 Pine St,Anaheim,CA,(657) 275-3014,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver Diner,Diner,4470 First St,Anaheim,CA,(657) 484-6232,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DeBurger,Burger,1987 First St,Anaheim,CA,(714) 830-7014,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DeSteakhouse,Steakhouse,672 Washington Blvd,Santa Ana,CA,(657) 851-4894,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DeRestaurant,Restaurant,8694 Cedar Ave,Santa Ana,CA,(714) 511-4149,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DelBar & Grill,Bar & Grill,6856 Pico Blvd,Santa Ana,CA,(657) 498-4309,silver,True,CA_restaurants_enriched_20260428_0340.csv
Silver Taqueria,Taqueria,2166 Maple Ave,Santa Ana,CA,(714) 332-9652,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DePizza,Pizza,3526 Broadway,Santa Ana,CA,(714) 750-4012,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver Eatery,Eatery,872 Mission St,Santa Ana,CA,(657) 310-5351,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DelSushi,Sushi,7354 Wilshire Blvd,Santa Ana,CA,(657) 599-7613,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DeSushi,Sushi,8427 Main St,Santa Ana,CA,(714) 541-7712,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DeCafe,Cafe,5422 Market St,Santa Ana,CA,(714) 644-2976,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DelBistro,Bistro,1606 Mission St,Santa Ana,CA,(714) 397-9374,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DelEatery,Eatery,5573 Hollywood Blvd,Santa Ana,CA,(657) 975-8850,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DeBar & Grill,Bar & Grill,1076 Washington Blvd,Santa Ana,CA,(714) 210-9206,silver,True,CA_restaurants_enriched_20260428_0340.csv
Silver Restaurant,Restaurant,9325 Ocean Ave,Riverside,CA,(951) 357-1890,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver Kitchen,Kitchen,5766 Market St,Riverside,CA,(951) 537-9567,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver Seafood,Seafood,6239 Mission St,Riverside,CA,(951) 360-7685,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DelDiner,Diner,6392 Oak St,Riverside,CA,(951) 384-1563,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DeBistro,Bistro,5890 Ocean Ave,Riverside,CA,(951) 925-3760,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DeBurritos,Burritos,6681 Maple Ave,Riverside,CA,(951) 643-2104,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DelBistro,Bistro,3085 Broadway,Riverside,CA,(951) 458-2532,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DelKitchen,Kitchen,5746 First St,Riverside,CA,(951) 867-1787,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DelSeafood,Seafood,6825 Jefferson St,Irvine,CA,(949) 954-5558,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DeDiner,Diner,7353 Main St,Irvine,CA,(949) 431-4136,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DeBurger,Burger,4814 Washington Blvd,Irvine,CA,(949) 458-8940,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DelBakery,Bakery,4728 Elm St,Irvine,CA,(949) 612-3894,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver Restaurant,Restaurant,3436 Washington Blvd,Irvine,CA,(949) 809-8701,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DeSeafood,Seafood,9115 Main St,Irvine,CA,(949) 443-9528,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver Burritos,Burritos,2608 First St,Irvine,CA,(949) 421-3180,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DelBBQ,BBQ,5839 Pico Blvd,Irvine,CA,(949) 806-3302,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver Steakhouse,Steakhouse,1831 Elm St,Irvine,CA,(949) 200-3141,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DeSushi,Sushi,4275 Washington Blvd,Irvine,CA,(949) 967-4363,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DeBBQ,BBQ,5846 Elm St,Chula Vista,CA,(619) 361-8033,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DeGrill,Grill,4688 Oak St,Chula Vista,CA,(619) 895-5524,silver,True,CA_restaurants_enriched_20260428_0340.csv
Silver Bistro,Bistro,4300 Jefferson St,Chula Vista,CA,(619) 448-2315,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DePizza,Pizza,3299 Elm St,Chula Vista,CA,(619) 556-1627,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DelBakery,Bakery,2719 Pico Blvd,Chula Vista,CA,(619) 247-7105,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver Burritos,Burritos,4077 Hollywood Blvd,Chula Vista,CA,(619) 213-5794,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DeSeafood,Seafood,3512 Mission St,Chula Vista,CA,(619) 321-3354,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DelTaqueria,Taqueria,3783 Elm St,Chula Vista,CA,(619) 974-8927,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver Bistro,Bistro,9779 Market St,Bakersfield,CA,(661) 924-1842,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver Taqueria,Taqueria,9859 Oak St,Bakersfield,CA,(661) 805-1148,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver Restaurant,Restaurant,5752 Main St,Bakersfield,CA,(661) 835-8411,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DeBurritos,Burritos,6237 Main St,Bakersfield,CA,(661) 709-1606,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DeBurger,Burger,9594 Maple Ave,Bakersfield,CA,(661) 901-8103,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver Eatery,Eatery,1002 Main St,Bakersfield,CA,(661) 885-5356,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DelCoffee,Coffee,2346 Oak St,Bakersfield,CA,(661) 819-4910,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DeTacos,Tacos,4660 Wilshire Blvd,Bakersfield,CA,(661) 612-3432,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver Tacos,Tacos,6469 Cedar Ave,Bakersfield,CA,(661) 840-5165,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DePizza,Pizza,768 Main St,Bakersfield,CA,(661) 502-9709,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DeSteakhouse,Steakhouse,3196 Sunset Blvd,Bakersfield,CA,(661) 839-5795,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DelEatery,Eatery,4255 Hollywood Blvd,Bakersfield,CA,(661) 998-2747,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DeGrill,Grill,7260 Mission St,Bakersfield,CA,(661) 226-2967,silver,True,CA_restaurants_enriched_20260428_0340.csv
Silver DeBar & Grill,Bar & Grill,9895 Broadway,Bakersfield,CA,(661) 960-2259,silver,True,CA_restaurants_enriched_20260428_0340.csv
Silver DelSushi,Sushi,2920 Ocean Ave,Bakersfield,CA,(661) 695-2182,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DeBakery,Bakery,3864 Main St,Bakersfield,CA,(661) 376-1174,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DeTaqueria,Taqueria,1982 Hollywood Blvd,Stockton,CA,(209) 994-7401,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DelBar & Grill,Bar & Grill,1269 Maple Ave,Stockton,CA,(209) 360-7099,silver,True,CA_restaurants_enriched_20260428_0340.csv
Silver DelSushi,Sushi,1047 Cedar Ave,Stockton,CA,(209) 637-6772,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DelSteakhouse,Steakhouse,5405 Pico Blvd,Stockton,CA,(209) 259-8894,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver Cafe,Cafe,1982 Jefferson St,Stockton,CA,(209) 229-6440,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DeTacos,Tacos,2845 Ocean Ave,Stockton,CA,(209) 960-2987,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DeDiner,Diner,4687 Jefferson St,Modesto,CA,(209) 745-7564,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DeBurger,Burger,4219 First St,Modesto,CA,(209) 450-8132,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DeBBQ,BBQ,170 Pine St,Modesto,CA,(209) 378-8753,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver Burritos,Burritos,4839 Ocean Ave,Modesto,CA,(209) 322-9407,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DelCoffee,Coffee,2420 Elm St,Modesto,CA,(209) 438-8156,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DelBakery,Bakery,8381 Elm St,Modesto,CA,(209) 801-9337,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DeKitchen,Kitchen,1834 Washington Blvd,Modesto,CA,(209) 809-9630,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DelBurritos,Burritos,2665 Pine St,Modesto,CA,(209) 261-4605,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver Taqueria,Taqueria,3698 Oak St,Modesto,CA,(209) 823-4282,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DelBurritos,Burritos,9222 Ocean Ave,Santa Barbara,CA,(805) 536-6146,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DeBBQ,BBQ,3977 Ocean Ave,Santa Barbara,CA,(805) 856-6500,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver Eatery,Eatery,4043 Washington Blvd,Santa Barbara,CA,(805) 439-6359,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DeSeafood,Seafood,9594 Oak St,Santa Barbara,CA,(805) 394-3562,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver Restaurant,Restaurant,5109 Jefferson St,Santa Barbara,CA,(805) 929-4021,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver Sushi,Sushi,1749 Maple Ave,Santa Barbara,CA,(805) 893-3219,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver Cafe,Cafe,4129 Hollywood Blvd,Santa Barbara,CA,(805) 232-8829,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver Bistro,Bistro,8656 Pico Blvd,Santa Barbara,CA,(805) 290-1751,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DeCafe,Cafe,5854 Mission St,Santa Monica,CA,(424) 665-9816,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DelTacos,Tacos,1230 Washington Blvd,Santa Monica,CA,(424) 660-9346,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DeBakery,Bakery,3821 Broadway,Santa Monica,CA,(424) 534-4226,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DelPizza,Pizza,5828 Wilshire Blvd,Santa Monica,CA,(424) 276-6544,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DeGrill,Grill,3034 Hollywood Blvd,Santa Monica,CA,(424) 648-4492,silver,True,CA_restaurants_enriched_20260428_0340.csv
Silver DelDiner,Diner,4552 Mission St,Santa Monica,CA,(310) 905-5694,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DelTaqueria,Taqueria,4871 Elm St,Santa Monica,CA,(310) 635-4292,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DelRestaurant,Restaurant,6408 Wilshire Blvd,Santa Monica,CA,(310) 831-5959,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DelEatery,Eatery,1461 Broadway,Pasadena,CA,(626) 764-6087,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DeTaqueria,Taqueria,2253 Oak St,Pasadena,CA,(626) 668-8971,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DeEatery,Eatery,6788 Maple Ave,Pasadena,CA,(626) 420-8174,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DePizza,Pizza,2157 Hollywood Blvd,Pasadena,CA,(626) 799-2212,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DeKitchen,Kitchen,9047 Market St,Pasadena,CA,(626) 272-4319,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver Cafe,Cafe,7122 Pine St,Pasadena,CA,(626) 891-1485,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver BBQ,BBQ,9760 Maple Ave,Pasadena,CA,(626) 802-4440,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DeKitchen,Kitchen,7917 Maple Ave,Berkeley,CA,(510) 631-9871,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DeBurger,Burger,9185 Maple Ave,Berkeley,CA,(510) 993-8144,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DeRestaurant,Restaurant,5320 Mission St,Berkeley,CA,(510) 225-9884,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DeBakery,Bakery,4985 Wilshire Blvd,Berkeley,CA,(510) 821-1766,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DelBurger,Burger,8610 Ocean Ave,Berkeley,CA,(510) 602-9743,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DelRestaurant,Restaurant,7771 Elm St,Berkeley,CA,(510) 466-4958,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DelKitchen,Kitchen,4803 Third St,Berkeley,CA,(510) 698-8915,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver Burritos,Burritos,1356 First St,Berkeley,CA,(510) 358-2785,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver Grill,Grill,1757 Washington Blvd,Berkeley,CA,(510) 972-2517,silver,True,CA_restaurants_enriched_20260428_0340.csv
Silver DePizza,Pizza,1846 Third St,Berkeley,CA,(510) 802-9353,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DeDiner,Diner,6763 Sunset Blvd,Berkeley,CA,(510) 362-4805,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DelSushi,Sushi,6556 Washington Blvd,Berkeley,CA,(510) 791-5415,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver Bistro,Bistro,5634 Cedar Ave,Berkeley,CA,(510) 955-7170,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DelSeafood,Seafood,5341 Broadway,Berkeley,CA,(510) 386-5063,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver DeSushi,Sushi,9835 Cedar Ave,Berkeley,CA,(510) 322-8417,silver,False,CA_restaurants_enriched_20260428_0340.csv
Silver Steakhouse,Steakhouse,6218 Pine St,Las Vegas,NV,(725) 402-3116,silver,False,NV_restaurants_20260428.csv
Silver Pizza,Pizza,1070 First St,Las Vegas,NV,(725) 269-3752,silver,False,NV_restaurants_20260428.csv
Silver Bakery,Bakery,1503 Pine St,Las Vegas,NV,(702) 815-4890,silver,False,NV_restaurants_20260428.csv
Silver Bistro,Bistro,3620 Jefferson St,Las Vegas,NV,(702) 729-2219,silver,False,NV_restaurants_20260428.csv
Silver Taqueria,Taqueria,2947 Main St,Henderson,NV,(702) 553-3514,silver,False,NV_restaurants_20260428.csv
Silver Bistro,Bistro,4703 River Rd,Henderson,NV,(775) 698-6671,silver,False,NV_restaurants_20260428.csv
Silver Burger,Burger,2510 Commerce St,Henderson,NV,(702) 493-8446,silver,False,NV_restaurants_20260428.csv
Silver Coffee,Coffee,9248 Commerce St,Henderson,NV,(725) 300-8669,silver,False,NV_restaurants_20260428.csv
Silver Grill,Grill,9434 Main St,Henderson,NV,(725) 799-6849,silver,True,NV_restaurants_20260428.csv
Silver Roadhouse,Roadhouse,3915 Front St,Henderson,NV,(775) 959-2457,silver,True,NV_restaurants_20260428.csv
Silver Bistro,Bistro,7917 Oak St,Reno,NV,(775) 583-2447,silver,False,NV_restaurants_20260428.csv
Silver Chophouse,Chophouse,4942 Industrial Blvd,Reno,NV,(775) 923-2939,silver,False,NV_restaurants_20260428.csv
Silver Cafe,Cafe,7648 Jefferson St,Reno,NV,(775) 598-4313,silver,False,NV_restaurants_20260428.csv
Silver Kitchen,Kitchen,4580 Pine St,Reno,NV,(725) 662-6072,silver,False,NV_restaurants_20260428.csv
