business_name,category,address,city,province_state,postal_code,phone,country,source,date_scraped,region,sub_region,cities,naics_code,tax_id,employee_count,status,lead_score,enriched_date
Sierra Maquiladora S.A. de C.V.,Maquiladora,1185 Ojinaga,Chihuahua,Chihuahua,31153,614-619-6769,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302044,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,QZD837641QO,51-200,Activo,85,2026-05-07T20:59:03.774526
Sierra Maquiladora Maquiladora,Maquiladora,2847 Vallarta,Chihuahua,Chihuahua,31034,614-943-3882,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302050,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,ULA635273DN,1-10,Activo,85,2026-05-07T20:59:03.774539
Colón Logística Industrial,Logística,1333 Libertad,Chihuahua,Chihuahua,31486,614-217-6848,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302062,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,BAJ610460KV,1-10,Activo,85,2026-05-07T20:59:03.774548
Sierra Minería Servicios,Minería,1750 Allende,Chihuahua,Chihuahua,31127,614-727-8772,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302067,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,TPM665674WR,51-200,Activo,85,2026-05-07T20:59:03.774562
Colón Textiles S. de R.L.,Textiles,576 Vallarta,Chihuahua,Chihuahua,31030,614-709-6856,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302073,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,OED372795RT,51-200,Activo,85,2026-05-07T20:59:03.774570
Capital Manufactura Industrial,Manufactura,2390 Vallarta,Chihuahua,Chihuahua,31091,614-861-3398,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302079,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,DMZ320141ZI,1-10,Activo,85,2026-05-07T20:59:03.774578
Capital Maquiladora S.A. de C.V.,Maquiladora,2840 Deza y Ulloa,Chihuahua,Chihuahua,31345,614-304-8684,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302085,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,YZT243554YQ,1-10,Activo,85,2026-05-07T20:59:03.774587
Sierra Maquiladora Servicios,Maquiladora,285 Allende,Chihuahua,Chihuahua,31139,614-580-3579,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302091,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,LMA263382SX,11-50,Activo,85,2026-05-07T20:59:03.774595
Norte Agroindustria Maquiladora,Agroindustria,1307 Victoria,Chihuahua,Chihuahua,31423,614-348-2409,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302097,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,BDU964611AX,51-200,Activo,85,2026-05-07T20:59:03.774603
Sierra Automotriz Industrial,Automotriz,1997 Vallarta,Chihuahua,Chihuahua,31324,614-401-6798,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302102,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,TEL570254TU,51-200,Activo,85,2026-05-07T20:59:03.774612
Norte Logística S. de R.L.,Logística,2843 Vallarta,Chihuahua,Chihuahua,31285,614-643-4243,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302108,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,TUI755063OW,11-50,Activo,85,2026-05-07T20:59:03.774622
Sierra Textiles Servicios,Textiles,1610 Victoria,Chihuahua,Chihuahua,31277,614-176-4649,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302114,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,FVD271891LC,51-200,Activo,85,2026-05-07T20:59:03.774630
Capital Logística Servicios,Logística,2208 Vallarta,Chihuahua,Chihuahua,31458,614-469-3114,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302122,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,JYA501951VK,51-200,Activo,85,2026-05-07T20:59:03.774639
Capital Manufactura Industrial,Manufactura,745 Victoria,Chihuahua,Chihuahua,31064,614-830-4433,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302128,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,ZTM437203LQ,51-200,Activo,85,2026-05-07T20:59:03.774651
Sierra Logística S. de R.L.,Logística,1959 Vallarta,Chihuahua,Chihuahua,31046,614-520-4972,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302134,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,CBL486168AA,1-10,Activo,85,2026-05-07T20:59:03.774660
Chihuahua Textiles Industrial,Textiles,1390 Libertad,Chihuahua,Chihuahua,31487,614-576-5919,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302140,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,XRY913343IK,11-50,Activo,85,2026-05-07T20:59:03.774673
Norte Automotriz S. de R.L.,Automotriz,1863 Allende,Chihuahua,Chihuahua,31253,614-961-1529,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302146,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,SIF848611DW,1-10,Activo,85,2026-05-07T20:59:03.774686
Sierra Logística Maquiladora,Logística,47 Ojinaga,Chihuahua,Chihuahua,31245,614-823-9385,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302151,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,UPG803693WW,1-10,Activo,85,2026-05-07T20:59:03.774695
Chihuahua Tecnología Maquiladora,Tecnología,538 Ojinaga,Chihuahua,Chihuahua,31313,614-404-8301,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302160,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,YAS899037LG,1-10,Activo,85,2026-05-07T20:59:03.774705
Sierra Alimentos S.A. de C.V.,Alimentos,1354 Allende,Chihuahua,Chihuahua,31000,614-119-3951,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302167,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,RCR310869SR,1-10,Activo,100,2026-05-07T20:59:03.774713
Colón Textiles Maquiladora,Textiles,2867 Allende,Chihuahua,Chihuahua,31179,614-863-1555,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302172,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,WQB979621NP,11-50,Activo,85,2026-05-07T20:59:03.774730
Capital Minería Industrial,Minería,2581 Deza y Ulloa,Chihuahua,Chihuahua,31481,614-839-5067,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302178,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,DCA319125ST,1-10,Activo,85,2026-05-07T20:59:03.774739
Capital Agroindustria Maquiladora,Agroindustria,1006 Vallarta,Chihuahua,Chihuahua,31348,614-131-7052,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302187,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,AGX820296WJ,11-50,Activo,85,2026-05-07T20:59:03.774748
Norte Alimentos Servicios,Alimentos,2703 Allende,Chihuahua,Chihuahua,31313,614-955-9395,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302192,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,DOR759043GP,1-10,Activo,100,2026-05-07T20:59:03.774764
Chihuahua Agroindustria Servicios,Agroindustria,2824 Ojinaga,Chihuahua,Chihuahua,31055,614-347-3355,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302198,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,DDI966598PR,200+,Activo,85,2026-05-07T20:59:03.774772
Norte Logística S. de R.L.,Logística,2777 Deza y Ulloa,Chihuahua,Chihuahua,31067,614-325-9036,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302204,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,AQB622264KO,200+,Activo,85,2026-05-07T20:59:03.774782
Sierra Alimentos Servicios,Alimentos,561 Ojinaga,Chihuahua,Chihuahua,31222,614-300-1969,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302210,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,KWO660317UJ,11-50,Activo,100,2026-05-07T20:59:03.774790
Chihuahua Textiles S. de R.L.,Textiles,411 Victoria,Chihuahua,Chihuahua,31385,614-908-6025,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302216,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,HOV378682XF,1-10,Activo,85,2026-05-07T20:59:03.774798
Capital Logística Servicios,Logística,2877 Allende,Chihuahua,Chihuahua,31177,614-437-8221,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302222,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,EWD304228ME,200+,Activo,85,2026-05-07T20:59:03.774807
Chihuahua Maquiladora S.A. de C.V.,Maquiladora,475 Libertad,Chihuahua,Chihuahua,31347,614-456-4775,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302227,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,TOG251765PZ,1-10,Activo,85,2026-05-07T20:59:03.774814
Sierra Tecnología S.A. de C.V.,Tecnología,841 Vallarta,Chihuahua,Chihuahua,31441,614-872-1220,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302233,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,HQG733685YV,11-50,Activo,85,2026-05-07T20:59:03.774822
Capital Maquiladora Industrial,Maquiladora,2908 Vallarta,Chihuahua,Chihuahua,31155,614-118-2576,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302244,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,MPB426678NA,51-200,Activo,85,2026-05-07T20:59:03.774869
Norte Manufactura Servicios,Manufactura,400 Victoria,Chihuahua,Chihuahua,31353,614-532-3139,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302253,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,SVF644724QM,200+,Activo,85,2026-05-07T20:59:03.774878
Colón Logística Servicios,Logística,2759 Ojinaga,Chihuahua,Chihuahua,31331,614-744-5411,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302258,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,WNX193406HL,1-10,Activo,85,2026-05-07T20:59:03.774892
Colón Manufactura S. de R.L.,Manufactura,343 Vallarta,Chihuahua,Chihuahua,31080,614-287-8104,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302267,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,ATF485422CX,200+,Activo,85,2026-05-07T20:59:03.774900
Capital Tecnología S. de R.L.,Tecnología,846 Allende,Chihuahua,Chihuahua,31026,614-995-7634,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302273,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,CTF501270JV,11-50,Activo,85,2026-05-07T20:59:03.774909
Sierra Tecnología Servicios,Tecnología,2891 Vallarta,Chihuahua,Chihuahua,31373,614-916-6992,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302278,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,FGB863251UG,51-200,Activo,85,2026-05-07T20:59:03.774918
Colón Automotriz Industrial,Automotriz,1347 Deza y Ulloa,Chihuahua,Chihuahua,31327,614-857-5067,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302284,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,YQV220002FQ,11-50,Activo,85,2026-05-07T20:59:03.774926
Norte Alimentos Servicios,Alimentos,2278 Libertad,Chihuahua,Chihuahua,31430,614-254-2971,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302290,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,WMT878779HE,200+,Activo,100,2026-05-07T20:59:03.774937
Norte Minería S. de R.L.,Minería,2557 Deza y Ulloa,Chihuahua,Chihuahua,31289,614-613-2183,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302295,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,FKP576712IZ,11-50,Activo,85,2026-05-07T20:59:03.774949
Norte Alimentos S. de R.L.,Alimentos,600 Libertad,Chihuahua,Chihuahua,31474,614-212-9449,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302301,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,JIA252311QA,11-50,Activo,100,2026-05-07T20:59:03.774957
Colón Maquiladora S.A. de C.V.,Maquiladora,2279 Vallarta,Chihuahua,Chihuahua,31393,614-515-5668,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302307,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,ZSR784424UY,51-200,Activo,85,2026-05-07T20:59:03.774965
Colón Maquiladora S. de R.L.,Maquiladora,740 Allende,Chihuahua,Chihuahua,31105,614-177-7206,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302315,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,ZHN375384IL,1-10,Activo,85,2026-05-07T20:59:03.774973
Sierra Alimentos Maquiladora,Alimentos,425 Allende,Chihuahua,Chihuahua,31074,614-377-8906,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302321,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,OCR654753YW,1-10,Activo,100,2026-05-07T20:59:03.774985
Chihuahua Tecnología Industrial,Tecnología,2503 Ojinaga,Chihuahua,Chihuahua,31306,614-777-4346,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302327,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,ZTA346836CA,200+,Activo,85,2026-05-07T20:59:03.774997
Norte Textiles Servicios,Textiles,653 Allende,Chihuahua,Chihuahua,31050,614-745-9269,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302333,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,MJW926269QU,51-200,Activo,85,2026-05-07T20:59:03.775014
Norte Agroindustria Industrial,Agroindustria,3000 Vallarta,Chihuahua,Chihuahua,31141,614-619-8587,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302338,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,JRC117040FK,1-10,Activo,85,2026-05-07T20:59:03.775023
Norte Minería S.A. de C.V.,Minería,2076 Victoria,Chihuahua,Chihuahua,31311,614-592-7213,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302344,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,MQL599262EU,51-200,Activo,85,2026-05-07T20:59:03.775031
Norte Minería S.A. de C.V.,Minería,611 Allende,Chihuahua,Chihuahua,31332,614-852-3296,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302350,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,GOF836361FB,200+,Activo,85,2026-05-07T20:59:03.775044
Colón Agroindustria S. de R.L.,Agroindustria,701 Vallarta,Chihuahua,Chihuahua,31369,614-930-6469,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302359,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,XBC232318UP,200+,Activo,85,2026-05-07T20:59:03.775052
Border Textiles S.A. de C.V.,Textiles,10587 Triunfo,Ciudad Juárez,Chihuahua,32474,656-477-3967,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302372,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,FOJ476515LF,51-200,Activo,85,2026-05-07T20:59:03.775060
Paso del Norte Tecnología Exportadora,Tecnología,1713 López Mateos,Ciudad Juárez,Chihuahua,32491,656-227-7942,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302381,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,DHO153270ZD,11-50,Activo,85,2026-05-07T20:59:03.775069
Bóvedas Textiles S. de R.L.,Textiles,13491 Vista,Ciudad Juárez,Chihuahua,32269,656-343-9306,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302393,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,DMV471965FC,11-50,Activo,85,2026-05-07T20:59:03.775077
Bóvedas Logística Industrial,Logística,515 Eje Vial,Ciudad Juárez,Chihuahua,32007,656-895-7826,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302429,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,LMM595822YM,200+,Activo,85,2026-05-07T20:59:03.775090
Paso del Norte Alimentos Industrial,Alimentos,7263 Tecnológico,Ciudad Juárez,Chihuahua,32083,656-844-8966,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302439,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,OVD381906MH,200+,Activo,100,2026-05-07T20:59:03.775098
Bóvedas Logística Exportadora,Logística,9089 Vista,Ciudad Juárez,Chihuahua,32005,656-579-4109,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302447,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,FRK268407LV,51-200,Activo,85,2026-05-07T20:59:03.775111
Juárez Comercio S.A. de C.V.,Comercio,9707 Torres,Ciudad Juárez,Chihuahua,32051,656-574-2071,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302454,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,RII618672JH,1-10,Activo,100,2026-05-07T20:59:03.775125
Juárez Logística Industrial,Logística,14194 Vista,Ciudad Juárez,Chihuahua,32668,656-681-2734,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302460,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,MAB414711EV,1-10,Activo,85,2026-05-07T20:59:03.775137
Benito Juárez Automotriz S. de R.L.,Automotriz,13186 Vista,Ciudad Juárez,Chihuahua,32669,656-852-6809,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302466,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,LND542378PT,1-10,Activo,85,2026-05-07T20:59:03.775145
Bóvedas Automotriz S.A. de C.V.,Automotriz,2716 Tecnológico,Ciudad Juárez,Chihuahua,32632,656-937-5436,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302473,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,FCS138493AU,51-200,Activo,85,2026-05-07T20:59:03.775153
Paso del Norte Alimentos Exportadora,Alimentos,3057 Torres,Ciudad Juárez,Chihuahua,32220,656-421-1863,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302480,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,NCO222956JT,1-10,Activo,100,2026-05-07T20:59:03.775161
Benito Juárez Automotriz S. de R.L.,Automotriz,11872 Triunfo,Ciudad Juárez,Chihuahua,32000,656-615-7827,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302490,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,FQJ184535FP,51-200,Activo,85,2026-05-07T20:59:03.775169
Border Agroindustria Maquiladora,Agroindustria,10703 Vista,Ciudad Juárez,Chihuahua,32077,656-292-1649,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302513,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,LZL558514JO,1-10,Activo,85,2026-05-07T20:59:03.775177
Bóvedas Manufactura Exportadora,Manufactura,7537 Torres,Ciudad Juárez,Chihuahua,32216,656-868-1818,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302523,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,NUM299544TM,11-50,Activo,85,2026-05-07T20:59:03.775189
Juárez Alimentos S.A. de C.V.,Alimentos,10535 Vista,Ciudad Juárez,Chihuahua,32197,656-869-3237,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302531,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,LVG858520AB,200+,Activo,100,2026-05-07T20:59:03.775197
Juárez Agroindustria S. de R.L.,Agroindustria,1912 Vista,Ciudad Juárez,Chihuahua,32656,656-237-3866,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302541,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,SNL505467GB,51-200,Activo,85,2026-05-07T20:59:03.775205
Paso del Norte Minería S.A. de C.V.,Minería,7964 Torres,Ciudad Juárez,Chihuahua,32638,656-425-1528,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302561,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,WZK314458US,51-200,Activo,85,2026-05-07T20:59:03.775215
Paso del Norte Comercio S.A. de C.V.,Comercio,7160 Torres,Ciudad Juárez,Chihuahua,32610,656-984-7826,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302570,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,QCL339879CB,11-50,Activo,100,2026-05-07T20:59:03.775226
Paso del Norte Tecnología Exportadora,Tecnología,12123 Eje Vial,Ciudad Juárez,Chihuahua,32472,656-968-8043,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302577,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,WSN159979LO,1-10,Activo,85,2026-05-07T20:59:03.775235
Bóvedas Maquiladora S. de R.L.,Maquiladora,5907 Triunfo,Ciudad Juárez,Chihuahua,32681,656-790-7597,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302583,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,DBW109844WG,11-50,Activo,85,2026-05-07T20:59:03.775244
Juárez Manufactura Maquiladora,Manufactura,5231 Eje Vial,Ciudad Juárez,Chihuahua,32534,656-956-5782,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302589,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,SUX339409QP,51-200,Activo,85,2026-05-07T20:59:03.775256
Benito Juárez Minería Exportadora,Minería,13886 Tecnológico,Ciudad Juárez,Chihuahua,32271,656-930-6785,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302595,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,RGA868615QL,11-50,Activo,85,2026-05-07T20:59:03.775265
Juárez Minería S. de R.L.,Minería,12823 Triunfo,Ciudad Juárez,Chihuahua,32150,656-738-8757,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302604,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,SZU265379GC,200+,Activo,85,2026-05-07T20:59:03.775278
Paso del Norte Comercio Exportadora,Comercio,11547 Eje Vial,Ciudad Juárez,Chihuahua,32385,656-633-4572,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302610,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,XBL547401JW,1-10,Activo,100,2026-05-07T20:59:03.775307
Paso del Norte Automotriz Industrial,Automotriz,12629 Vista,Ciudad Juárez,Chihuahua,32490,656-120-8429,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302616,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,WOH963799DA,51-200,Activo,85,2026-05-07T20:59:03.775316
Bóvedas Manufactura S. de R.L.,Manufactura,13835 Triunfo,Ciudad Juárez,Chihuahua,32682,656-615-5589,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302623,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,BVN638375NN,200+,Activo,85,2026-05-07T20:59:03.775324
Border Alimentos Industrial,Alimentos,14788 Torres,Ciudad Juárez,Chihuahua,32482,656-490-9389,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302629,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,JWZ165417SH,11-50,Activo,100,2026-05-07T20:59:03.775336
Bóvedas Comercio S. de R.L.,Comercio,6740 Eje Vial,Ciudad Juárez,Chihuahua,32595,656-731-7437,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302635,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,EMO283448AP,51-200,Activo,100,2026-05-07T20:59:03.775343
Bóvedas Maquiladora S. de R.L.,Maquiladora,7848 López Mateos,Ciudad Juárez,Chihuahua,32075,656-402-4051,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302641,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,LYZ576826FJ,11-50,Activo,85,2026-05-07T20:59:03.775479
Paso del Norte Tecnología Maquiladora,Tecnología,10147 Vista,Ciudad Juárez,Chihuahua,32192,656-293-5185,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302647,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,EVC455894BR,1-10,Activo,85,2026-05-07T20:59:03.775498
Bóvedas Agroindustria S. de R.L.,Agroindustria,1543 Torres,Ciudad Juárez,Chihuahua,32688,656-779-6630,México,Registro Público de Chihuahua,2026-05-07T20:56:56.302653,Mexico,Chihuahua,"Chihuahua City, Ciudad Juárez",,MNE943392II,1-10,Activo,85,2026-05-07T20:59:03.775516
