business_name,category,address,neighborhood,city,state,postal_code,phone,country,source,date_scraped,rfc,employee_count,status
El Marqués Turismo S. de R.L.,Turismo,743 Zaragoza,El Pueblito,Querétaro,Querétaro,76479,442-269-9768,México,Registro Público de Querétaro,2026-05-07T20:56:56.259978,DRX233140YM,51-200,Activo
San Pablo Alimentos Servicios,Alimentos,544 Paseo,El Marqués,Querétaro,Querétaro,76662,442-665-8860,México,Registro Público de Querétaro,2026-05-07T20:56:56.259984,ZYD729212JN,11-50,Activo
El Marqués Logística S. de R.L.,Logística,1275 Paseo,San Pablo,Querétaro,Querétaro,76285,442-216-1266,México,Registro Público de Querétaro,2026-05-07T20:56:56.259990,GHC465842YM,11-50,Activo
Juriquilla Tecnología S. de R.L.,Tecnología,454 Bernal,Centro,Querétaro,Querétaro,76219,442-254-7451,México,Registro Público de Querétaro,2026-05-07T20:56:56.259999,TRJ916032KN,1-10,Activo
San Pablo Alimentos S. de R.L.,Alimentos,700 Zaragoza,Milenium,Querétaro,Querétaro,76174,442-447-7705,México,Registro Público de Querétaro,2026-05-07T20:56:56.260014,TBR625123DN,1-10,Activo
Santiago Turismo S.A. de C.V.,Turismo,940 Bernal,Milenium,Querétaro,Querétaro,76562,442-208-3302,México,Registro Público de Querétaro,2026-05-07T20:56:56.260020,TVF713698UT,11-50,Activo
Santiago Logística Tecnológico,Logística,1492 Bernal,San Juan del Río,Querétaro,Querétaro,76799,442-255-7153,México,Registro Público de Querétaro,2026-05-07T20:56:56.260026,XWB120977VL,200+,Activo
San Pablo Aeronáutica Tecnológico,Aeronáutica,1498 Tecnológico,San Juan del Río,Querétaro,Querétaro,76708,442-137-2550,México,Registro Público de Querétaro,2026-05-07T20:56:56.260032,RZU272790TK,11-50,Activo
Bicentenario Logística S. de R.L.,Logística,1740 Tecnológico,Centro,Querétaro,Querétaro,76605,442-159-4445,México,Registro Público de Querétaro,2026-05-07T20:56:56.260038,EKK361409ML,51-200,Activo
Centro Sur Logística Aeroespacial,Logística,858 Universidad,El Pueblito,Querétaro,Querétaro,76530,442-553-4355,México,Registro Público de Querétaro,2026-05-07T20:56:56.260044,ZUM570781DB,51-200,Activo
San Pablo Construcción Tecnológico,Construcción,1981 Bernal,San Juan del Río,Querétaro,Querétaro,76666,442-946-5436,México,Registro Público de Querétaro,2026-05-07T20:56:56.260050,RAP506118FF,51-200,Activo
Corregidora Construcción Servicios,Construcción,878 Universidad,El Marqués,Querétaro,Querétaro,76571,442-521-8799,México,Registro Público de Querétaro,2026-05-07T20:56:56.260056,SCL553526CP,200+,Activo
El Marqués Turismo S.A. de C.V.,Turismo,571 Universidad,San Juan del Río,Querétaro,Querétaro,76751,442-984-5734,México,Registro Público de Querétaro,2026-05-07T20:56:56.260061,OFF986457OU,1-10,Activo
Centro Sur Tecnología Tecnológico,Tecnología,1829 Bernal,Centro,Querétaro,Querétaro,76690,442-794-5682,México,Registro Público de Querétaro,2026-05-07T20:56:56.260070,EGY769720VF,51-200,Activo
El Marqués Química Tecnológico,Química,291 Hidalgo,Juriquilla,Querétaro,Querétaro,76652,442-750-4131,México,Registro Público de Querétaro,2026-05-07T20:56:56.260076,WRL630746MI,200+,Activo
El Marqués Alimentos Tecnológico,Alimentos,590 Paseo,San Juan del Río,Querétaro,Querétaro,76882,442-245-1306,México,Registro Público de Querétaro,2026-05-07T20:56:56.260082,EZV161203SG,200+,Activo
Bicentenario Alimentos Aeroespacial,Alimentos,889 Paseo,Centro,Querétaro,Querétaro,76927,442-550-9669,México,Registro Público de Querétaro,2026-05-07T20:56:56.260092,EPI143072SA,200+,Activo
Bicentenario Logística Tecnológico,Logística,1061 Zaragoza,San Juan del Río,Querétaro,Querétaro,76604,442-769-5009,México,Registro Público de Querétaro,2026-05-07T20:56:56.260098,GRM441653HB,200+,Activo
Santiago Construcción Tecnológico,Construcción,451 Juriquilla,Centro,Querétaro,Querétaro,76625,442-794-3065,México,Registro Público de Querétaro,2026-05-07T20:56:56.260109,UNV364334DX,51-200,Activo
San Pablo Alimentos S. de R.L.,Alimentos,786 Hidalgo,Tequisquiapan,Querétaro,Querétaro,76924,442-517-8864,México,Registro Público de Querétaro,2026-05-07T20:56:56.260115,SYU451417AD,200+,Activo
Santiago Automotriz Tecnológico,Automotriz,1864 Tecnológico,San Juan del Río,Querétaro,Querétaro,76865,442-972-2817,México,Registro Público de Querétaro,2026-05-07T20:56:56.260121,IDS746301AX,1-10,Activo
El Marqués Comercio S.A. de C.V.,Comercio,1213 Paseo,San Juan del Río,Querétaro,Querétaro,76620,442-224-9875,México,Registro Público de Querétaro,2026-05-07T20:56:56.260130,SYH901322OK,1-10,Activo
Santiago Automotriz Servicios,Automotriz,1007 Tecnológico,Milenium,Querétaro,Querétaro,76649,442-569-2162,México,Registro Público de Querétaro,2026-05-07T20:56:56.260136,TUQ156986SQ,200+,Activo
Bicentenario Servicios S. de R.L.,Servicios,1767 Constituyentes,Milenium,Querétaro,Querétaro,76594,442-643-7134,México,Registro Público de Querétaro,2026-05-07T20:56:56.260145,CUB776738XK,200+,Activo
Juriquilla Química Tecnológico,Química,1819 Corregidora,Juriquilla,Querétaro,Querétaro,76194,442-990-9624,México,Registro Público de Querétaro,2026-05-07T20:56:56.260150,BNE929804LU,200+,Activo
Juriquilla Aeronáutica Tecnológico,Aeronáutica,1124 Hidalgo,San Pablo,Querétaro,Querétaro,76283,442-249-5234,México,Registro Público de Querétaro,2026-05-07T20:56:56.260161,LWP824582MG,200+,Activo
Juriquilla Automotriz S. de R.L.,Automotriz,1635 Zaragoza,Milenium,Querétaro,Querétaro,76382,442-301-9926,México,Registro Público de Querétaro,2026-05-07T20:56:56.260170,UFT257839MM,1-10,Activo
Corregidora Construcción S. de R.L.,Construcción,1440 Hidalgo,San Juan del Río,Querétaro,Querétaro,76223,442-266-9146,México,Registro Público de Querétaro,2026-05-07T20:56:56.260180,NFZ353844AA,1-10,Activo
Bicentenario Alimentos Industrial,Alimentos,1707 Constituyentes,El Marqués,Querétaro,Querétaro,76277,442-298-2070,México,Registro Público de Querétaro,2026-05-07T20:56:56.260188,GWI515817PV,11-50,Activo
Bicentenario Aeronáutica S.A. de C.V.,Aeronáutica,1426 Zaragoza,San Juan del Río,Querétaro,Querétaro,76498,442-396-9569,México,Registro Público de Querétaro,2026-05-07T20:56:56.260197,JPZ879709OW,11-50,Activo
San Pablo Construcción Tecnológico,Construcción,444 Juriquilla,El Pueblito,Querétaro,Querétaro,76200,442-942-3484,México,Registro Público de Querétaro,2026-05-07T20:56:56.260210,TLR116480QN,200+,Activo
Santiago Comercio Servicios,Comercio,931 Corregidora,Juriquilla,Querétaro,Querétaro,76817,442-406-8770,México,Registro Público de Querétaro,2026-05-07T20:56:56.260220,VPY914384KF,1-10,Activo
Querétaro Alimentos Tecnológico,Alimentos,1746 Juriquilla,San Juan del Río,Querétaro,Querétaro,76236,442-107-5680,México,Registro Público de Querétaro,2026-05-07T20:56:56.260229,MPS598097QG,200+,Activo
Bicentenario Servicios S.A. de C.V.,Servicios,1370 Bernal,San Juan del Río,Querétaro,Querétaro,76041,442-254-3152,México,Registro Público de Querétaro,2026-05-07T20:56:56.260240,QQV444803VH,200+,Activo
Juriquilla Logística S.A. de C.V.,Logística,1614 Constituyentes,Corregidora,Querétaro,Querétaro,76865,442-486-7439,México,Registro Público de Querétaro,2026-05-07T20:56:56.260246,KTA183935OR,11-50,Activo
Juriquilla Turismo S.A. de C.V.,Turismo,1142 Zaragoza,El Marqués,Querétaro,Querétaro,76318,442-650-9355,México,Registro Público de Querétaro,2026-05-07T20:56:56.260252,QNN864589JX,51-200,Activo
Juriquilla Alimentos Tecnológico,Alimentos,236 Constituyentes,San Pablo,Querétaro,Querétaro,76881,442-897-6570,México,Registro Público de Querétaro,2026-05-07T20:56:56.260258,EHS745741EH,1-10,Activo
El Marqués Aeronáutica S. de R.L.,Aeronáutica,883 Corregidora,Corregidora,Querétaro,Querétaro,76174,442-241-1885,México,Registro Público de Querétaro,2026-05-07T20:56:56.260264,AOV174418KS,200+,Activo
Corregidora Turismo Aeroespacial,Turismo,1911 Pasteur,Centro,Querétaro,Querétaro,76242,442-619-1943,México,Registro Público de Querétaro,2026-05-07T20:56:56.260270,VJS905931GS,51-200,Activo
Santiago Comercio Industrial,Comercio,1469 Corregidora,Juriquilla,Querétaro,Querétaro,76366,442-326-6033,México,Registro Público de Querétaro,2026-05-07T20:56:56.260276,ISC899930EF,200+,Activo
Corregidora Servicios Servicios,Servicios,82 Universidad,Tequisquiapan,Querétaro,Querétaro,76956,442-243-3213,México,Registro Público de Querétaro,2026-05-07T20:56:56.260282,NCU980974GL,1-10,Activo
Juriquilla Química S. de R.L.,Química,401 Hidalgo,Corregidora,Querétaro,Querétaro,76079,442-981-2829,México,Registro Público de Querétaro,2026-05-07T20:56:56.260288,YXM202274QT,200+,Activo
El Marqués Aeronáutica Industrial,Aeronáutica,25 Paseo,Centro,Querétaro,Querétaro,76203,442-190-6323,México,Registro Público de Querétaro,2026-05-07T20:56:56.260294,XHD585060PK,51-200,Activo
Querétaro Aeronáutica Industrial,Aeronáutica,653 Hidalgo,San Pablo,Querétaro,Querétaro,76154,442-857-8095,México,Registro Público de Querétaro,2026-05-07T20:56:56.260303,AVD598194FP,200+,Activo
Querétaro Tecnología S.A. de C.V.,Tecnología,493 Hidalgo,San Pablo,Querétaro,Querétaro,76068,442-213-8969,México,Registro Público de Querétaro,2026-05-07T20:56:56.260309,WKK827436OC,200+,Activo
Santiago Logística S. de R.L.,Logística,1711 Zaragoza,Tequisquiapan,Querétaro,Querétaro,76285,442-255-7682,México,Registro Público de Querétaro,2026-05-07T20:56:56.260315,CWD590989UK,200+,Activo
Corregidora Servicios Servicios,Servicios,116 Universidad,El Pueblito,Querétaro,Querétaro,76406,442-197-6795,México,Registro Público de Querétaro,2026-05-07T20:56:56.260321,LGX998853YK,1-10,Activo
Santiago Automotriz Industrial,Automotriz,1690 Paseo,Milenium,Querétaro,Querétaro,76939,442-715-2158,México,Registro Público de Querétaro,2026-05-07T20:56:56.260327,ERD940938HC,1-10,Activo
Bicentenario Tecnología Aeroespacial,Tecnología,938 Universidad,Tequisquiapan,Querétaro,Querétaro,76961,442-168-6250,México,Registro Público de Querétaro,2026-05-07T20:56:56.260333,VIY323803ID,200+,Activo
Centro Sur Química Aeroespacial,Química,332 Zaragoza,Juriquilla,Querétaro,Querétaro,76033,442-903-9339,México,Registro Público de Querétaro,2026-05-07T20:56:56.260342,DIZ102877GH,51-200,Activo
San Pablo Comercio Tecnológico,Comercio,1100 Universidad,Juriquilla,Querétaro,Querétaro,76606,442-195-5109,México,Registro Público de Querétaro,2026-05-07T20:56:56.260347,WVB738753OY,200+,Activo
Querétaro Logística Servicios,Logística,371 Pasteur,Corregidora,Querétaro,Querétaro,76822,442-854-7201,México,Registro Público de Querétaro,2026-05-07T20:56:56.260353,WNU853855VV,200+,Activo
Centro Sur Química S.A. de C.V.,Química,995 Hidalgo,Tequisquiapan,Querétaro,Querétaro,76529,442-182-6460,México,Registro Público de Querétaro,2026-05-07T20:56:56.260359,NSW409145JP,1-10,Activo
Corregidora Construcción Servicios,Construcción,1066 Corregidora,Juriquilla,Querétaro,Querétaro,76629,442-402-1386,México,Registro Público de Querétaro,2026-05-07T20:56:56.260368,ROT352648EP,200+,Activo
Centro Sur Alimentos Tecnológico,Alimentos,1839 Bernal,Tequisquiapan,Querétaro,Querétaro,76868,442-369-1765,México,Registro Público de Querétaro,2026-05-07T20:56:56.260374,XQZ151429DA,11-50,Activo
San Pablo Alimentos Servicios,Alimentos,794 Paseo,Juriquilla,Querétaro,Querétaro,76661,442-671-1110,México,Registro Público de Querétaro,2026-05-07T20:56:56.260379,HZA629815CM,1-10,Activo
El Marqués Logística Tecnológico,Logística,891 Paseo,Centro,Querétaro,Querétaro,76587,442-674-5843,México,Registro Público de Querétaro,2026-05-07T20:56:56.260385,NGE717709LG,51-200,Activo
Juriquilla Tecnología S. de R.L.,Tecnología,1372 Tecnológico,Milenium,Querétaro,Querétaro,76637,442-313-6324,México,Registro Público de Querétaro,2026-05-07T20:56:56.260390,YVD275201NE,200+,Activo
Corregidora Construcción Aeroespacial,Construcción,284 Universidad,Juriquilla,Querétaro,Querétaro,76208,442-704-7972,México,Registro Público de Querétaro,2026-05-07T20:56:56.260413,ZCW399142UD,1-10,Activo
El Marqués Logística Tecnológico,Logística,762 Corregidora,El Pueblito,Querétaro,Querétaro,76953,442-783-9293,México,Registro Público de Querétaro,2026-05-07T20:56:56.260419,ILU450414ZN,1-10,Activo
El Marqués Aeronáutica Industrial,Aeronáutica,231 Tecnológico,San Juan del Río,Querétaro,Querétaro,76433,442-322-9397,México,Registro Público de Querétaro,2026-05-07T20:56:56.260425,XXU981545WJ,11-50,Activo
Santiago Alimentos Aeroespacial,Alimentos,1297 Zaragoza,Corregidora,Querétaro,Querétaro,76544,442-288-5084,México,Registro Público de Querétaro,2026-05-07T20:56:56.260431,KXJ557421DM,51-200,Activo
Juriquilla Construcción S.A. de C.V.,Construcción,42 Hidalgo,San Pablo,Querétaro,Querétaro,76777,442-368-8247,México,Registro Público de Querétaro,2026-05-07T20:56:56.260436,KQM474287NB,200+,Activo
El Marqués Servicios Industrial,Servicios,513 Juriquilla,Tequisquiapan,Querétaro,Querétaro,76183,442-825-5824,México,Registro Público de Querétaro,2026-05-07T20:56:56.260445,KKD853795NF,51-200,Activo
Querétaro Aeronáutica Tecnológico,Aeronáutica,1268 Corregidora,Corregidora,Querétaro,Querétaro,76212,442-890-3023,México,Registro Público de Querétaro,2026-05-07T20:56:56.260451,OPI254958QI,200+,Activo
San Pablo Química S. de R.L.,Química,515 Universidad,Tequisquiapan,Querétaro,Querétaro,76499,442-786-4475,México,Registro Público de Querétaro,2026-05-07T20:56:56.260460,CJK605821US,1-10,Activo
El Marqués Servicios Servicios,Servicios,1721 Tecnológico,Corregidora,Querétaro,Querétaro,76483,442-742-5070,México,Registro Público de Querétaro,2026-05-07T20:56:56.260466,MKV660854CI,200+,Activo
San Pablo Química Servicios,Química,1819 Universidad,El Marqués,Querétaro,Querétaro,76363,442-801-9783,México,Registro Público de Querétaro,2026-05-07T20:56:56.260475,UDR713790JD,51-200,Activo
El Marqués Alimentos Servicios,Alimentos,1915 Paseo,Juriquilla,Querétaro,Querétaro,76689,442-111-1979,México,Registro Público de Querétaro,2026-05-07T20:56:56.260481,YUI394923PK,11-50,Activo
Centro Sur Química S.A. de C.V.,Química,1215 Corregidora,Tequisquiapan,Querétaro,Querétaro,76327,442-428-9058,México,Registro Público de Querétaro,2026-05-07T20:56:56.260487,DON464602MH,200+,Activo
Corregidora Construcción Aeroespacial,Construcción,959 Tecnológico,El Pueblito,Querétaro,Querétaro,76963,442-650-5487,México,Registro Público de Querétaro,2026-05-07T20:56:56.260493,UDE198274KX,51-200,Activo
Centro Sur Logística Aeroespacial,Logística,980 Pasteur,El Marqués,Querétaro,Querétaro,76376,442-247-6198,México,Registro Público de Querétaro,2026-05-07T20:56:56.260499,IQD771262UM,11-50,Activo
San Pablo Construcción S. de R.L.,Construcción,1034 Corregidora,San Juan del Río,Querétaro,Querétaro,76429,442-361-2209,México,Registro Público de Querétaro,2026-05-07T20:56:56.260505,ZWQ359072PJ,51-200,Activo
Bicentenario Turismo Tecnológico,Turismo,1959 Zaragoza,Corregidora,Querétaro,Querétaro,76253,442-275-3978,México,Registro Público de Querétaro,2026-05-07T20:56:56.260514,NLX610185UZ,51-200,Activo
Santiago Logística Tecnológico,Logística,1407 Hidalgo,San Pablo,Querétaro,Querétaro,76002,442-895-8559,México,Registro Público de Querétaro,2026-05-07T20:56:56.260520,OIC433734HB,51-200,Activo
Bicentenario Tecnología Servicios,Tecnología,788 Bernal,San Juan del Río,Querétaro,Querétaro,76542,442-839-2678,México,Registro Público de Querétaro,2026-05-07T20:56:56.260526,KNM731392VY,200+,Activo
