business_name,status,jurisdiction,incorporation_date,agent,address,city,state,zip,county,phone,email,sos_id,business_type,source,priority,discovered_at,enrichment_status
15 Taqueria 2,Active,California,2022-01-08,Sample Agent 2,141 Sunset Blvd,San Jose,CA,95398,San Diego,(408) 580-9005,,C9922283,taqueria,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:55.004Z,pending
15 Diner 2,Active,California,2013-09-01,Sample Agent 2,8247 Market St,San Francisco,CA,94776,San Diego,(415) 149-1349,,C9418612,diner,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:54.975Z,pending
15 Coffee Shop 1,Active,California,2020-10-31,Sample Agent 1,8164 Wilshire Blvd,San Diego,CA,92139,San Diego,(619) 707-5795,,C9389545,coffee shop,CA_SOS_Scraper_Generated,high,2026-05-07T20:47:54.517Z,pending
15 Bistro 2,Active,California,2010-08-12,Sample Agent 2,8137 Market St,San Jose,CA,95996,San Diego,(408) 160-4426,,C4884717,bistro,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:54.517Z,pending
12 Diner 2,Active,California,2010-04-29,Sample Agent 2,3187 Wilshire Blvd,San Jose,CA,95197,San Diego,(408) 680-7687,,C3716666,diner,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:55.378Z,pending
12 Deli 3,Active,California,2010-10-16,Sample Agent 3,7122 Broadway,San Francisco,CA,94303,San Diego,(415) 950-5824,,C3751839,deli,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:55.378Z,pending
15 Taqueria 2,Active,California,2024-09-28,Sample Agent 2,2794 Market St,San Diego,CA,92314,San Diego,(619) 703-1573,,C7012957,taqueria,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:53.992Z,pending
15 Bistro 2,Active,California,2015-09-05,Sample Agent 2,6632 Market St,San Francisco,CA,94541,San Diego,(415) 279-2603,,C7003471,bistro,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:54.946Z,pending
15 Bistro 1,Active,California,2020-05-16,Sample Agent 1,8198 Main St,San Diego,CA,92716,San Diego,(619) 239-9812,,C5317697,bistro,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:54.470Z,pending
15 Coffee Shop 3,Active,California,2012-06-15,Sample Agent 3,2665 Hollywood Blvd,San Diego,CA,92357,San Diego,(619) 859-4432,,C4460095,coffee shop,CA_SOS_Scraper_Generated,high,2026-05-07T20:47:54.470Z,pending
15 Coffee Shop 1,Active,California,2015-03-30,Sample Agent 1,2690 Sunset Blvd,San Francisco,CA,94657,San Diego,(415) 152-3246,,C1937089,coffee shop,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:54.962Z,pending
12 Bistro 2,Active,California,2019-06-08,Sample Agent 2,6909 Sunset Blvd,San Jose,CA,95828,San Diego,(408) 739-8536,,C7873811,bistro,CA_SOS_Scraper_Generated,high,2026-05-07T20:47:55.375Z,pending
15 Deli 3,Active,California,2010-12-20,Sample Agent 3,4034 Hollywood Blvd,San Francisco,CA,94349,San Diego,(415) 593-3756,,C1803376,deli,CA_SOS_Scraper_Generated,high,2026-05-07T20:47:53.991Z,pending
15 Deli 1,Active,California,2011-08-11,Sample Agent 1,176 Sunset Blvd,San Francisco,CA,94892,San Diego,(415) 332-2716,,C2207290,deli,CA_SOS_Scraper_Generated,high,2026-05-07T20:47:54.609Z,pending
12 Restaurant 1,Active,California,2012-02-07,Sample Agent 1,2464 Mission St,San Francisco,CA,94264,San Diego,(415) 480-5475,,C8779942,restaurant,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:55.111Z,pending
12 Restaurant 2,Active,California,2015-10-07,Sample Agent 2,2378 1st St,San Diego,CA,92317,San Diego,(619) 275-5669,,C1733531,restaurant,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:55.111Z,pending
15 Diner 3,Active,California,2011-03-25,Sample Agent 3,4621 Sunset Blvd,San Diego,CA,92698,San Diego,(619) 226-8269,,C2636933,diner,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:53.921Z,pending
15 Deli 1,Inactive,California,2025-07-06,Sample Agent 1,3856 Wilshire Blvd,San Diego,CA,92243,San Diego,(619) 310-9981,,C3221563,deli,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:54.499Z,pending
15 Bistro 3,Active,California,2014-12-30,Sample Agent 3,1996 Main St,San Jose,CA,95639,San Diego,(408) 769-7419,,C5621335,bistro,CA_SOS_Scraper_Generated,high,2026-05-07T20:47:54.499Z,pending
15 Cafe 1,Active,California,2010-10-27,Sample Agent 1,3332 Market St,San Diego,CA,92649,San Diego,(619) 606-6495,,C3445404,cafe,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:54.988Z,pending
15 Restaurant 2,Active,California,2016-04-01,Sample Agent 2,4944 1st St,San Francisco,CA,94430,San Diego,(415) 166-7859,,C7306117,restaurant,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:54.988Z,pending
15 Taqueria 1,Active,California,2020-11-04,Sample Agent 1,8179 Wilshire Blvd,San Francisco,CA,94417,San Diego,(415) 680-7654,,C7647137,taqueria,CA_SOS_Scraper_Generated,high,2026-05-07T20:47:54.515Z,pending
15 Diner 1,Active,California,2022-11-08,Sample Agent 1,2133 Main St,San Francisco,CA,9440,San Diego,(415) 785-1509,,C1018172,diner,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:54.920Z,pending
15 Restaurant 3,Active,California,2016-07-15,Sample Agent 3,4861 Market St,San Diego,CA,92555,San Diego,(619) 972-3549,,C6053516,restaurant,CA_SOS_Scraper_Generated,high,2026-05-07T20:47:54.920Z,pending
15 Taqueria 1,Inactive,California,2019-10-04,Sample Agent 1,6383 Hollywood Blvd,San Jose,CA,95966,San Diego,(408) 648-1856,,C7431654,taqueria,CA_SOS_Scraper_Generated,high,2026-05-07T20:47:54.046Z,pending
12 Diner 3,Active,California,2010-08-09,Sample Agent 3,7339 Hollywood Blvd,San Diego,CA,92423,San Diego,(619) 555-8620,,C3680309,diner,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:55.386Z,pending
12 Diner 2,Active,California,2016-06-25,Sample Agent 2,6017 Wilshire Blvd,San Diego,CA,92527,San Diego,(619) 128-1463,,C2889525,diner,CA_SOS_Scraper_Generated,high,2026-05-07T20:47:55.359Z,pending
15 Restaurant 1,Active,California,2021-07-29,Sample Agent 1,7886 1st St,San Francisco,CA,9465,San Diego,(415) 963-2039,,C8611315,restaurant,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:54.459Z,pending
15 Deli 2,Active,California,2026-01-23,Sample Agent 2,6097 Hollywood Blvd,San Diego,CA,92630,San Diego,(619) 218-6195,,C8649676,deli,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:54.611Z,pending
12 Bistro 3,Active,California,2015-05-09,Sample Agent 3,5619 Market St,San Francisco,CA,94768,San Diego,(415) 667-3804,,C3614454,bistro,CA_SOS_Scraper_Generated,high,2026-05-07T20:47:55.280Z,pending
12 Coffee Shop 2,Active,California,2021-12-06,Sample Agent 2,6091 Sunset Blvd,San Francisco,CA,94492,San Diego,(415) 820-2080,,C9450971,coffee shop,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:55.246Z,pending
15 Bistro 1,Active,California,2015-05-31,Sample Agent 1,8762 Sunset Blvd,San Jose,CA,95788,San Diego,(408) 439-7730,,C2783768,bistro,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:53.887Z,pending
15 Taqueria 3,Active,California,2013-12-15,Sample Agent 3,8781 Wilshire Blvd,San Francisco,CA,94177,San Diego,(415) 892-9248,,C4345304,taqueria,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:54.139Z,pending
15 Taqueria 3,Active,California,2013-03-16,Sample Agent 3,283 Mission St,San Jose,CA,95618,San Diego,(408) 410-3539,,C4246722,taqueria,CA_SOS_Scraper_Generated,high,2026-05-07T20:47:53.967Z,pending
15 Restaurant 1,Active,California,2012-12-22,Sample Agent 1,2354 Wilshire Blvd,San Diego,CA,92434,San Diego,(619) 684-5351,,C2385645,restaurant,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:54.483Z,pending
15 Cafe 2,Active,California,2020-05-12,Sample Agent 2,4161 1st St,San Jose,CA,95629,San Diego,(408) 393-7300,,C7035252,cafe,CA_SOS_Scraper_Generated,high,2026-05-07T20:47:54.483Z,pending
12 Bistro 2,Active,California,2018-05-24,Sample Agent 2,3791 1st St,San Francisco,CA,94351,San Diego,(415) 765-9663,,C4161437,bistro,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:55.190Z,pending
15 Cafe 3,Active,California,2023-08-07,Sample Agent 3,5463 Sunset Blvd,San Jose,CA,95428,San Diego,(408) 735-7845,,C7920823,cafe,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:54.228Z,pending
15 Restaurant 1,Active,California,2024-11-12,Sample Agent 1,585 1st St,San Jose,CA,95607,San Diego,(408) 383-9558,,C7989809,restaurant,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:53.966Z,pending
15 Diner 3,Inactive,California,2016-04-24,Sample Agent 3,3261 Mission St,San Jose,CA,95257,San Diego,(408) 540-7096,,C6259251,diner,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:54.073Z,pending
15 Diner 2,Active,California,2026-02-06,Sample Agent 2,3733 1st St,San Jose,CA,95683,San Diego,(408) 122-8367,,C9584057,diner,CA_SOS_Scraper_Generated,high,2026-05-07T20:47:54.645Z,pending
15 Deli 2,Active,California,2011-07-15,Sample Agent 2,5509 Hollywood Blvd,San Francisco,CA,94300,San Diego,(415) 869-5989,,C9880215,deli,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:54.950Z,pending
15 Diner 3,Active,California,2011-05-17,Sample Agent 3,8250 Wilshire Blvd,San Francisco,CA,94134,San Diego,(415) 477-4604,,C1039532,diner,CA_SOS_Scraper_Generated,high,2026-05-07T20:47:54.511Z,pending
20 Bistro 3,Inactive,California,2012-05-30,Sample Agent 3,8374 Wilshire Blvd,San Jose,CA,95326,San Diego,(408) 147-2676,,C7617651,bistro,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:55.543Z,pending
20 Restaurant 1,Active,California,2015-03-17,Sample Agent 1,1844 Main St,San Diego,CA,92500,San Diego,(619) 574-3184,,C1881767,restaurant,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:55.492Z,pending
20 Deli 3,Inactive,California,2024-01-13,Sample Agent 3,120 Main St,San Diego,CA,92537,San Diego,(619) 462-1021,,C6710685,deli,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:55.492Z,pending
20 Diner 1,Active,California,2010-09-29,Sample Agent 1,320 Market St,San Jose,CA,95282,San Diego,(408) 960-9808,,C1597205,diner,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:55.541Z,pending
20 Taqueria 1,Active,California,2020-10-28,Sample Agent 1,3318 Market St,San Francisco,CA,94198,San Diego,(415) 929-4280,,C6427717,taqueria,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:55.495Z,pending
