business_name,category,address,city,province,postal_code,phone,country,source,date_scraped,naics_code,employee_count,status
Montréal Santé Entreprises,Santé,4943 rue Mont-Royal,Montréal,Québec,H3Z 8A9,514-704-5691,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266300,44230,11-50,Active
Belle Tourisme Ltée,Tourisme,776 rue St-Denis,Montréal,Québec,H7O 2X8,514-993-1501,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266315,62862,51-200,Active
Tourisme Centre 633,Tourisme,4794 rue Mont-Royal,Montréal,Québec,H9M 3R2,514-268-1075,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266331,17560,11-50,Active
Immobilier Montréal 508,Immobilier,6711 rue Sherbrooke,Montréal,Québec,H6G 6A1,514-975-4490,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266340,90592,11-50,Active
Restauration Centre 408,Restauration,5769 rue René-Lévesque,Montréal,Québec,H7L 7G3,514-275-4644,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266349,37057,11-50,Active
Grand Tourisme Groupe,Tourisme,6149 rue St-Urbain,Montréal,Québec,H7O 3Z5,514-523-7852,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266357,85788,1-10,Active
Services Financiers Belle 407,Services Financiers,1922 rue Ste-Catherine,Montréal,Québec,H5N 8B8,514-974-7969,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266366,80308,11-50,Active
Construction Nouveau 967,Construction,566 rue Papineau,Montréal,Québec,H1F 2D7,514-608-2807,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266375,97036,1-10,Active
Santé Grand 991,Santé,1483 rue St-Denis,Montréal,Québec,H3X 8R5,514-987-9169,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266394,17209,11-50,Active
Manufacturier Belle 169,Manufacturier,2481 rue Mont-Royal,Montréal,Québec,H4Q 8N4,514-227-9512,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266430,57804,200+,Active
Centre Manufacturier Entreprises,Manufacturier,625 rue Sherbrooke,Montréal,Québec,H8R 8P7,514-896-2208,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266438,54856,200+,Active
Technologie Québec 354,Technologie,5040 rue St-Laurent,Montréal,Québec,H6G 7D2,514-570-8241,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266451,34757,1-10,Active
St-Laurent Technologie Entreprises,Technologie,4642 rue Sherbrooke,Montréal,Québec,H3G 1Y2,514-989-3019,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266463,91339,51-200,Active
Nouveau Consultation Services,Consultation,7690 rue St-Denis,Montréal,Québec,H9C 7R2,514-540-1866,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266471,85879,200+,Active
St-Laurent Restauration Entreprises,Restauration,611 rue St-Urbain,Montréal,Québec,H8F 7S4,514-583-6021,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266479,38463,200+,Active
Montréal Éducation Solutions,Éducation,2911 rue René-Lévesque,Montréal,Québec,H1Z 8R2,514-406-4302,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266486,79548,200+,Active
Centre Consultation Entreprises,Consultation,1054 rue St-Urbain,Montréal,Québec,H5Q 9B4,514-601-6509,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266494,39633,51-200,Active
Québec Services Financiers Entreprises,Services Financiers,3764 rue St-Denis,Montréal,Québec,H6C 9Z9,514-617-8236,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266502,95666,1-10,Active
Construction St-Laurent 349,Construction,5719 rue St-Urbain,Montréal,Québec,H9Z 5Y1,514-495-2888,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266510,12396,1-10,Active
Centre Éducation S.A.R.L.,Éducation,7808 rue René-Lévesque,Montréal,Québec,H6O 8A7,514-997-4469,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266522,72611,1-10,Active
Nouveau Immobilier Groupe,Immobilier,2875 rue Ste-Catherine,Montréal,Québec,H8I 4I7,514-585-4321,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266530,66469,51-200,Active
Grand Immobilier Ltée,Immobilier,270 rue René-Lévesque,Montréal,Québec,H3X 4V7,514-540-7776,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266537,25136,51-200,Active
Grand Consultation Ltée,Consultation,2678 rue René-Lévesque,Montréal,Québec,H7Y 6X3,514-583-5938,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266549,89006,1-10,Active
Santé Grand 111,Santé,4448 rue St-Denis,Montréal,Québec,H4O 8P4,514-756-3461,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266558,95172,11-50,Active
Immobilier Belle 107,Immobilier,7662 rue Papineau,Montréal,Québec,H5W 2M3,514-773-9451,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266567,39743,200+,Active
Immobilier Montréal 765,Immobilier,4776 rue Ste-Catherine,Montréal,Québec,H5D 7E7,514-659-4197,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266575,69181,51-200,Active
Centre Commerce de détail Ltée,Commerce de détail,1783 rue St-Laurent,Montréal,Québec,H9L 5J2,514-495-8622,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266583,90341,51-200,Active
Tourisme Nouveau 627,Tourisme,4048 rue St-Laurent,Montréal,Québec,H3E 1V7,514-235-1416,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266592,49884,200+,Active
Grand Commerce de détail Groupe,Commerce de détail,3336 rue St-Urbain,Montréal,Québec,H2Q 6A8,514-751-5836,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266599,50244,11-50,Active
St-Laurent Santé Inc,Santé,2547 rue St-Laurent,Montréal,Québec,H5O 3U6,514-251-8703,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266607,57526,11-50,Active
Centre Construction Solutions,Construction,2567 rue René-Lévesque,Montréal,Québec,H6B 2Y4,514-683-3822,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266615,55238,1-10,Active
Transport Montréal 219,Transport,5485 rue Mont-Royal,Montréal,Québec,H3Y 9P2,514-879-7986,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266624,24619,11-50,Active
Consultation Québec 195,Consultation,6558 rue René-Lévesque,Montréal,Québec,H7O 1C7,514-856-1169,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266644,46124,1-10,Active
Montréal Manufacturier Ltée,Manufacturier,5976 rue St-Denis,Montréal,Québec,H6Q 5R7,514-737-5976,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266654,81949,1-10,Active
Montréal Services Financiers Inc,Services Financiers,5165 rue René-Lévesque,Montréal,Québec,H4M 2J1,514-309-4266,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266674,22770,51-200,Active
Québec Services Financiers Services,Services Financiers,5638 rue Ste-Catherine,Montréal,Québec,H3D 2Z1,514-616-8122,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266685,73189,200+,Active
Commerce de détail Belle 726,Commerce de détail,1718 rue St-Laurent,Montréal,Québec,H6O 5F4,514-569-2529,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266698,40654,51-200,Active
Immobilier St-Laurent 311,Immobilier,715 rue Sherbrooke,Montréal,Québec,H7M 9U4,514-479-2399,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266711,57465,200+,Active
Immobilier Montréal 735,Immobilier,6576 rue St-Laurent,Montréal,Québec,H4E 6Y9,514-421-4433,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266720,65202,11-50,Active
Belle Manufacturier Entreprises,Manufacturier,6986 rue St-Laurent,Montréal,Québec,H7S 1I8,514-337-7947,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266727,53207,51-200,Active
Commerce de détail St-Laurent 140,Commerce de détail,1135 rue Papineau,Montréal,Québec,H8F 3O3,514-881-2118,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266736,18811,51-200,Active
Manufacturier Grand 698,Manufacturier,1152 rue St-Denis,Montréal,Québec,H2T 9G2,514-670-6866,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266744,66273,200+,Active
Nouveau Services Financiers Ltée,Services Financiers,6030 rue Mont-Royal,Montréal,Québec,H3M 9Y3,514-281-7802,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266758,20750,11-50,Active
Grand Santé Services,Santé,6756 rue Mont-Royal,Montréal,Québec,H6B 3D5,514-624-8299,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266766,28530,51-200,Active
Technologie Belle 606,Technologie,4654 rue St-Laurent,Montréal,Québec,H6V 3S1,514-788-2675,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266774,65366,1-10,Active
Centre Restauration S.A.R.L.,Restauration,2414 rue Ste-Catherine,Montréal,Québec,H2I 5B2,514-579-4904,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266781,56031,11-50,Active
Belle Santé Entreprises,Santé,2523 rue Mont-Royal,Montréal,Québec,H6H 4U9,514-585-7144,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266789,13212,51-200,Active
Québec Transport Services,Transport,6292 rue Sherbrooke,Montréal,Québec,H9S 7W1,514-955-8845,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266799,17162,11-50,Active
St-Laurent Manufacturier S.A.R.L.,Manufacturier,3260 rue Papineau,Montréal,Québec,H7J 8I6,514-590-1247,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266812,29443,11-50,Active
Immobilier Nouveau 187,Immobilier,1208 rue St-Urbain,Montréal,Québec,H5S 4B9,514-489-3947,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266829,87209,51-200,Active
St-Laurent Éducation Groupe,Éducation,284 rue St-Denis,Montréal,Québec,H5A 7V8,514-729-3846,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266838,90904,51-200,Active
Montréal Consultation Services,Consultation,6343 rue René-Lévesque,Montréal,Québec,H4T 4Z5,514-524-1659,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266847,25703,1-10,Active
Tourisme Québec 206,Tourisme,4882 rue René-Lévesque,Montréal,Québec,H7Y 7E2,514-387-6617,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266858,17660,1-10,Active
Santé Montréal 828,Santé,6324 rue Papineau,Montréal,Québec,H9Y 3G6,514-614-1758,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266867,46129,1-10,Active
Manufacturier Montréal 241,Manufacturier,3914 rue René-Lévesque,Montréal,Québec,H3K 1U8,514-760-5243,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266875,67014,11-50,Active
Nouveau Consultation S.A.R.L.,Consultation,1385 rue René-Lévesque,Montréal,Québec,H3K 6C2,514-497-7355,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266883,57694,11-50,Active
St-Laurent Services Financiers Inc,Services Financiers,2637 rue Papineau,Montréal,Québec,H2S 1K4,514-826-2377,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266895,74102,51-200,Active
Tourisme St-Laurent 352,Tourisme,1121 rue Ste-Catherine,Montréal,Québec,H4U 3N3,514-848-5435,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266904,27980,11-50,Active
Immobilier Centre 932,Immobilier,4203 rue St-Urbain,Montréal,Québec,H3S 4F2,514-962-3685,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266913,58992,11-50,Active
Restauration Nouveau 483,Restauration,2104 rue Sherbrooke,Montréal,Québec,H8A 5O4,514-620-3050,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266921,80641,1-10,Active
Centre Santé Ltée,Santé,894 rue Ste-Catherine,Montréal,Québec,H8K 2N7,514-228-3859,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266930,87224,1-10,Active
Grand Services Financiers S.A.R.L.,Services Financiers,7202 rue St-Laurent,Montréal,Québec,H6P 3P8,514-680-1155,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266939,69491,11-50,Active
Montréal Éducation Entreprises,Éducation,1300 rue St-Urbain,Montréal,Québec,H4Y 1J3,514-595-4072,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266951,20097,11-50,Active
Centre Services Financiers Groupe,Services Financiers,7536 rue Papineau,Montréal,Québec,H8D 6K2,514-979-5035,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266959,93975,51-200,Active
Centre Restauration Ltée,Restauration,984 rue St-Denis,Montréal,Québec,H6I 3D2,514-494-6591,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266966,70889,1-10,Active
Grand Services Financiers Groupe,Services Financiers,6582 rue Sherbrooke,Montréal,Québec,H1S 6Y9,514-468-9322,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266975,28898,51-200,Active
Commerce de détail Montréal 197,Commerce de détail,2350 rue St-Denis,Montréal,Québec,H8S 9U2,514-388-7971,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266983,42813,11-50,Active
Restauration Québec 691,Restauration,6764 rue St-Laurent,Montréal,Québec,H4O 1D3,514-220-4784,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266991,14570,11-50,Active
Centre Construction Inc,Construction,5106 rue René-Lévesque,Montréal,Québec,H6J 6T5,514-755-5902,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.266998,58400,1-10,Active
Montréal Manufacturier Inc,Manufacturier,2853 rue René-Lévesque,Montréal,Québec,H2Y 4T7,514-356-3572,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.267019,41894,11-50,Active
Québec Immobilier Ltée,Immobilier,7877 rue St-Laurent,Montréal,Québec,H6S 4T9,514-735-8391,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.267032,38843,11-50,Active
Manufacturier Québec 903,Manufacturier,2281 rue St-Denis,Montréal,Québec,H8I 5O5,514-465-1277,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.267042,30652,51-200,Active
Québec Construction Solutions,Construction,2649 rue St-Laurent,Montréal,Québec,H8V 1Y4,514-802-4624,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.267056,58196,200+,Active
Centre Immobilier Groupe,Immobilier,7739 rue René-Lévesque,Montréal,Québec,H5R 2H1,514-608-6593,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.267065,49061,51-200,Active
St-Laurent Éducation Inc,Éducation,5 rue Papineau,Montréal,Québec,H4F 6N6,514-888-3255,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.267074,65692,11-50,Active
St-Laurent Commerce de détail Ltée,Commerce de détail,1020 rue René-Lévesque,Montréal,Québec,H6J 2B5,514-531-4490,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.267084,61279,51-200,Active
Nouveau Services Financiers Services,Services Financiers,4413 rue St-Urbain,Montréal,Québec,H8C 6J5,514-956-1418,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.267093,83712,1-10,Active
Construction Québec 311,Construction,6783 rue René-Lévesque,Montréal,Québec,H2B 2M3,514-964-6206,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.267103,73402,200+,Active
Consultation Centre 184,Consultation,132 rue Papineau,Montréal,Québec,H2Y 7A8,514-652-5633,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.267127,83161,200+,Active
Construction Montréal 756,Construction,7629 rue St-Denis,Montréal,Québec,H7Y 1T1,514-486-1681,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.267138,21633,51-200,Active
Nouveau Santé Solutions,Santé,7587 rue St-Urbain,Montréal,Québec,H1P 9I4,514-920-6606,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.267147,95629,11-50,Active
Immobilier Québec 520,Immobilier,5508 rue St-Urbain,Montréal,Québec,H6I 9V1,514-710-5527,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.267157,57943,11-50,Active
Technologie St-Laurent 616,Technologie,3359 rue St-Laurent,Montréal,Québec,H8M 4N7,514-977-2078,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.267168,70531,11-50,Active
St-Laurent Éducation Entreprises,Éducation,5782 rue Sherbrooke,Montréal,Québec,H7U 9Y7,514-289-8627,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.267176,59984,1-10,Active
Centre Construction Solutions,Construction,7019 rue Ste-Catherine,Montréal,Québec,H5S 4L3,514-530-4901,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.267184,44278,11-50,Active
Éducation Montréal 395,Éducation,2077 rue St-Urbain,Montréal,Québec,H2B 7I6,514-570-6007,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.267193,41587,51-200,Active
Services Financiers Nouveau 278,Services Financiers,771 rue Papineau,Montréal,Québec,H2X 7P4,514-475-2042,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.267201,19438,200+,Active
Grand Construction Ltée,Construction,2177 rue Papineau,Montréal,Québec,H2A 5J2,514-751-1011,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.267209,51502,200+,Active
Centre Commerce de détail Groupe,Commerce de détail,6652 rue Mont-Royal,Montréal,Québec,H3F 7E2,514-787-7129,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.267218,91200,11-50,Active
Construction St-Laurent 595,Construction,7262 rue Sherbrooke,Montréal,Québec,H4C 2V6,514-302-5642,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.267226,91938,11-50,Active
Centre Restauration Services,Restauration,5595 rue St-Laurent,Montréal,Québec,H3H 7W6,514-318-3419,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.267238,27840,200+,Active
Belle Consultation Solutions,Consultation,2855 rue Papineau,Montréal,Québec,H3K 5P2,514-630-3728,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.267251,42152,200+,Active
Technologie Nouveau 240,Technologie,4695 rue Sherbrooke,Montréal,Québec,H4V 8H7,514-989-4719,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.267266,84296,51-200,Active
Grand Éducation Services,Éducation,3181 rue Papineau,Montréal,Québec,H1C 7S3,514-876-7266,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.267274,15605,200+,Active
Restauration Grand 209,Restauration,7763 rue René-Lévesque,Montréal,Québec,H3Q 8W5,514-929-9348,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.267282,87835,11-50,Active
Tourisme Grand 130,Tourisme,4856 rue Ste-Catherine,Montréal,Québec,H6A 9O9,514-475-9355,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.267290,67470,200+,Active
Manufacturier Centre 404,Manufacturier,5478 rue Ste-Catherine,Montréal,Québec,H7F 9A3,514-378-8561,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.267298,12026,1-10,Active
Services Financiers Nouveau 688,Services Financiers,1261 rue René-Lévesque,Montréal,Québec,H3X 4J7,514-609-6320,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.267308,46082,200+,Active
Belle Santé Ltée,Santé,4831 rue Ste-Catherine,Montréal,Québec,H7V 8A7,514-990-9535,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.267321,17785,51-200,Active
Centre Santé S.A.R.L.,Santé,7456 rue Papineau,Montréal,Québec,H4M 6T6,514-458-1043,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.267331,92410,11-50,Active
Technologie Grand 200,Technologie,3927 rue Mont-Royal,Montréal,Québec,H8F 2U7,514-338-3055,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.267344,92657,1-10,Active
Centre Éducation Solutions,Éducation,2327 rue Mont-Royal,Montréal,Québec,H5V 9I2,514-607-4208,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.267355,62891,11-50,Active
Construction Belle 622,Construction,5153 rue St-Urbain,Montréal,Québec,H6P 8J8,514-864-9544,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.267369,38541,1-10,Active
Centre Éducation Entreprises,Éducation,7656 rue St-Laurent,Montréal,Québec,H2A 5D8,514-878-1447,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.267377,14480,1-10,Active
Santé Belle 565,Santé,7781 rue Ste-Catherine,Montréal,Québec,H3B 9Q8,514-905-6795,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.267385,37110,1-10,Active
Restauration Québec 457,Restauration,5535 rue Ste-Catherine,Montréal,Québec,H4I 3E5,514-797-4249,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.267394,79311,200+,Active
Manufacturier Centre 301,Manufacturier,451 rue St-Laurent,Montréal,Québec,H6N 6J9,514-406-6656,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.278455,34831,11-50,Active
Services Financiers St-Laurent 502,Services Financiers,5047 rue Sherbrooke,Montréal,Québec,H6P 5Q5,514-431-1711,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.278474,78387,1-10,Active
Montréal Immobilier Services,Immobilier,325 rue Ste-Catherine,Montréal,Québec,H3J 6S1,514-330-2807,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.278501,67656,1-10,Active
Commerce de détail Grand 183,Commerce de détail,438 rue Ste-Catherine,Montréal,Québec,H3K 9O5,514-847-9216,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.278518,89621,51-200,Active
Commerce de détail Québec 361,Commerce de détail,6463 rue St-Laurent,Montréal,Québec,H6V 1F5,514-630-5417,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.278528,59573,1-10,Active
Services Financiers St-Laurent 501,Services Financiers,3438 rue St-Urbain,Montréal,Québec,H4F 8S2,514-722-2547,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.278538,95490,200+,Active
Belle Services Financiers S.A.R.L.,Services Financiers,7950 rue René-Lévesque,Montréal,Québec,H2U 7I4,514-401-2410,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.278554,61963,11-50,Active
Montréal Santé S.A.R.L.,Santé,6047 rue Sherbrooke,Montréal,Québec,H2I 5H1,514-202-2548,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.278564,34957,200+,Active
Transport Nouveau 894,Transport,6842 rue René-Lévesque,Montréal,Québec,H9K 8H2,514-505-4947,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.278574,66431,1-10,Active
Éducation Centre 840,Éducation,3140 rue St-Laurent,Montréal,Québec,H2G 7A8,514-588-8227,Canada,Registraire des entreprises du Québec,2026-05-07T20:56:56.278584,45972,200+,Active
