business_name,status,jurisdiction,incorporation_date,agent,address,city,state,zip,county,phone,email,sos_id,business_type,source,priority,discovered_at,enrichment_status
15 Taqueria 1,Active,California,2026-01-04,Sample Agent 1,7506 Sunset Blvd,Anaheim,CA,90702,Los Angeles,(213) 960-4204,,C7561096,taqueria,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:55.004Z,pending
15 Deli 3,Active,California,2011-03-12,Sample Agent 3,5559 Market St,Long Beach,CA,90511,Los Angeles,(213) 178-8634,,C9900708,deli,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:55.004Z,pending
15 Deli 3,Active,California,2011-02-21,Sample Agent 3,2314 Hollywood Blvd,Anaheim,CA,90630,Los Angeles,(213) 541-6592,,C8906679,deli,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:53.953Z,pending
15 Taqueria 1,Active,California,2018-05-15,Sample Agent 1,7068 Mission St,Los Angeles,CA,90808,Los Angeles,(213) 264-3115,,C7944443,taqueria,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:54.975Z,pending
15 Coffee Shop 3,Inactive,California,2023-06-28,Sample Agent 3,2673 Hollywood Blvd,Anaheim,CA,9096,Los Angeles,(213) 515-1209,,C3167244,coffee shop,CA_SOS_Scraper_Generated,high,2026-05-07T20:47:54.975Z,pending
12 Restaurant 1,Inactive,California,2017-08-09,Sample Agent 1,1556 Market St,Long Beach,CA,90844,Los Angeles,(213) 543-4358,,C2009162,restaurant,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:55.378Z,pending
15 Coffee Shop 1,Active,California,2025-06-16,Sample Agent 1,175 Wilshire Blvd,Los Angeles,CA,90212,Los Angeles,(213) 768-3249,,C7400648,coffee shop,CA_SOS_Scraper_Generated,high,2026-05-07T20:47:53.992Z,pending
15 Diner 1,Active,California,2011-03-26,Sample Agent 1,5053 1st St,Long Beach,CA,90113,Los Angeles,(213) 871-2446,,C5360915,diner,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:54.946Z,pending
15 Restaurant 1,Active,California,2011-12-19,Sample Agent 1,5288 Market St,Anaheim,CA,90166,Los Angeles,(213) 700-5967,,C6673358,restaurant,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:54.571Z,pending
15 Cafe 3,Inactive,California,2019-03-07,Sample Agent 3,3610 Mission St,Anaheim,CA,90401,Los Angeles,(213) 289-6705,,C6007493,cafe,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:54.962Z,pending
12 Diner 1,Active,California,2012-07-31,Sample Agent 1,5796 Hollywood Blvd,Long Beach,CA,90471,Los Angeles,(213) 571-7274,,C7118711,diner,CA_SOS_Scraper_Generated,high,2026-05-07T20:47:55.375Z,pending
12 Bistro 3,Active,California,2023-08-21,Sample Agent 3,8651 1st St,Anaheim,CA,90769,Los Angeles,(213) 744-3536,,C8142910,bistro,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:55.375Z,pending
15 Diner 1,Active,California,2022-06-23,Sample Agent 1,2593 Market St,Oakland,CA,94304,Los Angeles,(213) 218-1375,,C2794954,diner,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:53.987Z,pending
15 Restaurant 2,Active,California,2014-04-20,Sample Agent 2,7357 Hollywood Blvd,Oakland,CA,94492,Los Angeles,(213) 345-5899,,C2480030,restaurant,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:53.991Z,pending
15 Restaurant 3,Active,California,2010-11-11,Sample Agent 3,4625 Sunset Blvd,Long Beach,CA,90390,Los Angeles,(213) 430-1691,,C5644556,restaurant,CA_SOS_Scraper_Generated,high,2026-05-07T20:47:54.609Z,pending
12 Cafe 1,Inactive,California,2022-06-13,Sample Agent 1,815 Wilshire Blvd,Long Beach,CA,90969,Los Angeles,(213) 160-9239,,C4662116,cafe,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:55.328Z,pending
15 Deli 1,Active,California,2016-12-11,Sample Agent 1,6627 Sunset Blvd,Anaheim,CA,90466,Los Angeles,(213) 411-6697,,C1752558,deli,CA_SOS_Scraper_Generated,high,2026-05-07T20:47:54.446Z,pending
15 Cafe 2,Active,California,2011-03-27,Sample Agent 2,7527 Hollywood Blvd,Los Angeles,CA,90911,Los Angeles,(213) 656-8682,,C8261851,cafe,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:54.446Z,pending
15 Coffee Shop 2,Active,California,2017-01-27,Sample Agent 2,6636 1st St,Anaheim,CA,90138,Los Angeles,(213) 723-4605,,C9506219,coffee shop,CA_SOS_Scraper_Generated,high,2026-05-07T20:47:54.499Z,pending
15 Taqueria 3,Active,California,2015-04-26,Sample Agent 3,3729 1st St,Oakland,CA,94836,Los Angeles,(213) 348-6768,,C4349606,taqueria,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:54.988Z,pending
15 Deli 3,Active,California,2013-03-23,Sample Agent 3,4707 Hollywood Blvd,Oakland,CA,94445,Los Angeles,(213) 285-6384,,C9572126,deli,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:54.928Z,pending
15 Diner 2,Active,California,2021-01-10,Sample Agent 2,5000 Mission St,Long Beach,CA,90858,Los Angeles,(213) 637-7296,,C2672339,diner,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:54.515Z,pending
15 Cafe 2,Active,California,2011-09-17,Sample Agent 2,1807 Hollywood Blvd,Long Beach,CA,90287,Los Angeles,(213) 525-2344,,C6120925,cafe,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:54.046Z,pending
15 Deli 1,Active,California,2018-09-20,Sample Agent 1,2949 Market St,Long Beach,CA,90896,Los Angeles,(213) 652-4455,,C1766011,deli,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:53.940Z,pending
12 Deli 1,Inactive,California,2013-10-28,Sample Agent 1,1282 Main St,Oakland,CA,94768,Los Angeles,(213) 902-5969,,C6000643,deli,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:55.359Z,pending
12 Coffee Shop 3,Active,California,2012-02-10,Sample Agent 3,5629 Main St,Anaheim,CA,90212,Los Angeles,(213) 606-7424,,C1551138,coffee shop,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:55.359Z,pending
15 Cafe 3,Active,California,2025-08-13,Sample Agent 3,2494 Hollywood Blvd,Oakland,CA,94687,Los Angeles,(213) 408-6181,,C2910956,cafe,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:54.459Z,pending
15 Bistro 2,Active,California,2017-01-05,Sample Agent 2,5980 1st St,Los Angeles,CA,90339,Los Angeles,(213) 731-4071,,C7324245,bistro,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:54.993Z,pending
15 Coffee Shop 3,Active,California,2016-02-13,Sample Agent 3,2313 1st St,Long Beach,CA,90874,Los Angeles,(213) 569-1256,,C4053110,coffee shop,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:54.993Z,pending
12 Deli 2,Inactive,California,2017-10-18,Sample Agent 2,1396 Sunset Blvd,Anaheim,CA,90645,Los Angeles,(213) 713-5850,,C8033716,deli,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:55.365Z,pending
12 Restaurant 3,Inactive,California,2020-07-17,Sample Agent 3,5091 Mission St,Los Angeles,CA,90395,Los Angeles,(213) 937-3065,,C9492446,restaurant,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:55.365Z,pending
15 Deli 1,Inactive,California,2014-05-13,Sample Agent 1,2554 Hollywood Blvd,Oakland,CA,94405,Los Angeles,(213) 763-7821,,C7183284,deli,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:53.949Z,pending
15 Cafe 1,Active,California,2018-01-22,Sample Agent 1,1606 1st St,Oakland,CA,94894,Los Angeles,(213) 585-3490,,C8605856,cafe,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:54.280Z,pending
15 Coffee Shop 2,Active,California,2018-04-23,Sample Agent 2,6251 Main St,Oakland,CA,94950,Los Angeles,(213) 878-9947,,C7301948,coffee shop,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:54.280Z,pending
12 Restaurant 2,Active,California,2022-07-26,Sample Agent 2,3384 Market St,Los Angeles,CA,90915,Los Angeles,(213) 346-3850,,C3410884,restaurant,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:55.280Z,pending
15 Diner 1,Active,California,2012-07-19,Sample Agent 1,8377 Hollywood Blvd,Los Angeles,CA,9019,Los Angeles,(213) 525-7222,,C7533535,diner,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:53.737Z,pending
12 Coffee Shop 3,Active,California,2019-10-01,Sample Agent 3,4185 Mission St,Oakland,CA,94306,Los Angeles,(213) 171-2546,,C3948489,coffee shop,CA_SOS_Scraper_Generated,high,2026-05-07T20:47:55.246Z,pending
15 Bistro 2,Active,California,2014-07-16,Sample Agent 2,4951 Wilshire Blvd,Long Beach,CA,9019,Los Angeles,(213) 125-3666,,C5890262,bistro,CA_SOS_Scraper_Generated,high,2026-05-07T20:47:53.954Z,pending
15 Cafe 2,Active,California,2025-11-09,Sample Agent 2,408 Market St,Anaheim,CA,90130,Los Angeles,(213) 342-1557,,C5671746,cafe,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:53.887Z,pending
15 Cafe 3,Active,California,2013-12-08,Sample Agent 3,1403 Hollywood Blvd,Los Angeles,CA,9031,Los Angeles,(213) 414-4435,,C2277407,cafe,CA_SOS_Scraper_Generated,high,2026-05-07T20:47:53.887Z,pending
12 Diner 2,Active,California,2011-06-10,Sample Agent 2,8094 1st St,Los Angeles,CA,90299,Los Angeles,(213) 572-2943,,C2001251,diner,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:55.268Z,pending
12 Diner 1,Active,California,2020-06-13,Sample Agent 1,8393 Market St,Oakland,CA,94835,Los Angeles,(213) 398-2494,,C3664500,diner,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:55.219Z,pending
12 Coffee Shop 2,Active,California,2010-09-10,Sample Agent 2,8983 Mission St,Anaheim,CA,9037,Los Angeles,(213) 645-2283,,C2579001,coffee shop,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:55.219Z,pending
12 Restaurant 3,Active,California,2017-01-17,Sample Agent 3,6594 Wilshire Blvd,Anaheim,CA,90451,Los Angeles,(213) 529-2079,,C9784949,restaurant,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:55.219Z,pending
15 Bistro 1,Active,California,2016-08-31,Sample Agent 1,6373 Sunset Blvd,Oakland,CA,94631,Los Angeles,(213) 762-9979,,C6731969,bistro,CA_SOS_Scraper_Generated,high,2026-05-07T20:47:53.967Z,pending
15 Bistro 3,Active,California,2018-09-09,Sample Agent 3,5695 Main St,Los Angeles,CA,90878,Los Angeles,(213) 440-3342,,C4246124,bistro,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:53.945Z,pending
12 Restaurant 3,Active,California,2014-03-14,Sample Agent 3,4669 Broadway,Long Beach,CA,90587,Los Angeles,(213) 370-6274,,C3837598,restaurant,CA_SOS_Scraper_Generated,high,2026-05-07T20:47:55.190Z,pending
15 Taqueria 2,Active,California,2022-01-29,Sample Agent 2,7519 Mission St,Los Angeles,CA,9013,Los Angeles,(213) 743-3739,,C1083034,taqueria,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:55.012Z,pending
15 Coffee Shop 3,Active,California,2016-01-07,Sample Agent 3,2805 Market St,Los Angeles,CA,90920,Los Angeles,(213) 860-5889,,C4017052,coffee shop,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:53.966Z,pending
15 Diner 2,Active,California,2017-03-03,Sample Agent 2,918 Mission St,Anaheim,CA,90103,Los Angeles,(213) 914-9539,,C1004106,diner,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:54.073Z,pending
12 Bistro 1,Active,California,2012-08-23,Sample Agent 1,7732 Market St,Long Beach,CA,90335,Los Angeles,(213) 548-7496,,C9166352,bistro,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:55.354Z,pending
12 Bistro 2,Inactive,California,2021-06-18,Sample Agent 2,2177 Mission St,Anaheim,CA,90981,Los Angeles,(213) 198-3070,,C8913518,bistro,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:55.354Z,pending
15 Taqueria 1,Active,California,2016-11-25,Sample Agent 1,5264 Broadway,Long Beach,CA,90548,Los Angeles,(213) 623-3287,,C9264530,taqueria,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:54.645Z,pending
15 Restaurant 2,Active,California,2025-04-18,Sample Agent 2,4722 Market St,Los Angeles,CA,90554,Los Angeles,(213) 963-2472,,C8055110,restaurant,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:54.710Z,pending
15 Taqueria 2,Active,California,2020-10-19,Sample Agent 2,3354 Mission St,Anaheim,CA,90321,Los Angeles,(213) 577-3177,,C3017693,taqueria,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:53.865Z,pending
15 Cafe 1,Active,California,2019-08-02,Sample Agent 1,2424 Wilshire Blvd,Anaheim,CA,90168,Los Angeles,(213) 342-8264,,C5963886,cafe,CA_SOS_Scraper_Generated,high,2026-05-07T20:47:54.825Z,pending
15 Taqueria 2,Active,California,2020-09-27,Sample Agent 2,6780 Main St,Oakland,CA,94184,Los Angeles,(213) 356-9208,,C9726154,taqueria,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:53.903Z,pending
15 Coffee Shop 2,Active,California,2016-01-24,Sample Agent 2,2051 Hollywood Blvd,Long Beach,CA,90252,Los Angeles,(213) 922-6706,,C1351816,coffee shop,CA_SOS_Scraper_Generated,high,2026-05-07T20:47:54.601Z,pending
20 Coffee Shop 1,Active,California,2023-06-10,Sample Agent 1,896 Wilshire Blvd,Long Beach,CA,90475,Los Angeles,(213) 782-2120,,C9146787,coffee shop,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:55.543Z,pending
20 Taqueria 1,Active,California,2024-06-16,Sample Agent 1,6034 Market St,Anaheim,CA,90178,Los Angeles,(213) 804-3639,,C2085356,taqueria,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:55.513Z,pending
20 Cafe 3,Active,California,2017-03-09,Sample Agent 3,3028 1st St,Oakland,CA,94513,Los Angeles,(213) 729-3729,,C8568379,cafe,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:55.513Z,pending
20 Diner 1,Active,California,2017-09-15,Sample Agent 1,6662 Wilshire Blvd,Oakland,CA,94712,Los Angeles,(213) 173-1210,,C7044997,diner,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:55.537Z,pending
20 Taqueria 1,Inactive,California,2013-03-11,Sample Agent 1,8463 Mission St,Oakland,CA,94457,Los Angeles,(213) 588-4114,,C3619613,taqueria,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:55.492Z,pending
20 Diner 2,Active,California,2013-07-04,Sample Agent 2,4779 Market St,Anaheim,CA,90953,Los Angeles,(213) 270-2201,,C7149817,diner,CA_SOS_Scraper_Generated,high,2026-05-07T20:47:55.492Z,pending
20 Cafe 3,Active,California,2025-09-19,Sample Agent 3,1563 Sunset Blvd,Los Angeles,CA,90210,Los Angeles,(213) 551-8731,,C5813729,cafe,CA_SOS_Scraper_Generated,normal,2026-05-07T20:47:55.492Z,pending
