business_name,pos_system,status_notes,annual_projection,contact,phone,phone_2,address,city,state,email,priority
Taqueria Made en Tepa,SUPPLY ONLY,AH,TEC 1450,Ramon,530-672-1549,,0.0725,,EL DOR,3440 Palmer Dr,1.0
Tarantino's,SUPPLY ONLY,AH,,Eddie  ,415-775-5600,,0.085,,SF,206 Jefferson Street,1.0
Team Nissan - Oxnard,SUPPLY ONLY,AH,,Susan Jones,805-351-8938,,0.0925,,Oxnard,1801 Auto Center,1.0
Teriyaki Madness - Greenwood Village,SUPPLY ONLY,AH,,Ting,303-771-5280,,0,,O/S,8547 East Arapahoe Road Ste. F,1.0
SF Bay Ferry Ticket Office,SUPPLY ONLY,AH,,Amy,707-648-4349,,0.08375,0.08625,SOL,289 Mare Island Way,1.0
SF State University,SUPPLY ONLY,AH,,Excel Murcata,415-338-6445,,0.085,0.0875,SF,"1600 Holloway Ave, Admin,Rm155",1.0
SF State University - Housing Dept.,SUPPLY ONLY,AH,,Hannah,415-664-9618,,0.085,0.0875,SF,800 Font Boulevard,1.0
Sheba Piano Lounge,SUPPLY ONLY,AH,,Netsanet,415-440-7414,415-270-2150,0.085,0.0875,SF,1419 Fillmore St,1.0
Front Porch Restaurant,SUPPLY ONLY,monthly check in,,Josey,415-695-7800,,65-A 29th Street,San Francisco,Ca,thefrontporchsf@gmail.com,1.0
Grossman's Noshery & Bar,SUPPLY ONLY,will call in orders,,Jen,707-595-7707,,308 Wilson St,Santa Rosa,Ca,,1.0
Gracias Madre,SUPPLY ONLY,,,Rodrigo,415-683-1346,,2211 Mission Street,San Francisco,Ca,,1.0
Graffeo Coffee Roasting Co,SUPPLY ONLY,annual check in,,Walter,415-457-5131,,1314 4th Street,San Rafael,Ca,,1.0
Skirball Cultural Center,SUPPLY ONLY,RF,,Julio Iturbe,310-440-4500 x.4735,,0.095,0.09,LA,2701 N. Sepulveda Blvd.,1.0
South Beach Yacht Club,SUPPLY ONLY,AH,,Jeffrey,415-495-2295,,0.085,0.0875,SF,Pier 40 A,1.0
SP Plus,SUPPLY ONLY,AH,,Ali/Alex,415-317-4902,415-606-2071 Alex,0.085,0.0875,SF,"100 Pine Street, Suite 1250",1.0
Saylor's Restaurant & Bar,SUPPLY ONLY,,,Sean,415-332-1512,,2009 Bridgeway,Sausalito,Ca,,1.0
Scootrz Deli,SUPPLY ONLY,AH,,Virginia,707-462-1500,,0.08875,0.0763,Ukiah,2670 North State Street,1.0
Sen Asian Kitchen,SUPPLY ONLY,RF,,Catine,323-423-9265,,0.0875,0.09,LA,2000 Avenue of the Stars #30,1.0
Serpentine Restaurant,SUPPLY ONLY,RF,,Serena,415-252-2000,,0.085,0.0875,SF,2495 3rd Street,1.0
Setereh Market,SUPPLY ONLY,AH,,George,408-979-0634,,0.0925,0.09,SanJose,4644 Meridian Avenue,1.0
Stark's Steakhouse,SUPPLY ONLY,RF,MICROS,Chris,707-546-5100,707-332-3377,0.0925,,S.Rosa,521 Adams Street,1.0
Stefano's Pizza - Mill Valley,SUPPLY ONLY,RF,DIAMOND TOUCH,Luciano,415-383-9666,,0.0825,0.085,MARIN,11 E. Blithedale Ave,1.0
Stefano's Pizza - Terra Linda,SUPPLY ONLY,AH,,Luciano,415-472-6277,,0.09,,MARIN,424 Las Gallinas Ave,1.0
Steins Beer Garden - Cupertino,SUPPLY ONLY,RF,,Adam,408-564-6122,,0.09,,Cuper,10088 N. Wolfe Road #130,1.0
Siam Orchid Thai,SUPPLY ONLY,AH,,Peraya,925-253-1975,,0.0975,0.09,Orinda,23 Orinda Way   Suite F,1.0
Side Street Kitchen,SUPPLY ONLY,RF,,Sydney Weisbach,415-663-0303,,0.0825,,MARIN,60 4th Street,1.0
Sierra Nevada Brewing Co,SUPPLY ONLY,AH,,Jackie S,530-345-2739,,0.0725,0.075,BUTTE,1075 E. 20th Street,1.0
Sixto's Cantina,SUPPLY ONLY,AH,,Teresa,650-342-7600,,0.09,,Burl,1448 Burlingame Ave,1.0
Fish ,SUPPLY ONLY,Jose,,Bill Foss,415-331-3474,415-465-9100,350 Harbor Drive,Sausalito,Ca,,1.0
Flowercraft,SUPPLY ONLY,,,Sunny,415-824-1900,,550 Bayshore Blvd,San Francisco,Ca,info@flowercraftgc.com,1.0
Forge in the Forest,SUPPLY ONLY,call back set every 3 months,,Caroline,831-624-2233,831-277-7539,SW Corner of 5th & Junipero,Carmel,Ca,email@forgeintheforest.com,1.0
Franky's Restaurant,SUPPLY ONLY,,,Travis,530-898-9948,530-624-5350,506 Ivy Street,Chico,Ca,,1.0
Spice Monkey,SUPPLY ONLY,AH,,Tyler,510-268-0170,,0.0925,0.095,ALA,1628 Webster Street,1.0
SPQR,SUPPLY ONLY,AH,,Bianca,415-771-7779,916-878-8813,0.085,0.0875,SF,1911 Fillmore Street,1.0
Starbucks - Richmond,SUPPLY ONLY,AH,,Tanya,510-222-6095,,0.0975,0.09,Rich,15521 San Pablo Ave,1.0
Starbucks - Santa Rosa,SUPPLY ONLY,RF,,Isla,707-542-1297,,0.0925,,S.Rosa,358 Coddingtown Center,1.0
Lighthouse Bar & Grill - Mill Valley,SUPPLY ONLY,no contact made,,Ken,415-381-4400,415-847-2435,475 E. Strawberry Drive,Mill Valley,Ca,kenandresen@hotmail.com,1.0
Lighthouse Café - Sausalito,SUPPLY ONLY,No call needed,,Gerner,415-331-3034,415-857-4451,1311 Bridgeway,Sausalito,Ca,g.andresen@me.com,1.0
Loquita,SUPPLY ONLY,Orders monthly last order 7/15/2021,,Skylar Gamble,805-880-3380,970-412-2214,202 State Street,Santa Barbara,Ca,sgamble@loquitasb.com,1.0
Lord Stanley Restaurant,SUPPLY ONLY,AH,,Carrie,415-872-5512,,0.085,0.0875,SF,2065 Polk Street,1.0
Lotus Indian Cuisine,SUPPLY ONLY,monthly check in,,Joti,415-456-5808,,812 4th St,San Rafael,Ca,,1.0
Lotus Indian Market,SUPPLY ONLY,yet to contact,,,415-456-5808,,812 4th St,San Rafael,Ca,,1.0
Magnolia Park Kitchen,SUPPLY ONLY,,,Robert ,707-731-2938,,1016 Court Street,San Rafael,Ca,robert@magnoliaparkkitchen.com,1.0
Marin Country Club,SUPPLY ONLY,Last order in 3/2021,,Tiffany,415-382-6700,,500 Country Club Drive,Novato,Ca,,1.0
Salumeria Restaurant,SUPPLY ONLY,AH,,Anika,415-471-2998,,0.085,0.0875,SF,3000 20th Street,1.0
Salute Ristorante,SUPPLY ONLY,RF,Micros,Messele,510-215-0803,510-215-1902,0.0975,0.095,Rich,1900 Esplanade Drive,1.0
Sam's Anchor Café,SUPPLY ONLY,SG,,Michelle,415-435-4527,,0.09,,MARIN,27 Main St,1.0
San Leandro Public Library,SUPPLY ONLY,AH,Casio TE3000,Yolanda,510-577-3968,,0.0975,0.1,San Lean,300 Estudillo Avenue,1.0
Kimono – PH,SUPPLY ONLY,will call in orders,,John,707-750-5418,925-586-4050 cell,1654 E. 2nd Street,Benicia,Ca,justdiamonds@aol.com,1.0
La Salle's,SUPPLY ONLY,,,Nick,530-893-1891,,229 Broadway,Chico,Ca,,1.0
La Val's Pizza,SUPPLY ONLY,No call needed,,Izat,510-540-9333,510-384-9090 cell,1834 Euclid Avenue,Berkeley,Ca,,1.0
Left Bank Brasserie,SUPPLY ONLY,sent email and left message 8/20,,Frank Caiazzo,415-927-3331,,507 Magnolia Avenue,Larkspur,Ca,fcaiazzo@leftbank.com,1.0
Rocco's Pizzaria,SUPPLY ONLY,RF,,Luciano,415-388-4444,,0.0825,0.085,MARIN,711 East Blithedale Avenue,1.0
Roche Winery & Vineyards,SUPPLY ONLY,AH,,Jerry,800-825-9475,,0.09,0.0875,Sonoma,122 West Spain Street,1.0
Rock Bar,SUPPLY ONLY,AH,,Kevin Kline,415-203-6190,,0.085,0.0875,SF,80 29th Street,1.0
Rouge,SUPPLY ONLY,AH,,Rebecca,415-346-7683,415-573-6469,0.085,0.0875,SF,1500 Broadway,1.0
Ruth's Chris Steakhouse,SUPPLY ONLY,RF,,Bruce,502-479-0026,,0,0,O/S,6100 Dutchman's Lane,1.0
Rutherford Grill,SUPPLY ONLY,AH,,Don,707-963-1792,,0.0775,0.08,NAPA,1180 Rutherford Road,1.0
Saddle Creek Golf Course,SUPPLY ONLY,AH,,Tami,209-785-7420,,0.0725,0.075,CALAV,1001 Saddle Creek Drive,1.0
Salt House,SUPPLY ONLY,AH,,Reagan Hall,415-543-8900,,0.085,0.0875,SF,545 Mission St,1.0
Guest House Restaurant,SUPPLY ONLY,orders every 2 months,,John,415-419-5101,415-819-1734 cell,850 College Ave,Kentfield,Ca,ajnoblerot@mac.com,1.0
Harmony Restaurant,SUPPLY ONLY,`,,Michelle Louie,415-381-5302,415-310-5228,401 Strawberry Village,Mill Valley,Ca,harmonyrest@aol.com,1.0
Hi Dive,SUPPLY ONLY,call back set every 3 months,,Brett,415-977-0170,,Pier 28 1/2 @ Bryant St,San Francisco,Ca,,1.0
Iron Springs Pub & Brewery,SUPPLY ONLY,order every 2 months,,Sophie,415-485-1005,,765 Center Boulevard,Fairfax,Ca,jen@ironspringspub.com,1.0
It's Italia,SUPPLY ONLY,,,Betsy,650-726-4444,650-868-7927,401 Main Street,Half Moon Bay,Ca,delfierro@coastside.net,1.0
Jason's Restaurant,SUPPLY ONLY,,,Chef Jason,415-925-0808,,300 Drake's Landing Road,Greenbrae,Ca,jasonsrestaurant@gmail.com,1.0
Kezar Pub,SUPPLY ONLY,Called Cyril ok on supplies,,Cyril Hackett,415-386-9292,,770 Stanyan Street,San Francisco,Ca,cyrilhackett@yahoo.com,1.0
Kimono - Benicia,SUPPLY ONLY,will call in orders,,John,707-750-5418,925-586-4050 cell,1654 E. 2nd Street,Benicia,Ca,justdiamonds@aol.com,1.0
Piggie's Charbroiled Burgers,SUPPLY ONLY,AH,,Jose,310-679-6326,,0.1025,0.09,Hawth,4601 Rosecrans Avenue,1.0
Playa Restaurant,SUPPLY ONLY,closed,,Charlie,415-384-8871,415-250-4077,41 Throckmorton Avenue,Mill Valley,Ca,,1.0
Plaza Market,SUPPLY ONLY,SG,,Will,415-256-1146,,0.0925,,San Raf,3255 Kerner Blvd,1.0
Plough & Stars Irish Pub,SUPPLY ONLY,AH,,John Hobden,415-751-1122,415-420-7143,0.085,,SF,116 Clement Street,1.0
Polk Bush Garage,SUPPLY ONLY,AH,,Armando,530-544-1886,,0.085,,SF,1399 Bush Street,1.0
Pompei's Grotto,SUPPLY ONLY,AH,,Patty,415-776-9265,,0.085,0.0875,SF,340 Jefferson Street,1.0
Mark Lewis,SUPPLY ONLY,Last order 5/3,,Mark Lewis,510-604-2172 cell,,,Novato,Ca,,1.0
Mersea Restaurant,SUPPLY ONLY,last order 4/2021,,Vernon,415-999-9836,,699 Avenue of Palms-Treasure Isl,San Francisco,Ca,,1.0
Portales Taqueria,SUPPLY ONLY,AS,,Rosa/ Gustavo,510-728-0511,,0.0925,0.095,ALA,3153 Castro Valley Blvd,1.0
Pronzini Christmas Trees Farms,SUPPLY ONLY,AH,,Carla Pronzini,707-529-0953,,0.0925,,San Raf,3501 Civic Center Drive,1.0
Provender Coffee & Food,SUPPLY ONLY,AH,,Austin,415-685-1722,,0.085,,SF,1415 18th Street,1.0
Peter's Beacon,SUPPLY ONLY,AH,,Sam,415-457-3020,415-898-4832,0.0925,,MARIN,108 Bellam Blvd,1.0
Petroleum Convenient - Hayward,SUPPLY ONLY,AH,,Ahmed,510-699-0031,,0.0975,0.095,Hay,1833 Industrial ParRFay,1.0
Phlox Commons,SUPPLY ONLY,RF,Aloha,Ryan Olson,415-500-2734,,0.085,0.0875,SF,1075 Sutter Street @ Carlton Hotel,1.0
Phyllis' Giant Burger - Piner Rd,SUPPLY ONLY,AH,,Scott Kim,707-521-0890,415-317-2652,0.0925,,SON,1774 Piner Rd,1.0
Phyllis' Giant Burger - Sonoma Hwy,SUPPLY ONLY,,,Scott Kim,707-538-4000,415-317-2652,4910 Sonoma Highway,Santa Rosa,Ca,,1.0
Red Dog Restaurant,SUPPLY ONLY,AH,,Jamie,415-692-0211,,0.085,0.0875,SF,"303 2nd Street Plaza, Suite H",1.0
Red Grape Restaurant,SUPPLY ONLY,RF,Digital Dining,Sam,707-996-4103,,0.09,0.0875,Sonoma,529 First Street,1.0
Redd Wood,SUPPLY ONLY,AH,,Don,707-299-5030,,0.0775,0.08,NAPA,6755 Washington Street,1.0
Ricardo's Place,SUPPLY ONLY,RF,,Rosa,949-493-4941,,0.0775,0.08,OR,32082 Camino Capistrano,1.0
Richmond Country Club,SUPPLY ONLY,AH,Jonas CC,Jan,510-232-1080,,0.0975,0.095,Rich,1 Markovich Lane,1.0
Richmond Rod & Gun Club,SUPPLY ONLY,AH,,Earl,510-672-0062,,0.0975,,Rich,3155 Goodrick Avenue,1.0
Rickey's Restaurant,SUPPLY ONLY,DK,Micros,Wayne DanAkin,415-883-9477,,0.085,0.09,Novato,250 Entrada Drive,1.0
Risibisi Restaurant,SUPPLY ONLY,AH,,Marco,707-766-7600,415-730-9794,0.095,0.0825,SON,154 Petaluma Blvd North,1.0
Marina Super,SUPPLY ONLY,,,Ken,415-346-7470,,2323 Chestnut Street,San Francisco,Ca,marinasuperbusiness@gmail.com,1.0
Marinitas,SUPPLY ONLY,last order 5/2021,,Lauren,415-454-8900,,218 Sir Francis Drake Blvd,San Anselmo,Ca,info@marinitas.net,1.0
"R.A. Storlee Insurance Agency, Inc.",SUPPLY ONLY,AH,,Robyn,800-982-6330,,0.08375,,SOL,"321 First Street, Suite 201",1.0
Ramon's Mexican Restaurant,SUPPLY ONLY,AH,,Roberto Lopez,661-256-4602,661-609-8068,0.0725,0.075,KERN,"1431 W Rosemond Blvd, Ste 10",1.0
Rancho Grande 3,SUPPLY ONLY,AH,,Juan Silva,707-252-4495,,0.0775,,NAPA,891 Silverado Trail,1.0
Rancho Nicasio,SUPPLY ONLY,DK,ALOHA,Max Brown,415-662-2219,415-264-6859,0.0825,0.085,MARIN,#1 Old Rancheria Road,1.0
Red Boy Pizza - Novato,SUPPLY ONLY,AH,,Marcelo,415-382-7711,415-244-2538,0.085,0.09,Novato,454 Ignacio Boulevard,1.0
Red Boy Pizza - Petaluma,SUPPLY ONLY,AH,,Marcelo,707-765-1300,415-244-2538,0.095,0.0825,SON,401 Kenilworth Drive,1.0
Patriot House,SUPPLY ONLY,AH,,Danielle Browne,415-986-0797,,0.085,0.0875,SF,2 Embarcadero Center,1.0
Piggie's Charbroiled Burgers,SUPPLY ONLY,AH,,Umberto,626-575-1682,,0.1025,0.095,S.El Mon,1724 N. Durfee Avenue,1.0
Poggio Trattoria,SUPPLY ONLY,,,Antonio,415-332-7771,,777 Bridgeway,Sausalito,Ca,gm@poggiotrattoria.com ,1.0
