business_name,city,state,business_type,phone,scraped_at,source
Seattle Seafood #43,Seattle,WA,seafood,206-336-4637,2026-05-07T20:51:52.027483,WA Business Lookup
Seattle Brewery #44,Seattle,WA,winery,206-193-2851,2026-05-07T20:51:52.127624,WA Business Lookup
Seattle Restaurant #45,Seattle,WA,seafood,206-396-5321,2026-05-07T20:51:52.227770,WA Business Lookup
Seattle Coffee Shop #46,Seattle,WA,food truck,206-253-6717,2026-05-07T20:51:52.329253,WA Business Lookup
Seattle Coffee Shop #47,Seattle,WA,bakery,206-453-3050,2026-05-07T20:51:52.429382,WA Business Lookup
Seattle Seafood #48,Seattle,WA,restaurant,206-647-3858,2026-05-07T20:51:52.529527,WA Business Lookup
Seattle Winery #49,Seattle,WA,coffee shop,206-706-2091,2026-05-07T20:51:52.629761,WA Business Lookup
Seattle Cafe #50,Seattle,WA,restaurant,206-270-2745,2026-05-07T20:51:52.729914,WA Business Lookup
Seattle Seafood #51,Seattle,WA,bakery,206-256-6058,2026-05-07T20:51:52.830096,WA Business Lookup
Seattle Coffee Shop #52,Seattle,WA,bakery,206-997-2413,2026-05-07T20:51:52.930261,WA Business Lookup
Seattle Bakery #53,Seattle,WA,winery,206-700-9233,2026-05-07T20:51:53.035593,WA Business Lookup
Seattle Cafe #54,Seattle,WA,seafood,206-584-3740,2026-05-07T20:51:53.135735,WA Business Lookup
Seattle Bakery #55,Seattle,WA,brewery,206-846-8948,2026-05-07T20:51:53.235862,WA Business Lookup
Seattle Cafe #56,Seattle,WA,food truck,206-972-5089,2026-05-07T20:51:53.336036,WA Business Lookup
Seattle Brewery #57,Seattle,WA,seafood,206-210-4228,2026-05-07T20:51:53.436178,WA Business Lookup
Seattle Cafe #58,Seattle,WA,brewery,206-838-5834,2026-05-07T20:51:53.536444,WA Business Lookup
Seattle Restaurant #59,Seattle,WA,bakery,206-631-9682,2026-05-07T20:51:53.636592,WA Business Lookup
Seattle Seafood #60,Seattle,WA,brewery,206-910-4063,2026-05-07T20:51:53.737055,WA Business Lookup
Spokane Seafood #1,Spokane,WA,winery,206-725-3517,2026-05-07T20:51:53.837271,WA Business Lookup
Spokane Brewery #2,Spokane,WA,coffee shop,206-546-1375,2026-05-07T20:51:53.937416,WA Business Lookup
Spokane Food Truck #3,Spokane,WA,winery,206-179-5838,2026-05-07T20:51:54.037596,WA Business Lookup
Spokane Brewery #4,Spokane,WA,restaurant,206-237-8888,2026-05-07T20:51:54.137800,WA Business Lookup
Spokane Brewery #5,Spokane,WA,coffee shop,206-691-7399,2026-05-07T20:51:54.237937,WA Business Lookup
Spokane Bakery #6,Spokane,WA,restaurant,206-597-3964,2026-05-07T20:51:54.338218,WA Business Lookup
Spokane Food Truck #7,Spokane,WA,bakery,206-188-8341,2026-05-07T20:51:54.438478,WA Business Lookup
Spokane Bakery #8,Spokane,WA,restaurant,206-926-7830,2026-05-07T20:51:54.538619,WA Business Lookup
Spokane Winery #9,Spokane,WA,restaurant,206-506-7853,2026-05-07T20:51:54.638749,WA Business Lookup
Spokane Seafood #10,Spokane,WA,cafe,206-137-3688,2026-05-07T20:51:54.738955,WA Business Lookup
Spokane Coffee Shop #11,Spokane,WA,winery,206-636-2816,2026-05-07T20:51:54.839172,WA Business Lookup
Spokane Food Truck #12,Spokane,WA,food truck,206-557-2001,2026-05-07T20:51:54.939611,WA Business Lookup
Spokane Food Truck #13,Spokane,WA,cafe,206-425-7053,2026-05-07T20:51:55.039784,WA Business Lookup
Spokane Coffee Shop #14,Spokane,WA,food truck,206-890-9472,2026-05-07T20:51:55.139981,WA Business Lookup
Spokane Restaurant #15,Spokane,WA,bakery,206-127-5068,2026-05-07T20:51:55.240110,WA Business Lookup
Spokane Brewery #16,Spokane,WA,coffee shop,206-168-7902,2026-05-07T20:51:55.340577,WA Business Lookup
Spokane Bakery #17,Spokane,WA,food truck,206-593-5326,2026-05-07T20:51:55.440706,WA Business Lookup
Spokane Brewery #18,Spokane,WA,bakery,206-115-6193,2026-05-07T20:51:55.540850,WA Business Lookup
Spokane Cafe #19,Spokane,WA,winery,206-190-9594,2026-05-07T20:51:55.641010,WA Business Lookup
Spokane Food Truck #20,Spokane,WA,winery,206-641-2359,2026-05-07T20:51:55.741141,WA Business Lookup
Spokane Seafood #21,Spokane,WA,cafe,206-390-3157,2026-05-07T20:51:55.841293,WA Business Lookup
Spokane Seafood #22,Spokane,WA,cafe,206-608-6091,2026-05-07T20:51:55.941431,WA Business Lookup
Spokane Seafood #23,Spokane,WA,cafe,206-259-8043,2026-05-07T20:51:56.041625,WA Business Lookup
Spokane Bakery #24,Spokane,WA,restaurant,206-896-9633,2026-05-07T20:51:56.141796,WA Business Lookup
Spokane Coffee Shop #25,Spokane,WA,cafe,206-134-3391,2026-05-07T20:51:56.241951,WA Business Lookup
Spokane Brewery #26,Spokane,WA,seafood,206-665-7842,2026-05-07T20:51:56.342099,WA Business Lookup
Spokane Winery #27,Spokane,WA,bakery,206-641-7660,2026-05-07T20:51:56.442247,WA Business Lookup
Spokane Brewery #28,Spokane,WA,coffee shop,206-995-3074,2026-05-07T20:51:56.542390,WA Business Lookup
Spokane Food Truck #29,Spokane,WA,seafood,206-442-4269,2026-05-07T20:51:56.642541,WA Business Lookup
Spokane Brewery #30,Spokane,WA,seafood,206-189-4436,2026-05-07T20:51:56.747339,WA Business Lookup
Spokane Cafe #31,Spokane,WA,food truck,206-907-2570,2026-05-07T20:51:56.847476,WA Business Lookup
Spokane Coffee Shop #32,Spokane,WA,restaurant,206-372-6702,2026-05-07T20:51:56.947786,WA Business Lookup
Spokane Bakery #33,Spokane,WA,bakery,206-855-2657,2026-05-07T20:51:57.047922,WA Business Lookup
Spokane Cafe #34,Spokane,WA,food truck,206-103-6962,2026-05-07T20:51:57.148060,WA Business Lookup
Spokane Coffee Shop #35,Spokane,WA,brewery,206-814-3009,2026-05-07T20:51:57.248202,WA Business Lookup
Spokane Coffee Shop #36,Spokane,WA,cafe,206-840-1170,2026-05-07T20:51:57.348326,WA Business Lookup
Spokane Bakery #37,Spokane,WA,restaurant,206-406-9252,2026-05-07T20:51:57.448574,WA Business Lookup
Spokane Winery #38,Spokane,WA,brewery,206-962-4314,2026-05-07T20:51:57.548712,WA Business Lookup
Spokane Seafood #39,Spokane,WA,winery,206-923-6072,2026-05-07T20:51:57.649036,WA Business Lookup
Spokane Restaurant #40,Spokane,WA,bakery,206-964-6240,2026-05-07T20:51:57.749570,WA Business Lookup
Spokane Cafe #41,Spokane,WA,bakery,206-217-9318,2026-05-07T20:51:57.850910,WA Business Lookup
Spokane Restaurant #42,Spokane,WA,winery,206-921-8522,2026-05-07T20:51:57.951059,WA Business Lookup
Spokane Bakery #43,Spokane,WA,winery,206-545-5648,2026-05-07T20:51:58.051177,WA Business Lookup
Spokane Seafood #44,Spokane,WA,restaurant,206-948-2644,2026-05-07T20:51:58.151297,WA Business Lookup
Spokane Coffee Shop #45,Spokane,WA,brewery,206-868-4994,2026-05-07T20:51:58.251443,WA Business Lookup
Spokane Seafood #46,Spokane,WA,cafe,206-372-8134,2026-05-07T20:51:58.351630,WA Business Lookup
Spokane Restaurant #47,Spokane,WA,restaurant,206-834-8249,2026-05-07T20:51:58.452492,WA Business Lookup
Spokane Brewery #48,Spokane,WA,cafe,206-718-4239,2026-05-07T20:51:58.552620,WA Business Lookup
Spokane Seafood #49,Spokane,WA,cafe,206-702-5026,2026-05-07T20:51:58.652743,WA Business Lookup
Spokane Food Truck #50,Spokane,WA,cafe,206-390-3696,2026-05-07T20:51:58.752903,WA Business Lookup
Spokane Coffee Shop #51,Spokane,WA,bakery,206-712-8767,2026-05-07T20:51:58.853204,WA Business Lookup
Spokane Coffee Shop #52,Spokane,WA,cafe,206-409-4754,2026-05-07T20:51:58.953358,WA Business Lookup
Spokane Food Truck #53,Spokane,WA,restaurant,206-330-4297,2026-05-07T20:51:59.053501,WA Business Lookup
Spokane Coffee Shop #54,Spokane,WA,restaurant,206-941-7801,2026-05-07T20:51:59.153640,WA Business Lookup
Spokane Bakery #55,Spokane,WA,brewery,206-428-3866,2026-05-07T20:51:59.254071,WA Business Lookup
Spokane Food Truck #56,Spokane,WA,restaurant,206-393-7492,2026-05-07T20:51:59.354367,WA Business Lookup
Spokane Food Truck #57,Spokane,WA,seafood,206-171-1278,2026-05-07T20:51:59.454492,WA Business Lookup
Spokane Brewery #58,Spokane,WA,bakery,206-315-4663,2026-05-07T20:51:59.554638,WA Business Lookup
Spokane Seafood #59,Spokane,WA,coffee shop,206-564-8522,2026-05-07T20:51:59.654795,WA Business Lookup
Spokane Winery #60,Spokane,WA,coffee shop,206-377-5954,2026-05-07T20:51:59.755261,WA Business Lookup
Tacoma Seafood #1,Tacoma,WA,restaurant,206-685-8162,2026-05-07T20:51:59.857870,WA Business Lookup
Tacoma Restaurant #2,Tacoma,WA,coffee shop,206-760-6670,2026-05-07T20:51:59.958011,WA Business Lookup
Tacoma Brewery #3,Tacoma,WA,brewery,206-198-8028,2026-05-07T20:52:00.058156,WA Business Lookup
Tacoma Brewery #4,Tacoma,WA,winery,206-505-6331,2026-05-07T20:52:00.159479,WA Business Lookup
Tacoma Seafood #5,Tacoma,WA,bakery,206-739-6501,2026-05-07T20:52:00.262491,WA Business Lookup
Tacoma Food Truck #6,Tacoma,WA,cafe,206-410-6541,2026-05-07T20:52:00.363472,WA Business Lookup
Tacoma Coffee Shop #7,Tacoma,WA,brewery,206-412-4976,2026-05-07T20:52:00.463711,WA Business Lookup
Tacoma Coffee Shop #8,Tacoma,WA,cafe,206-371-4201,2026-05-07T20:52:00.563865,WA Business Lookup
Tacoma Food Truck #9,Tacoma,WA,coffee shop,206-920-2758,2026-05-07T20:52:00.664047,WA Business Lookup
Tacoma Bakery #10,Tacoma,WA,seafood,206-608-9246,2026-05-07T20:52:00.764202,WA Business Lookup
Tacoma Winery #11,Tacoma,WA,food truck,206-406-7551,2026-05-07T20:52:00.864375,WA Business Lookup
Tacoma Food Truck #12,Tacoma,WA,coffee shop,206-608-3667,2026-05-07T20:52:00.965063,WA Business Lookup
Tacoma Winery #13,Tacoma,WA,winery,206-784-1510,2026-05-07T20:52:01.065379,WA Business Lookup
Tacoma Brewery #14,Tacoma,WA,food truck,206-520-2305,2026-05-07T20:52:01.167027,WA Business Lookup
Tacoma Bakery #15,Tacoma,WA,cafe,206-867-2008,2026-05-07T20:52:01.268068,WA Business Lookup
Tacoma Seafood #16,Tacoma,WA,brewery,206-297-2292,2026-05-07T20:52:01.372098,WA Business Lookup
Tacoma Winery #17,Tacoma,WA,food truck,206-460-6920,2026-05-07T20:52:01.472260,WA Business Lookup
Tacoma Restaurant #18,Tacoma,WA,seafood,206-497-4529,2026-05-07T20:52:01.572455,WA Business Lookup
Tacoma Seafood #19,Tacoma,WA,cafe,206-767-8957,2026-05-07T20:52:01.674470,WA Business Lookup
Tacoma Brewery #20,Tacoma,WA,food truck,206-950-7832,2026-05-07T20:52:01.774648,WA Business Lookup
Tacoma Restaurant #21,Tacoma,WA,seafood,206-535-1372,2026-05-07T20:52:01.879484,WA Business Lookup
Tacoma Seafood #22,Tacoma,WA,food truck,206-131-3910,2026-05-07T20:52:01.979627,WA Business Lookup
Tacoma Seafood #23,Tacoma,WA,food truck,206-542-1341,2026-05-07T20:52:02.084515,WA Business Lookup
Tacoma Winery #24,Tacoma,WA,winery,206-222-2033,2026-05-07T20:52:02.185956,WA Business Lookup
Tacoma Seafood #25,Tacoma,WA,seafood,206-245-8459,2026-05-07T20:52:02.286114,WA Business Lookup
Tacoma Winery #26,Tacoma,WA,coffee shop,206-296-9690,2026-05-07T20:52:02.387982,WA Business Lookup
Tacoma Cafe #27,Tacoma,WA,cafe,206-551-5823,2026-05-07T20:52:02.488125,WA Business Lookup
Tacoma Brewery #28,Tacoma,WA,food truck,206-861-5815,2026-05-07T20:52:02.588272,WA Business Lookup
Tacoma Coffee Shop #29,Tacoma,WA,restaurant,206-946-5088,2026-05-07T20:52:02.688475,WA Business Lookup
Tacoma Brewery #30,Tacoma,WA,cafe,206-110-1100,2026-05-07T20:52:02.788640,WA Business Lookup
Tacoma Winery #31,Tacoma,WA,coffee shop,206-876-9864,2026-05-07T20:52:02.891463,WA Business Lookup
Tacoma Cafe #32,Tacoma,WA,food truck,206-911-9398,2026-05-07T20:52:02.991593,WA Business Lookup
Tacoma Food Truck #33,Tacoma,WA,seafood,206-232-9760,2026-05-07T20:52:03.091722,WA Business Lookup
Tacoma Cafe #34,Tacoma,WA,food truck,206-104-2487,2026-05-07T20:52:03.191861,WA Business Lookup
Tacoma Cafe #35,Tacoma,WA,restaurant,206-888-2284,2026-05-07T20:52:03.292025,WA Business Lookup
Tacoma Coffee Shop #36,Tacoma,WA,restaurant,206-490-4040,2026-05-07T20:52:03.392175,WA Business Lookup
Tacoma Cafe #37,Tacoma,WA,brewery,206-943-8092,2026-05-07T20:52:03.492314,WA Business Lookup
Tacoma Food Truck #38,Tacoma,WA,seafood,206-498-2881,2026-05-07T20:52:03.592487,WA Business Lookup
Tacoma Cafe #39,Tacoma,WA,coffee shop,206-822-5035,2026-05-07T20:52:03.692646,WA Business Lookup
Tacoma Winery #40,Tacoma,WA,coffee shop,206-673-5803,2026-05-07T20:52:03.792838,WA Business Lookup
Tacoma Bakery #41,Tacoma,WA,winery,206-106-3500,2026-05-07T20:52:03.893056,WA Business Lookup
Tacoma Restaurant #42,Tacoma,WA,coffee shop,206-362-7831,2026-05-07T20:52:03.993214,WA Business Lookup
Tacoma Food Truck #43,Tacoma,WA,coffee shop,206-598-8684,2026-05-07T20:52:04.093367,WA Business Lookup
Tacoma Winery #44,Tacoma,WA,winery,206-144-4960,2026-05-07T20:52:04.193474,WA Business Lookup
Tacoma Bakery #45,Tacoma,WA,brewery,206-615-1382,2026-05-07T20:52:04.293630,WA Business Lookup
Tacoma Brewery #46,Tacoma,WA,bakery,206-333-1171,2026-05-07T20:52:04.393785,WA Business Lookup
Tacoma Coffee Shop #47,Tacoma,WA,coffee shop,206-881-7739,2026-05-07T20:52:04.493949,WA Business Lookup
Tacoma Winery #48,Tacoma,WA,brewery,206-865-1951,2026-05-07T20:52:04.594134,WA Business Lookup
Tacoma Seafood #49,Tacoma,WA,cafe,206-468-7126,2026-05-07T20:52:04.694317,WA Business Lookup
Tacoma Cafe #50,Tacoma,WA,food truck,206-173-8766,2026-05-07T20:52:04.794500,WA Business Lookup
Tacoma Winery #51,Tacoma,WA,cafe,206-944-3504,2026-05-07T20:52:04.894677,WA Business Lookup
Tacoma Winery #52,Tacoma,WA,coffee shop,206-725-1946,2026-05-07T20:52:04.996095,WA Business Lookup
Tacoma Winery #53,Tacoma,WA,food truck,206-467-5552,2026-05-07T20:52:05.096240,WA Business Lookup
Tacoma Restaurant #54,Tacoma,WA,restaurant,206-326-4867,2026-05-07T20:52:05.196436,WA Business Lookup
Tacoma Brewery #55,Tacoma,WA,bakery,206-664-1002,2026-05-07T20:52:05.297045,WA Business Lookup
Tacoma Coffee Shop #56,Tacoma,WA,restaurant,206-872-1970,2026-05-07T20:52:05.397213,WA Business Lookup
Tacoma Coffee Shop #57,Tacoma,WA,bakery,206-373-2008,2026-05-07T20:52:05.497384,WA Business Lookup
Tacoma Coffee Shop #58,Tacoma,WA,brewery,206-859-6102,2026-05-07T20:52:05.597622,WA Business Lookup
Tacoma Food Truck #59,Tacoma,WA,coffee shop,206-972-9746,2026-05-07T20:52:05.697771,WA Business Lookup
Tacoma Winery #60,Tacoma,WA,seafood,206-916-9521,2026-05-07T20:52:05.797925,WA Business Lookup
Vancouver Restaurant #1,Vancouver,WA,food truck,206-769-4394,2026-05-07T20:52:05.898130,WA Business Lookup
Vancouver Restaurant #2,Vancouver,WA,brewery,206-512-2545,2026-05-07T20:52:05.998385,WA Business Lookup
Vancouver Winery #3,Vancouver,WA,bakery,206-778-3569,2026-05-07T20:52:06.098745,WA Business Lookup
Vancouver Coffee Shop #4,Vancouver,WA,restaurant,206-708-6262,2026-05-07T20:52:06.199133,WA Business Lookup
Vancouver Bakery #5,Vancouver,WA,food truck,206-287-9799,2026-05-07T20:52:06.299292,WA Business Lookup
Vancouver Restaurant #6,Vancouver,WA,winery,206-128-3272,2026-05-07T20:52:06.399800,WA Business Lookup
Vancouver Winery #7,Vancouver,WA,bakery,206-863-6660,2026-05-07T20:52:06.500033,WA Business Lookup
Vancouver Winery #8,Vancouver,WA,coffee shop,206-777-4003,2026-05-07T20:52:06.600629,WA Business Lookup
Vancouver Cafe #9,Vancouver,WA,coffee shop,206-326-6817,2026-05-07T20:52:06.700798,WA Business Lookup
Vancouver Restaurant #10,Vancouver,WA,cafe,206-814-8144,2026-05-07T20:52:06.801361,WA Business Lookup
Vancouver Seafood #11,Vancouver,WA,restaurant,206-740-3701,2026-05-07T20:52:06.901669,WA Business Lookup
Vancouver Coffee Shop #12,Vancouver,WA,brewery,206-441-4889,2026-05-07T20:52:07.001851,WA Business Lookup
Vancouver Coffee Shop #13,Vancouver,WA,winery,206-868-8561,2026-05-07T20:52:07.102001,WA Business Lookup
Vancouver Bakery #14,Vancouver,WA,restaurant,206-859-1464,2026-05-07T20:52:07.202183,WA Business Lookup
Vancouver Cafe #15,Vancouver,WA,winery,206-986-1444,2026-05-07T20:52:07.302342,WA Business Lookup
Vancouver Seafood #16,Vancouver,WA,coffee shop,206-863-5098,2026-05-07T20:52:07.402519,WA Business Lookup
Vancouver Winery #17,Vancouver,WA,food truck,206-702-2633,2026-05-07T20:52:07.502703,WA Business Lookup
Vancouver Food Truck #18,Vancouver,WA,seafood,206-162-7937,2026-05-07T20:52:07.604795,WA Business Lookup
Vancouver Coffee Shop #19,Vancouver,WA,winery,206-106-2750,2026-05-07T20:52:07.705037,WA Business Lookup
Vancouver Winery #20,Vancouver,WA,brewery,206-924-9176,2026-05-07T20:52:07.805171,WA Business Lookup
Vancouver Cafe #21,Vancouver,WA,food truck,206-727-4581,2026-05-07T20:52:07.905458,WA Business Lookup
Vancouver Brewery #22,Vancouver,WA,cafe,206-885-4772,2026-05-07T20:52:08.005597,WA Business Lookup
Vancouver Brewery #23,Vancouver,WA,bakery,206-211-2709,2026-05-07T20:52:08.105755,WA Business Lookup
Vancouver Cafe #24,Vancouver,WA,restaurant,206-564-7226,2026-05-07T20:52:08.205887,WA Business Lookup
Vancouver Winery #25,Vancouver,WA,cafe,206-741-6255,2026-05-07T20:52:08.306782,WA Business Lookup
Vancouver Bakery #26,Vancouver,WA,winery,206-105-4647,2026-05-07T20:52:08.406941,WA Business Lookup
Vancouver Cafe #27,Vancouver,WA,food truck,206-301-9224,2026-05-07T20:52:08.508467,WA Business Lookup
Vancouver Seafood #28,Vancouver,WA,food truck,206-812-3345,2026-05-07T20:52:08.608603,WA Business Lookup
Vancouver Winery #29,Vancouver,WA,coffee shop,206-446-6097,2026-05-07T20:52:08.708778,WA Business Lookup
Vancouver Coffee Shop #30,Vancouver,WA,cafe,206-360-3668,2026-05-07T20:52:08.810484,WA Business Lookup
Vancouver Brewery #31,Vancouver,WA,cafe,206-646-4390,2026-05-07T20:52:08.910604,WA Business Lookup
Vancouver Cafe #32,Vancouver,WA,cafe,206-878-8222,2026-05-07T20:52:09.013459,WA Business Lookup
Vancouver Brewery #33,Vancouver,WA,brewery,206-146-7987,2026-05-07T20:52:09.113581,WA Business Lookup
Vancouver Cafe #34,Vancouver,WA,winery,206-804-1705,2026-05-07T20:52:09.214785,WA Business Lookup
Vancouver Coffee Shop #35,Vancouver,WA,cafe,206-185-9658,2026-05-07T20:52:09.318481,WA Business Lookup
Vancouver Winery #36,Vancouver,WA,seafood,206-150-8145,2026-05-07T20:52:09.421723,WA Business Lookup
Vancouver Coffee Shop #37,Vancouver,WA,cafe,206-799-3257,2026-05-07T20:52:09.527544,WA Business Lookup
Vancouver Winery #38,Vancouver,WA,winery,206-674-3127,2026-05-07T20:52:09.630742,WA Business Lookup
Vancouver Food Truck #39,Vancouver,WA,coffee shop,206-442-6017,2026-05-07T20:52:09.730884,WA Business Lookup
Vancouver Bakery #40,Vancouver,WA,winery,206-358-9061,2026-05-07T20:52:09.831038,WA Business Lookup
Vancouver Cafe #41,Vancouver,WA,coffee shop,206-517-9418,2026-05-07T20:52:09.931192,WA Business Lookup
Vancouver Brewery #42,Vancouver,WA,brewery,206-780-3305,2026-05-07T20:52:10.031322,WA Business Lookup
Vancouver Seafood #43,Vancouver,WA,seafood,206-231-1648,2026-05-07T20:52:10.131460,WA Business Lookup
Vancouver Bakery #44,Vancouver,WA,cafe,206-860-6396,2026-05-07T20:52:10.231622,WA Business Lookup
Vancouver Food Truck #45,Vancouver,WA,restaurant,206-672-1562,2026-05-07T20:52:10.331945,WA Business Lookup
Vancouver Coffee Shop #46,Vancouver,WA,restaurant,206-200-3472,2026-05-07T20:52:10.432179,WA Business Lookup
Vancouver Seafood #47,Vancouver,WA,winery,206-300-9464,2026-05-07T20:52:10.533507,WA Business Lookup
Vancouver Restaurant #48,Vancouver,WA,winery,206-426-5214,2026-05-07T20:52:10.633643,WA Business Lookup
Vancouver Winery #49,Vancouver,WA,winery,206-132-8193,2026-05-07T20:52:10.733805,WA Business Lookup
Vancouver Restaurant #50,Vancouver,WA,seafood,206-417-8372,2026-05-07T20:52:10.833989,WA Business Lookup
Vancouver Winery #51,Vancouver,WA,coffee shop,206-671-7205,2026-05-07T20:52:10.936469,WA Business Lookup
Vancouver Coffee Shop #52,Vancouver,WA,cafe,206-164-4903,2026-05-07T20:52:11.036607,WA Business Lookup
Vancouver Food Truck #53,Vancouver,WA,seafood,206-202-1295,2026-05-07T20:52:11.136763,WA Business Lookup
Vancouver Brewery #54,Vancouver,WA,brewery,206-209-9216,2026-05-07T20:52:11.239103,WA Business Lookup
Vancouver Cafe #55,Vancouver,WA,restaurant,206-200-7705,2026-05-07T20:52:11.339245,WA Business Lookup
Vancouver Cafe #56,Vancouver,WA,winery,206-297-4775,2026-05-07T20:52:11.440513,WA Business Lookup
Vancouver Restaurant #57,Vancouver,WA,food truck,206-216-3653,2026-05-07T20:52:11.540658,WA Business Lookup
Vancouver Food Truck #58,Vancouver,WA,restaurant,206-951-2047,2026-05-07T20:52:11.640823,WA Business Lookup
Vancouver Restaurant #59,Vancouver,WA,bakery,206-492-5153,2026-05-07T20:52:11.740967,WA Business Lookup
Vancouver Cafe #60,Vancouver,WA,cafe,206-962-4485,2026-05-07T20:52:11.841276,WA Business Lookup
Bellevue Seafood #1,Bellevue,WA,seafood,206-375-1975,2026-05-07T20:52:11.941500,WA Business Lookup
Bellevue Seafood #2,Bellevue,WA,seafood,206-664-5357,2026-05-07T20:52:12.041638,WA Business Lookup
Bellevue Bakery #3,Bellevue,WA,bakery,206-914-8226,2026-05-07T20:52:12.141777,WA Business Lookup
Bellevue Restaurant #4,Bellevue,WA,winery,206-532-5540,2026-05-07T20:52:12.241984,WA Business Lookup
Bellevue Winery #5,Bellevue,WA,seafood,206-134-9223,2026-05-07T20:52:12.342142,WA Business Lookup
