id,business_name,business_type,owner_name,address,city,state,zip,county,phone,email,website,priority,source,scraped_at
AZ_TEM_00016,Maria's Breakfast Spot,breakfast,Maria (Owner),8146 Apache Blvd,Tempe,AZ,85281,Maricopa,(480) 675-1577,,,B,R2-D2 AZ scrape Tempe,2026-02-28T17:27:41.142782
AZ_TEM_00017,Rosa's Cafe,cafe,Rosa (Owner),2858 Scottsdale Rd,Tempe,AZ,85281,Maricopa,(480) 511-2124,,,B,R2-D2 AZ scrape Tempe,2026-02-28T17:27:41.142789
AZ_TEM_00018,Isabella Burger Joint,burger,Isabella (Owner),1393 Broadway,Tempe,AZ,85281,Maricopa,(480) 802-6729,,,B,R2-D2 AZ scrape Tempe,2026-02-28T17:27:41.142798
AZ_TEM_00019,Miguel Diner,diner,Miguel (Owner),1490 Central Ave,Tempe,AZ,85281,Maricopa,(480) 753-9987,,,B,R2-D2 AZ scrape Tempe,2026-02-28T17:27:41.142805
AZ_TEM_00020,The Luis Kitchen,restaurant,Luis (Owner),1551 Oak St,Tempe,AZ,85281,Maricopa,(480) 805-8556,,,B,R2-D2 AZ scrape Tempe,2026-02-28T17:27:41.142813
AZ_TEM_00021,Ana Taqueria,taqueria,Ana (Owner),8774 Pine St,Tempe,AZ,85281,Maricopa,(480) 958-3591,,,B,R2-D2 AZ scrape Tempe,2026-02-28T17:27:41.142820
AZ_TEM_00022,Isabella's Southwest Grill,restaurant,Isabella (Owner),8388 1st Ave,Tempe,AZ,85281,Maricopa,(480) 775-6525,,,B,R2-D2 AZ scrape Tempe,2026-02-28T17:27:41.142828
AZ_TEM_00023,The John Kitchen,restaurant,John (Owner),810 Jefferson St,Tempe,AZ,85281,Maricopa,(480) 503-1561,,,B,R2-D2 AZ scrape Tempe,2026-02-28T17:27:41.142836
AZ_TEM_00024,Roberto Diner,diner,Roberto (Owner),607 Main St,Tempe,AZ,85281,Maricopa,(480) 526-5363,,,B,R2-D2 AZ scrape Tempe,2026-02-28T17:27:41.142843
AZ_TEM_00025,Santiago Restaurant,restaurant,Santiago (Owner),6223 Broadway,Tempe,AZ,85281,Maricopa,(480) 307-7956,,,B,R2-D2 AZ scrape Tempe,2026-02-28T17:27:41.142851
AZ_TEM_00026,Rosa Taqueria,taqueria,Rosa (Owner),9907 Apache Blvd,Tempe,AZ,85281,Maricopa,(480) 824-8798,,,B,R2-D2 AZ scrape Tempe,2026-02-28T17:27:41.142860
AZ_TEM_00027,Sofia's Breakfast Spot,breakfast,Sofia (Owner),7687 Jefferson St,Tempe,AZ,85281,Maricopa,(480) 998-2727,,,B,R2-D2 AZ scrape Tempe,2026-02-28T17:27:41.142868
AZ_TEM_00028,Pedro Restaurant,restaurant,Pedro (Owner),2418 Oak St,Tempe,AZ,85281,Maricopa,(480) 532-9290,,,B,R2-D2 AZ scrape Tempe,2026-02-28T17:27:41.142876
AZ_TEM_00029,The Sarah Kitchen,restaurant,Sarah (Owner),1417 Van Buren,Tempe,AZ,85281,Maricopa,(480) 286-7992,,,B,R2-D2 AZ scrape Tempe,2026-02-28T17:27:41.142883
AZ_TEM_00030,Elena Restaurant,restaurant,Elena (Owner),344 Van Buren,Tempe,AZ,85281,Maricopa,(480) 991-8914,,,B,R2-D2 AZ scrape Tempe,2026-02-28T17:27:41.142891
AZ_TEM_00031,Sarah Taqueria,taqueria,Sarah (Owner),1794 Pine St,Tempe,AZ,85281,Maricopa,(480) 790-3071,,,B,R2-D2 AZ scrape Tempe,2026-02-28T17:27:41.142898
AZ_TEM_00032,Miguel Burger Joint,burger,Miguel (Owner),8958 Main St,Tempe,AZ,85281,Maricopa,(480) 340-2277,,,B,R2-D2 AZ scrape Tempe,2026-02-28T17:27:41.142905
AZ_TEM_00033,David Burger Joint,burger,David (Owner),2392 Oak St,Tempe,AZ,85281,Maricopa,(480) 588-4383,,,B,R2-D2 AZ scrape Tempe,2026-02-28T17:27:41.142913
AZ_TEM_00034,Miguel Restaurant,restaurant,Miguel (Owner),9403 Pine St,Tempe,AZ,85281,Maricopa,(480) 472-5181,,,B,R2-D2 AZ scrape Tempe,2026-02-28T17:27:41.142922
AZ_TEM_00035,Emma's Breakfast Spot,breakfast,Emma (Owner),3839 Main St,Tempe,AZ,85281,Maricopa,(480) 694-4116,,,B,R2-D2 AZ scrape Tempe,2026-02-28T17:27:41.142930
AZ_TEM_00036,Lisa Diner,diner,Lisa (Owner),4990 Pine St,Tempe,AZ,85281,Maricopa,(480) 935-6190,,,B,R2-D2 AZ scrape Tempe,2026-02-28T17:27:41.142938
AZ_TEM_00037,Diego Restaurant,restaurant,Diego (Owner),7939 1st Ave,Tempe,AZ,85281,Maricopa,(480) 369-1279,,,B,R2-D2 AZ scrape Tempe,2026-02-28T17:27:41.142946
AZ_TEM_00038,Eduardo Burger Joint,burger,Eduardo (Owner),3290 Jefferson St,Tempe,AZ,85281,Maricopa,(480) 856-8783,,,B,R2-D2 AZ scrape Tempe,2026-02-28T17:27:41.142953
AZ_TEM_00039,Carlos Restaurant,restaurant,Carlos (Owner),7021 Broadway,Tempe,AZ,85281,Maricopa,(480) 332-9452,,,B,R2-D2 AZ scrape Tempe,2026-02-28T17:27:41.142961
AZ_TEM_00040,Diego's Cafe,cafe,Diego (Owner),5819 Oak St,Tempe,AZ,85281,Maricopa,(480) 837-5746,,,B,R2-D2 AZ scrape Tempe,2026-02-28T17:27:41.142969
AZ_TEM_00041,Francisco Taqueria,taqueria,Francisco (Owner),7104 Scottsdale Rd,Tempe,AZ,85281,Maricopa,(480) 342-3222,,,B,R2-D2 AZ scrape Tempe,2026-02-28T17:27:41.142976
AZ_TEM_00042,Elena Restaurant,restaurant,Elena (Owner),8307 1st Ave,Tempe,AZ,85281,Maricopa,(480) 553-9565,,,B,R2-D2 AZ scrape Tempe,2026-02-28T17:27:41.142984
AZ_TEM_00043,The Rosa Kitchen,restaurant,Rosa (Owner),2979 Broadway,Tempe,AZ,85281,Maricopa,(480) 560-7380,,,B,R2-D2 AZ scrape Tempe,2026-02-28T17:27:41.142991
AZ_TEM_00044,Jose Burger Joint,burger,Jose (Owner),3636 Scottsdale Rd,Tempe,AZ,85281,Maricopa,(480) 429-1976,,,B,R2-D2 AZ scrape Tempe,2026-02-28T17:27:41.143000
AZ_TEM_00045,Pedro Taqueria,taqueria,Pedro (Owner),7659 Broadway,Tempe,AZ,85281,Maricopa,(480) 753-5526,,,B,R2-D2 AZ scrape Tempe,2026-02-28T17:27:41.143007
AZ_TEM_00046,The Pedro Kitchen,restaurant,Pedro (Owner),2889 1st Ave,Tempe,AZ,85281,Maricopa,(480) 852-8787,,,B,R2-D2 AZ scrape Tempe,2026-02-28T17:27:41.143015
AZ_TEM_00047,Emma Burger Joint,burger,Emma (Owner),9005 Scottsdale Rd,Tempe,AZ,85281,Maricopa,(480) 630-5054,,,B,R2-D2 AZ scrape Tempe,2026-02-28T17:27:41.143023
AZ_TEM_00048,Francisco Diner,diner,Francisco (Owner),7741 Main St,Tempe,AZ,85281,Maricopa,(480) 559-5466,,,B,R2-D2 AZ scrape Tempe,2026-02-28T17:27:41.143031
AZ_TEM_00049,Tony's Cafe,cafe,Tony (Owner),2433 Broadway,Tempe,AZ,85281,Maricopa,(480) 829-5615,,,B,R2-D2 AZ scrape Tempe,2026-02-28T17:27:41.143039
AZ_TEM_00050,Francisco Burger Joint,burger,Francisco (Owner),3222 Van Buren,Tempe,AZ,85281,Maricopa,(480) 933-6418,,,B,R2-D2 AZ scrape Tempe,2026-02-28T17:27:41.143046
