id,business_name,city,state,phone,address,verification_status,real_name,email
777,"Bistro of Sioux City",Sioux City,IA,(641) 920-7738,"None",PENDING,,
780,"Bar & Grill",Waterloo,IA,(712) 517-4590,"None",PENDING,,
796,"Cafe Co.",Naperville,IL,(872) 221-3437,"None",PENDING,,
806,"Cafe of Rockford",Rockford,IL,(331) 296-4475,"None",PENDING,,
825,"Restaurant of Springfield",Springfield,IL,(618) 829-5823,"None",PENDING,,
837,"Cafe of Naperville",Naperville,IL,(630) 645-6086,"None",PENDING,,
845,"Restaurant of Naperville",Naperville,IL,(224) 339-6573,"None",PENDING,,
851,"Bar & Grill",Chicago,IL,(618) 255-9326,"None",PENDING,,
860,"Cafe & Grill",Chicago,IL,(630) 748-3870,"None",PENDING,,
894,"Diner Co.",Aurora,IL,(847) 476-5987,"None",PENDING,,
897,"Diner of Peoria",Peoria,IL,(847) 314-7096,"None",PENDING,,
909,"Cafe & Grill",Elgin,IL,(217) 586-1731,"None",PENDING,,
924,"Bistro of Indianapolis",Indianapolis,IN,(574) 864-3215,"None",PENDING,,
925,"Cafe & Grill",South Bend,IN,(219) 515-5100,"None",PENDING,,
928,"Cafe & Grill",Fort Wayne,IN,(463) 350-9235,"None",PENDING,,
938,"Bistro & Grill",Indianapolis,IN,(463) 783-2663,"None",PENDING,,
963,"Diner of Indianapolis",Indianapolis,IN,(219) 907-1820,"None",PENDING,,
964,"Bistro & Grill",Fort Wayne,IN,(930) 724-2499,"None",PENDING,,
977,"Bistro & Grill",Fishers,IN,(765) 709-6325,"None",PENDING,,
986,"Cafe Co.",Fishers,IN,(219) 423-1885,"None",PENDING,,
1000,"Restaurant of Carmel",Carmel,IN,(317) 755-3251,"None",PENDING,,
1009,"Cafe Co.",Bloomington,IN,(219) 233-8842,"None",PENDING,,
1011,"Cafe & Grill",Wichita,KS,(316) 232-6021,"None",PENDING,,
1014,"Restaurant & Grill",Overland Park,KS,(913) 236-6794,"None",PENDING,,
1016,"Diner & Grill",Topeka,KS,(620) 623-2598,"None",PENDING,,
1019,"Bar Co.",Overland Park,KS,(620) 290-6383,"None",PENDING,,
1025,"Bar & Grill",Wichita,KS,(316) 567-3910,"None",PENDING,,
1029,"Cafe of Kansas City",Kansas City,KS,(316) 569-1129,"None",PENDING,,
1032,"Bar Co.",Wichita,KS,(620) 304-3330,"None",PENDING,,
1054,"Bar Co.",Shawnee,KS,(316) 811-2351,"None",PENDING,,
1059,"Bar of Olathe",Olathe,KS,(913) 350-8626,"None",PENDING,,
1070,"Bar of Shawnee",Shawnee,KS,(785) 314-1838,"None",PENDING,,
1071,"Restaurant Co.",Olathe,KS,(316) 381-5301,"None",PENDING,,
1072,"Bistro of Olathe",Olathe,KS,(913) 434-3494,"None",PENDING,,
1086,"Bistro of Ann Arbor",Ann Arbor,MI,(810) 472-2074,"None",PENDING,,
1092,"Cafe Co.",Lansing,MI,(313) 565-2927,"None",PENDING,,
1108,"Diner Co.",Grand Rapids,MI,(269) 589-7390,"None",PENDING,,
1124,"Bistro Co.",Ann Arbor,MI,(586) 917-5437,"None",PENDING,,
1127,"Cafe & Grill",Lansing,MI,(313) 211-1216,"None",PENDING,,
1137,"Bistro of Detroit",Detroit,MI,(231) 590-7197,"None",PENDING,,
1138,"Restaurant of Lansing",Lansing,MI,(810) 217-9223,"None",PENDING,,
1174,"Diner & Grill",Flint,MI,(248) 281-2621,"None",PENDING,,
1182,"Bar Co.",Rochester,MN,(763) 826-3715,"None",PENDING,,
1212,"Cafe Co.",St. Paul,MN,(320) 570-1772,"None",PENDING,,
1221,"Diner of Duluth",Duluth,MN,(952) 936-7761,"None",PENDING,,
1242,"Cafe Co.",Brooklyn Park,MN,(507) 733-8329,"None",PENDING,,
1250,"Bistro & Grill",Bloomington,MN,(320) 512-3234,"None",PENDING,,
1252,"Diner Co.",Brooklyn Park,MN,(952) 619-5577,"None",PENDING,,
1261,"Cafe & Grill",Springfield,MO,(573) 400-9655,"None",PENDING,,
1266,"Cafe of Kansas City",Kansas City,MO,(573) 256-6927,"None",PENDING,,
1285,"Diner of Columbia",Columbia,MO,(314) 533-7386,"None",PENDING,,
1302,"Bar & Grill",Kansas City,MO,(417) 674-4368,"None",PENDING,,
1304,"Bar of Kansas City",Kansas City,MO,(417) 773-6695,"None",PENDING,,
1307,"Bistro of Springfield",Springfield,MO,(417) 913-9557,"None",PENDING,,
1321,"Cafe & Grill",Kansas City,MO,(660) 204-3064,"None",PENDING,,
1333,"Cafe of O'Fallon",O'Fallon,MO,(573) 804-7670,"None",PENDING,,
1340,"Diner & Grill",Independence,MO,(816) 227-6049,"None",PENDING,,
1348,"Bar of O'Fallon",O'Fallon,MO,(816) 691-1033,"None",PENDING,,
1361,"Bistro of Lee's Summit",Lee's Summit,MO,(573) 430-1970,"None",PENDING,,
1362,"Cafe Co.",Independence,MO,(314) 638-1055,"None",PENDING,,
1369,"Cafe of Omaha",Omaha,NE,(402) 602-7342,"None",PENDING,,
1371,"Bistro of Grand Island",Grand Island,NE,(402) 528-2920,"None",PENDING,,
1385,"Bistro & Grill",Grand Island,NE,(308) 539-8264,"None",PENDING,,
1400,"Restaurant of Grand Island",Grand Island,NE,(402) 336-9336,"None",PENDING,,
1402,"Bar Co.",Fremont,NE,(402) 361-7623,"None",PENDING,,
1416,"Cafe of Fremont",Fremont,NE,(402) 924-6341,"None",PENDING,,
1417,"Cafe of Bellevue",Bellevue,NE,(402) 536-8740,"None",PENDING,,
1426,"Diner & Grill",Cleveland,OH,(937) 947-4467,"None",PENDING,,
1431,"Restaurant & Grill",Cleveland,OH,(330) 290-1640,"None",PENDING,,
1442,"Bistro & Grill",Toledo,OH,(216) 974-9366,"None",PENDING,,
