Business Name,City,County,State,Phone,Address,Type,Source,Priority
SUNRISE RANCH WINERY,AMERICAN CANYON,Napa,CA,,1 KIRKLAND RANCH RD,Food Service,ABC License Data,HIGH
SUTTER HOME WINERY,AMERICAN CANYON,Napa,CA,,303 GREEN ISLAND RD,Food Service,ABC License Data,HIGH
SWIRL WINE BROKERS INC,AMERICAN CANYON,Napa,CA,,644 HANNA DR.,Food Service,ABC License Data,HIGH
TACOS MICHOACHAN 2,AMERICAN CANYON,Napa,CA,,3945 BROADWAY ST,Mexican Restaurant,ABC License Data,HIGH
THAI KITCHEN RESTAURANT,AMERICAN CANYON,Napa,CA,,3425 BROADWAY ST,Asian Restaurant,ABC License Data,HIGH
TRI-VIN WINES AND SPIRITS,AMERICAN CANYON,Napa,CA,,1155 COMMERCE BLVD,Food Service,ABC License Data,HIGH
USA WINE WEST,AMERICAN CANYON,Napa,CA,,1200 GREEN ISLAND RD,Food Service,ABC License Data,HIGH
VALENTINA'S KITCHEN,AMERICAN CANYON,Napa,CA,,100 W AMERICAN CANYON RD,Food Service,ABC License Data,HIGH
VALLEY WINE WAREHOUSE,AMERICAN CANYON,Napa,CA,,175 TOWER RD,Food Service,ABC License Data,HIGH
VINITY WINE COMPANY,AMERICAN CANYON,Napa,CA,,1200 GREEN ISLAND RD,Food Service,ABC License Data,HIGH
WAUGH FAMILY WINES,AMERICAN CANYON,Napa,CA,,100 NAPA JUNCTION RD,Food Service,ABC License Data,HIGH
WESTERN WINE SERVICES INC,AMERICAN CANYON,Napa,CA,,1275 COMMERCE BLVD,Food Service,ABC License Data,HIGH
WILLIAM & MARY WINE COMPANY,AMERICAN CANYON,Napa,CA,,644 HANNA DR,Food Service,ABC License Data,HIGH
WINE SOURCE GROUP LLC,AMERICAN CANYON,Napa,CA,,875 HANNA DR,Food Service,ABC License Data,HIGH
WINE SPOTS CELLARS,AMERICAN CANYON,Napa,CA,,801 HANNA DR,Food Service,ABC License Data,HIGH
WINEDIRECT,AMERICAN CANYON,Napa,CA,,450 GREEN ISLAND RD,Food Service,ABC License Data,HIGH
WINESOURCE INTERNATIONAL,AMERICAN CANYON,Napa,CA,,1275 COMMERCE BLVD,Food Service,ABC License Data,HIGH
WINESU,AMERICAN CANYON,Napa,CA,,1275 COMMERCE BLVD,Food Service,ABC License Data,HIGH
WINGSTOP 418,AMERICAN CANYON,Napa,CA,,5075 MAIN ST,Food Service,ABC License Data,HIGH
ADAMVS WINERY,ANGWIN,Napa,CA,,501 WHITE COTTAGE RD N,Food Service,ABC License Data,HIGH
ALOFT WINES & DARK MATTER WINES,ANGWIN,Napa,CA,,383 LAS POSADAS,Food Service,ABC License Data,HIGH
BARTLETT FAMILY VINEYARDS,ANGWIN,Napa,CA,,555 WHITE COTTAGE RD S,Bar,ABC License Data,HIGH
BLACK SEARS ESTATE WINES  LLC,ANGWIN,Napa,CA,,2610 SUMMIT LAKE DRIVE,Food Service,ABC License Data,HIGH
CADE WINERY,ANGWIN,Napa,CA,,360 HOWELL MOUNTAIN RD,Food Service,ABC License Data,HIGH
FLATLEY WINES,ANGWIN,Napa,CA,,335 WEST LN,Food Service,ABC License Data,HIGH
HAYFORK WINE COMPANY,ANGWIN,Napa,CA,,2255 SUMMIT LAKE DR,Food Service,ABC License Data,HIGH
HOSSFELD VINEYARDS WINE CO.,ANGWIN,Napa,CA,,335 WEST LN,Food Service,ABC License Data,HIGH
JACKSON FAMILY WINES INC,ANGWIN,Napa,CA,,1102 LAS POSADAS RD,Food Service,ABC License Data,HIGH
JENNAMARISE WINES,ANGWIN,Napa,CA,,1300 SUMMIT LAKE DR,Food Service,ABC License Data,HIGH
MAXEM WINES,ANGWIN,Napa,CA,,335 WEST LN,Food Service,ABC License Data,HIGH
MONTESQUIEU WINERY,ANGWIN,Napa,CA,,335 WEST LN,Food Service,ABC License Data,HIGH
MOONE TSAI WINES,ANGWIN,Napa,CA,,1425 LAS POSADAS RD,Food Service,ABC License Data,HIGH
OSHAUGHNESSY ESTATE WINERY,ANGWIN,Napa,CA,,1150 FRIESEN DR,Food Service,ABC License Data,HIGH
OUTPOST WINES,ANGWIN,Napa,CA,,2075 SUMMIT LAKE DR,Food Service,ABC License Data,HIGH
PARAVEL WINES,ANGWIN,Napa,CA,,994 WHITE COTTAGE RD N,Food Service,ABC License Data,HIGH
PEACE WATER WINERY,ANGWIN,Napa,CA,,2000 SUMMIT LAKE DR,Food Service,ABC License Data,HIGH
RED THREAD WINE COMAPANY,ANGWIN,Napa,CA,,2000 SUMMIT LAKE DR,Food Service,ABC License Data,HIGH
ROBERT CRAIG WINERY,ANGWIN,Napa,CA,,2475 SUMMIT LAKE DR,Food Service,ABC License Data,HIGH
SELAH WINES,ANGWIN,Napa,CA,,2075 SUMMIT LAKE DR,Food Service,ABC License Data,HIGH
SOUNDS  SOUNDS WINE,ANGWIN,Napa,CA,,1181 LAS POSADAS RD,Food Service,ABC License Data,HIGH
STELLAREESE WINES,ANGWIN,Napa,CA,,480 BAY ST,Food Service,ABC License Data,HIGH
SUMMIT LAKE VINEYARDS & WINERY,ANGWIN,Napa,CA,,2000 SUMMIT LAKE DR,Food Service,ABC License Data,HIGH
THREE FURIES WINES,ANGWIN,Napa,CA,,716 LIPARITA AVE,Food Service,ABC License Data,HIGH
TRUJILLO WINES,ANGWIN,Napa,CA,,1250 LAS POSADOS RD,Food Service,ABC License Data,HIGH
VIDA VALIENTE WINERY,ANGWIN,Napa,CA,,335 WEST LN,Food Service,ABC License Data,HIGH
Mountain Mikes Pizza - American Canyon,American Canyon,Napa,CA,,,Pizza Restaurant,Mountain Mikes Franchise,HIGH
1510 LIQUOR LLC,CALISTOGA,Napa,CA,,1510 DIAMOND MOUNTAIN RD,Food Service,ABC License Data,HIGH
1520 LIQUOR LLC,CALISTOGA,Napa,CA,,1520 DIAMOND MOUNTAIN RD,Food Service,ABC License Data,HIGH
AUBERT WINES,CALISTOGA,Napa,CA,,333 SILVERADO TRL,Food Service,ABC License Data,HIGH
AUGUST BRIGGS WINERY,CALISTOGA,Napa,CA,,1307 LINCOLN AVE,Food Service,ABC License Data,HIGH
BARLOW VINEYARDS,CALISTOGA,Napa,CA,,4411 SILVERADO TRL,Bar,ABC License Data,HIGH
BATISTA WINE IMPORTS LLC,CALISTOGA,Napa,CA,,1471 1ST ST,Food Service,ABC License Data,HIGH
BENNETT LANE WINERY,CALISTOGA,Napa,CA,,3340 STATE HIGHWAY 128,Food Service,ABC License Data,HIGH
BETA-WINES,CALISTOGA,Napa,CA,,1999 DIAMOND MOUNTAIN RD,Food Service,ABC License Data,HIGH
BOATIQUE WINERY  LLC,CALISTOGA,Napa,CA,,965 SILVERADO TRL,Food Service,ABC License Data,HIGH
BURE FAMILY WINES,CALISTOGA,Napa,CA,,1171 TUBBS LN,Food Service,ABC License Data,HIGH
BUSTERS SOUTHERN BARBECUE,CALISTOGA,Napa,CA,,1207 FOOTHILL BLVD,Bar,ABC License Data,HIGH
C BECK WINERY/TIN MAN WINES,CALISTOGA,Napa,CA,,2424 JANIS WY,Food Service,ABC License Data,HIGH
CALISTOGA INN RESTAURANT & BREWERY,CALISTOGA,Napa,CA,,1250 LINCOLN AVE,Restaurant,ABC License Data,HIGH
CALISTOGA LIQUOR,CALISTOGA,Napa,CA,,1102 TUBBS LN,Food Service,ABC License Data,HIGH
CALISTOGA ORTHODOX WINES INC,CALISTOGA,Napa,CA,,1507 WASHINGTON ST,Food Service,ABC License Data,HIGH
CALISTOGA THAI KITCHEN,CALISTOGA,Napa,CA,,1359 LINCOLN AVE,Asian Restaurant,ABC License Data,HIGH
CALISTOGA WINE WAY INN,CALISTOGA,Napa,CA,,1019 FOOTHILL BLVD,Food Service,ABC License Data,HIGH
CASA DOMINGUEZ WINES,CALISTOGA,Napa,CA,,3070 OLD LAWLEY TOLL RD,Food Service,ABC License Data,HIGH
CLOS PEGASE WINERY,CALISTOGA,Napa,CA,,1060 DUNAWEAL LN,Food Service,ABC License Data,HIGH
CRESTA VELIA WINES,CALISTOGA,Napa,CA,,1413 EARL ST,Food Service,ABC License Data,HIGH
DEUTSCH FAMILY WINE & SPIRITS,CALISTOGA,Napa,CA,,1077 DUNAWEAL LN,Food Service,ABC License Data,HIGH
DIAMOND MOUNTAIN WINERY,CALISTOGA,Napa,CA,,2121 DIAMOND MOUNTAIN RD,Food Service,ABC License Data,HIGH
DOI DA WINES,CALISTOGA,Napa,CA,,1251 TUBBS LN,Food Service,ABC License Data,HIGH
ELUSA WINERY,CALISTOGA,Napa,CA,,400 SILVERADO TRL,Food Service,ABC License Data,HIGH
ENCROACHMENT WINES LLC,CALISTOGA,Napa,CA,,4708 SILVERADO TRAIL,Food Service,ABC License Data,HIGH
ENVY WINES,CALISTOGA,Napa,CA,,1170 TUBBS LN,Food Service,ABC License Data,HIGH
FAST GAS & MINI MART 2,CALISTOGA,Napa,CA,,1108 LINCOLN AVE,Food Service,ABC License Data,HIGH
FIVE SENSES NAPA VALLEY - MODERN JAPANESE,CALISTOGA,Napa,CA,,1227 LINCOLN AVE,Food Service,ABC License Data,HIGH
FORTUNATE SON WINES,CALISTOGA,Napa,CA,,3718 ST HELENA HWY N,Food Service,ABC License Data,HIGH
FTM WINE COMPANY LLC,CALISTOGA,Napa,CA,,4300 SILVERADO TRL,Food Service,ABC License Data,HIGH
FULTON FAMILY WINERY,CALISTOGA,Napa,CA,,263 PETRIFIED FOREST RD,Food Service,ABC License Data,HIGH
GARNET CREEK WINERY,CALISTOGA,Napa,CA,,2280 GREENWOOD AVE,Food Service,ABC License Data,HIGH
GIRARD WINERY,CALISTOGA,Napa,CA,,1077 DUNAWEAL LN,Food Service,ABC License Data,HIGH
GLOBAL WINE,CALISTOGA,Napa,CA,,3111 LAKE COUNTY HWY,Food Service,ABC License Data,HIGH
GLORIOUS REVOLUTION WINE,CALISTOGA,Napa,CA,,4199 HEITZ WAY,Food Service,ABC License Data,HIGH
GRIEVE FAMILY WINES,CALISTOGA,Napa,CA,,865 SILVERADO TRL,Food Service,ABC License Data,HIGH
GROW WINES,CALISTOGA,Napa,CA,,1599 LAKE ST,Food Service,ABC License Data,HIGH
HELENA VIEW JOHNSTON VINEYARDS WINERY,CALISTOGA,Napa,CA,,3500 STATE HIGHWAY 128,Food Service,ABC License Data,HIGH
HINDSIGHT WINES  HINDSIGHT VINEYARDS,CALISTOGA,Napa,CA,,2383 MORA AVE,Food Service,ABC License Data,HIGH
HINDSIGHTS WINES,CALISTOGA,Napa,CA,,2383 MORA AVE,Food Service,ABC License Data,HIGH
HOBEL WINES,CALISTOGA,Napa,CA,,1251 TUBBS LN,Food Service,ABC License Data,HIGH
HONOR WINERY,CALISTOGA,Napa,CA,,4550 SILVERADO TRL,Food Service,ABC License Data,HIGH
HOURGLASS WINE COMPANY,CALISTOGA,Napa,CA,,701 LOMMEL RD,Food Service,ABC License Data,HIGH
HYDRO GRILL,CALISTOGA,Napa,CA,,1403 LINCOLN AVE,Food Service,ABC License Data,HIGH
INIZI WINES,CALISTOGA,Napa,CA,,1703 MAGGIE AVE,Food Service,ABC License Data,HIGH
JOSEPH CELLARS WINERY,CALISTOGA,Napa,CA,,4455 SAINT HELENA HWY,Food Service,ABC License Data,HIGH
K.R. III NAPA WINES LLC,CALISTOGA,Napa,CA,,3887 SILVERADO TRL N,Food Service,ABC License Data,HIGH
KAISER FAMILY WINERY  INC,CALISTOGA,Napa,CA,,2280 GREENWOOD AVE,Food Service,ABC License Data,HIGH
KALM CELLARS @ CALISTOGA FARMERS MARKET,CALISTOGA,Napa,CA,,1311 WASHINGTON ST,Food Service,ABC License Data,HIGH
KENEFICK RANCH WINERY,CALISTOGA,Napa,CA,,2200 PICKETT RD,Food Service,ABC License Data,HIGH
KENEFICK RANCHES WINERY,CALISTOGA,Napa,CA,,4550 SILVERADO TRL,Food Service,ABC License Data,HIGH
KEYES WINE  LLC,CALISTOGA,Napa,CA,,1170 TUBBS LN,Food Service,ABC License Data,HIGH
KNIGHTS BRIDGE WINERY,CALISTOGA,Napa,CA,,17134 SPENCER LN,Food Service,ABC License Data,HIGH
KNIGHTS BRIDGE WINERY  LLC,CALISTOGA,Napa,CA,,17134 SPENCER LN,Food Service,ABC License Data,HIGH
KOCHANA WINES,CALISTOGA,Napa,CA,,8289 FRANZ VALLEY SCHOOL RD,Food Service,ABC License Data,HIGH
LA CORONA MARKET,CALISTOGA,Napa,CA,,1856 LINCOLN AVE,Food Service,ABC License Data,HIGH
LA PRIMA PIZZA,CALISTOGA,Napa,CA,,1923 LAKE ST,Food Service,ABC License Data,HIGH
LADERA WINERY,CALISTOGA,Napa,CA,,3942 SILVERADO TRL N,Food Service,ABC License Data,HIGH
LAURA MICHAEL WINES,CALISTOGA,Napa,CA,,2250 LAKE COUNTY HWY,Food Service,ABC License Data,HIGH
LAWER FAMILY WINERY INC,CALISTOGA,Napa,CA,,8910 FRANZ VALLEY SCHOOL RD,Food Service,ABC License Data,HIGH
LAWER FAMILY WINES @ CALISTOGA FARMERS MARKET,CALISTOGA,Napa,CA,,1235 WASHINGTON ST,Food Service,ABC License Data,HIGH
LOLA WINES,CALISTOGA,Napa,CA,,916 FOOTHILL BLVD,Food Service,ABC License Data,HIGH
MACAULEY WINE CORPORATION,CALISTOGA,Napa,CA,,4708 SILVERADO TRAIL,Food Service,ABC License Data,HIGH
MANDET WINES,CALISTOGA,Napa,CA,,1251 TUBBS LN,Food Service,ABC License Data,HIGH
MARIA CONCETTO WINERY  INC.,CALISTOGA,Napa,CA,,1367 LINCOLN AVE,Food Service,ABC License Data,HIGH
MARNET WINES,CALISTOGA,Napa,CA,,1572 CENTENNIAL CIR,Food Service,ABC License Data,HIGH
MC WINES LLC,CALISTOGA,Napa,CA,,1170 TUBBS LN,Food Service,ABC License Data,HIGH
MONTESQUIEU WINERY,CALISTOGA,Napa,CA,,4550 SILVERADO TRL,Food Service,ABC License Data,HIGH
NEOTEMPO WINES,CALISTOGA,Napa,CA,,701 LOMMEL RD,Food Service,ABC License Data,HIGH
NEXT DOOR WINE,CALISTOGA,Napa,CA,,3111 LAKE COUNTY HWY,Food Service,ABC License Data,HIGH
NIMROD WINES  LLC,CALISTOGA,Napa,CA,,1471 1ST ST,Food Service,ABC License Data,HIGH
NOAH RIVER WINES LLC,CALISTOGA,Napa,CA,,2450 FOOTHILL BLVD,Food Service,ABC License Data,HIGH
OFF ROUTE WINE COMPANY LLC,CALISTOGA,Napa,CA,,1611 HARLEY ST,Food Service,ABC License Data,HIGH
OTRA VEZ WINERY,CALISTOGA,Napa,CA,,2280 GREENWOOD AVE,Food Service,ABC License Data,HIGH
PACIFICO RESTAURANTE MEXICANO,CALISTOGA,Napa,CA,,1237 LINCOLN AVE,Mexican Restaurant,ABC License Data,HIGH
PALISADES WINE COMPANY,CALISTOGA,Napa,CA,,3130 OLD LAWLEY TOLL RD,Food Service,ABC License Data,HIGH
PAOLETTI ESTATES WINERY,CALISTOGA,Napa,CA,,4501 SILVERADO TRL,Food Service,ABC License Data,HIGH
PARADY FAMILY WINES,CALISTOGA,Napa,CA,,1124 LINCOLN AVE,Food Service,ABC License Data,HIGH
PETER MICHAEL WINERY,CALISTOGA,Napa,CA,,12400 IDA CLAYTON RD,Food Service,ABC License Data,HIGH
PHIFER PAVITT WINES,CALISTOGA,Napa,CA,,4660 SILVERADO TRL,Food Service,ABC License Data,HIGH
PICKETT ACRE WINES,CALISTOGA,Napa,CA,,2395 PICKETT RD,Food Service,ABC License Data,HIGH
PICKETT ROAD WINE COMPANY,CALISTOGA,Napa,CA,,2339 PICKETT RD,Food Service,ABC License Data,HIGH
POGGI WINES  LLC,CALISTOGA,Napa,CA,,30 ROSEDALE RD,Food Service,ABC License Data,HIGH
PUERTO VALLARTA MARKET,CALISTOGA,Napa,CA,,1009 FOOTHILL BLVD,Food Service,ABC License Data,HIGH
PWR WINES,CALISTOGA,Napa,CA,,1311 PINE ST,Food Service,ABC License Data,HIGH
RARECAT WINES,CALISTOGA,Napa,CA,,965 SILVERADO TRL,Food Service,ABC License Data,HIGH
RESORT AT INDIAN SPRINGS LLC,CALISTOGA,Napa,CA,,1712 LINCOLN AVE,Food Service,ABC License Data,HIGH
REVERIE WINERY,CALISTOGA,Napa,CA,,1520 DIAMOND MOUNTAIN RD,Food Service,ABC License Data,HIGH
RIOS WINE COMPANY LLC,CALISTOGA,Napa,CA,,3070 OLD LAWLEY TOLL RD,Food Service,ABC License Data,HIGH
RIVERS-MARIE WINES,CALISTOGA,Napa,CA,,900 FOOTHILL BLVD,Food Service,ABC License Data,HIGH
RJS BOUTIQUE WINES LLC,CALISTOGA,Napa,CA,,3190 HIGHWAY 128,Food Service,ABC License Data,HIGH
ROB LAWSON WINES,CALISTOGA,Napa,CA,,965 SILVERADO TRL,Food Service,ABC License Data,HIGH
RUBIO FAMILY WINES  LLC,CALISTOGA,Napa,CA,,4395 SCOTT WAY,Food Service,ABC License Data,HIGH
SARAFORNIA CAFE INC,CALISTOGA,Napa,CA,,1413 LINCOLN AVE,Restaurant,ABC License Data,HIGH
SCARLETT WINES,CALISTOGA,Napa,CA,,1251 TUBBS LN,Food Service,ABC License Data,HIGH
SCULATTI WINE,CALISTOGA,Napa,CA,,1124 LINCOLN AVE,Food Service,ABC License Data,HIGH
SELAH WINES,CALISTOGA,Napa,CA,,1127  MAPLE LN,Food Service,ABC License Data,HIGH
SEPIA WINES  LLC,CALISTOGA,Napa,CA,,817 LOMMEL RD,Food Service,ABC License Data,HIGH
SILVER OAK WINE CELLARS,CALISTOGA,Napa,CA,,1183 DUNAWEAL LN,Food Service,ABC License Data,HIGH
SOLORIO FAMILY WINES,CALISTOGA,Napa,CA,,2280 GREENWOOD AVE,Food Service,ABC License Data,HIGH
SOMNIUM WINE COMPANY  LLC,CALISTOGA,Napa,CA,,1307 LINCOLN AVE,Food Service,ABC License Data,HIGH
STORMY WEATHER WINE LLC,CALISTOGA,Napa,CA,,3750 SILVERADO TRL,Food Service,ABC License Data,HIGH
STORYBOOK MOUNTAIN WINERY,CALISTOGA,Napa,CA,,3835 STATE HIGHWAY 128,Food Service,ABC License Data,HIGH
SUSHI MAMBO,CALISTOGA,Napa,CA,,1631 LINCOLN AVE,Food Service,ABC License Data,HIGH
SWANSON VINEYARDS AND WINERY,CALISTOGA,Napa,CA,,1077 DUNAWEAL LN,Food Service,ABC License Data,HIGH
T BERKLEY WINES,CALISTOGA,Napa,CA,,4451 N ST HELENA HWY,Food Service,ABC License Data,HIGH
T-VINE WINERY,CALISTOGA,Napa,CA,,810 FOOTHILL BLVD,Food Service,ABC License Data,HIGH
TANK GARAGE WINERY,CALISTOGA,Napa,CA,,1020 FOOTHILL BLVD,Food Service,ABC License Data,HIGH
TEACHWORTH WINERY,CALISTOGA,Napa,CA,,4451 N ST HELENA HWY,Food Service,ABC License Data,HIGH
TEDESCHI FAMILY WINERY,CALISTOGA,Napa,CA,,2779 GRANT ST,Food Service,ABC License Data,HIGH
TENUTA FOPPA & AMBROSI WINES  LLC,CALISTOGA,Napa,CA,,1380 TUCKER RD,Food Service,ABC License Data,HIGH
TOFANELLI WINES,CALISTOGA,Napa,CA,,1212 PINE ST,Food Service,ABC License Data,HIGH
TOM EDDY WINES,CALISTOGA,Napa,CA,,3870 STATE HIGHWAY 128,Food Service,ABC License Data,HIGH
TUMULT WINES,CALISTOGA,Napa,CA,,8300 FRANZ VALLEY SCHOOL RD,Food Service,ABC License Data,HIGH
UPPER VALLEY BARREL STORAGE,CALISTOGA,Napa,CA,,3 IDA LN,Bar,ABC License Data,HIGH
UPROOT WINES,CALISTOGA,Napa,CA,,965 SILVERADO TRL,Food Service,ABC License Data,HIGH
VENDING MACHINE WINERY  LLC,CALISTOGA,Napa,CA,,1471 1ST ST,Food Service,ABC License Data,HIGH
VICE VERSA WINES,CALISTOGA,Napa,CA,,965 SILVERADO TRL,Food Service,ABC License Data,HIGH
VINCENT ARROYO WINERY  INC.,CALISTOGA,Napa,CA,,2361 GREENWOOD AVE,Food Service,ABC License Data,HIGH
WEPPLER VINEYARDS & TEN KEY WINES,CALISTOGA,Napa,CA,,2970 FOOTHILL BLVD,Food Service,ABC License Data,HIGH
WINEXYZ  LLC,CALISTOGA,Napa,CA,,1471 1ST ST,Food Service,ABC License Data,HIGH
ZACHERLE WINES,CALISTOGA,Napa,CA,,1501 CEDAR ST,Food Service,ABC License Data,HIGH
Mountain Mikes Pizza - Calistoga,Calistoga,Napa,CA,,,Pizza Restaurant,Mountain Mikes Franchise,HIGH
INTENTUS FINE WINES LLC,DEER PARK,Napa,CA,,1120 DEER PARK RD,Food Service,ABC License Data,HIGH
THE SLUGGER WINE COMPANY,DEER PARK,Napa,CA,,899 SANITARIUM RD,Food Service,ABC License Data,HIGH
1 800 WINE SHOP,NAPA,Napa,CA,,2545 NAPA VALLEY CORPORATE DR,Food Service,ABC License Data,HIGH
7 ELEVEN STORE #2365-14129B,NAPA,Napa,CA,,1925 SIERRA AVE,Food Service,ABC License Data,HIGH
7 ELEVEN STORE #2365-14138C,NAPA,Napa,CA,,2906 1ST ST,Food Service,ABC License Data,HIGH
8687 FAMILY WINE COMPANY,NAPA,Napa,CA,,1201 DARMS LN,Food Service,ABC License Data,HIGH
