Business Name,City,County,Phone,Address,Business Type,Source,Chain Status,Priority
Teriyaki Madness - Teriyaki Madness Ft Knox,,,,"Ft Knox Military Base - Main Exchange 127 Gold Vault Rd Ft Knox, KY, 40121",Fast Casual Restaurant,Teriyaki Madness Franchise,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Macomb,,,586-566-6288,"15619 Hall Road Macomb, MI, 48044",Fast Casual Restaurant,Teriyaki Madness Franchise,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Wixom,,,734-892-6850,"28880 Wixom Rd Wixom, MI, 48393",Fast Casual Restaurant,Teriyaki Madness Franchise,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Oakdale,,,651-340-9285,"8366 Third Street North Oakdale, MN, 55218",Fast Casual Restaurant,Teriyaki Madness Franchise,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Springfield,,,,"1155 East Battlefield, Suite 100 Springfield, MO, 65807",Fast Casual Restaurant,Teriyaki Madness Franchise,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Great Falls,,,406-315-3388,"1710 10th Avenue South Great Falls, MT, 59405",Fast Casual Restaurant,Teriyaki Madness Franchise,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Midtown Metropolitan,,,704-910-2076,"1100 Metropolitan Ave, Unit 130 Charlotte, NC, 28204",Fast Casual Restaurant,Teriyaki Madness Franchise,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Marlton,,,856-446-6239,"101 Route 73 South, Suite 165 Marlton, NJ, 08053",Fast Casual Restaurant,Teriyaki Madness Franchise,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Newark,,,(973) 991-1247,"137 Halsey St, Newark, NJ 07102",Fast Casual Restaurant,Teriyaki Madness Franchise,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Blue Diamond,,,702-586-7600,"4870 Blue Diamond Road Suite 110 Las Vegas, NV, 89139",Fast Casual Restaurant,Teriyaki Madness Franchise,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Centennial,,,702-331-0999,"5705 Centennial Ctr Blvd. Suite 190 Las Vegas, NV, 89149",Fast Casual Restaurant,Teriyaki Madness Franchise,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Center Point Plaza,,,702-478-9964,"10300 West Charleston Blvd. Ste. #6 & #7 Las Vegas, NV, 89135",Fast Casual Restaurant,Teriyaki Madness Franchise,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Charleston Commons,,,702-410-9020,"21 N Nellis Blvd Las Vegas, NV, 89110",Fast Casual Restaurant,Teriyaki Madness Franchise,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Craig,,,702-341-8623,"725 W Craig Rd. Suite 132 North Las Vegas, NV, 89032",Fast Casual Restaurant,Teriyaki Madness Franchise,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Decatur,,,702-816-4000,"6171 N Decatur Blvd Suite #110 Las Vegas, NV, 89130",Fast Casual Restaurant,Teriyaki Madness Franchise,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Elko,,,775-753-8623,"1657 Mountain City Hwy #104 Elko, NV, 89801",Fast Casual Restaurant,Teriyaki Madness Franchise,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Harmon Square,,,702-463-8205,"4503 Paradise Road #320 Las Vegas, NV, 89169",Fast Casual Restaurant,Teriyaki Madness Franchise,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Lake Mead,,,702-982-8623,"7481 West Lake Mead Las Vegas, NV, 89128",Fast Casual Restaurant,Teriyaki Madness Franchise,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Maryland,,,702-252-8623,"9845 S Maryland Pkwy Suite C Las Vegas, NV, 89183",Fast Casual Restaurant,Teriyaki Madness Franchise,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Reno,,,775-851-6051,"13963 S Virginia St, Suite 904 Reno, NV, 89511",Fast Casual Restaurant,Teriyaki Madness Franchise,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Sahara Pavilion South,,,702-436-1060,"2530 S Decatur Blvd Suite 110 Las Vegas, NV, 89102",Fast Casual Restaurant,Teriyaki Madness Franchise,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness The Lakes Plaza,,,702-331-6756,"9151 W. Sahara #104 Las Vegas, NV, 89117",Fast Casual Restaurant,Teriyaki Madness Franchise,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Warm Springs,,,702-878-8623,"8520 W Warm Springs Rd. Suite 103 Las Vegas, NV, 89113",Fast Casual Restaurant,Teriyaki Madness Franchise,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Westerville,,,(614) 392-2171,"833 Polaris Pkwy Westerville, OH, 43082",Fast Casual Restaurant,Teriyaki Madness Franchise,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness North Penn,,,405-726-0853,"15124 Lleytons Court #104 Oklahoma City, OK, 73013",Fast Casual Restaurant,Teriyaki Madness Franchise,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Bend,,,541-797-0261,"2680 NE Highway 20, Suite 340 Bend, OR, 97701",Fast Casual Restaurant,Teriyaki Madness Franchise,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Eugene,,,541-357-4894,"45 Division Ave Ste J Eugene, OR, 97404",Fast Casual Restaurant,Teriyaki Madness Franchise,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Chambersburg,,,717-496-8929,"243 Walker Road, Unit 2 Chambersburg, PA, 17201",Fast Casual Restaurant,Teriyaki Madness Franchise,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Harrisburg,,,717-559-0692,"4635 High Point Blvd. Harrisburg, PA, 17111",Fast Casual Restaurant,Teriyaki Madness Franchise,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness King of Prussia,,,,"Prussia, PA",Fast Casual Restaurant,Teriyaki Madness Franchise,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Sioux Falls,,,605-271-1119,"4812 S. Louise Avenue Sioux Falls, SD, 57106",Fast Casual Restaurant,Teriyaki Madness Franchise,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Henderson,,,615-264-7090,"1006 Glenbrook Way, Suite 110 Hendersonville, TN, 37075",Fast Casual Restaurant,Teriyaki Madness Franchise,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Conroe,,,936-267-2918,"381 South Loop 336W, Suite 1100 Conroe, TX, 77304",Fast Casual Restaurant,Teriyaki Madness Franchise,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Fulshear,,,(281) 346-8192,"6300 FM 1463 Ste 300 Fulshear, TX, 77494",Fast Casual Restaurant,Teriyaki Madness Franchise,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Katy,,,(346) 355-8623,"25705 Katy Fwy Ste 110 Katy, TX, 77494",Fast Casual Restaurant,Teriyaki Madness Franchise,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Parkway Village,,,832-877-3377,"13410 Briar Forest Dr Houston, TX, 77077",Fast Casual Restaurant,Teriyaki Madness Franchise,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Round Rock,,,737-212-8623,"2800 S. IH-35, Ste. 140 Round Rock, TX, 78681",Fast Casual Restaurant,Teriyaki Madness Franchise,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Pineview Plaza,,,435-216-7946,"2376 E Red Cliffs Drive, Ste 502 St. George, UT, 84790",Fast Casual Restaurant,Teriyaki Madness Franchise,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Red Rock Commons,,,(435) 673-4078,"15 South River Road Suite #320 St. George, UT, 84790",Fast Casual Restaurant,Teriyaki Madness Franchise,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Spanish Fork,,,(801) 504-6868,"788 N 800 E Spanish Fork, UT, 84660",Fast Casual Restaurant,Teriyaki Madness Franchise,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Landstown Center,,,757-689-6644,"1912 Landstown Centre Way Virginia Beach, VA, 23456",Fast Casual Restaurant,Teriyaki Madness Franchise,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Virginia,,,,"Virginia, USA",Fast Casual Restaurant,Teriyaki Madness Franchise,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Brookfield,,,262-505-5959,"920 S Moorland Rd. Suite 300 Brookfield, WI, 53005-6946",Fast Casual Restaurant,Teriyaki Madness Franchise,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Hales Corner,,,414-377-8050,"5730 S 108th Street Hales Corners, WI, 53130",Fast Casual Restaurant,Teriyaki Madness Franchise,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness DTLA,1120 W 6th St Unit #105 Los Angeles,,213-265-7290,"1120 W 6th St Unit #105 Los Angeles, CA",Fast Casual Restaurant,Teriyaki Madness Official,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Hoover,AL,,205-502-7924,"4741 Chace Circle STE 113 Hoover, AL, 35244",Fast Casual Restaurant,Teriyaki Madness Official,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Ocotillo,AZ,,480-584-5353,"4225 S Gilbert Rd Ste. #1 Chandler, AZ, 85249",Fast Casual Restaurant,Teriyaki Madness Official,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness San Tan Village,AZ,,480-306-7807,"3131 S Market Street #108 Gilbert, AZ, 85295",Fast Casual Restaurant,Teriyaki Madness Official,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Albuquerque,Albuquerque,,505-275-8272,"11032 Montgomery Blvd NE, Albuquerque, NM 87111, USA",Fast Casual Restaurant,Teriyaki Madness Official,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Atlanta,Atlanta,,4045499665,"1923 Howell Mill Rd NW, Atlanta, GA 30318, USA",Fast Casual Restaurant,Teriyaki Madness Official,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Avon,Avon,,,"186 W Main St, Avon, CT 06001, USA",Fast Casual Restaurant,Teriyaki Madness Official,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Bakersfield,Bakersfield,,,"Bakersfield, CA, USA",Fast Casual Restaurant,Teriyaki Madness Official,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Columbus,Bakersfield,,661-742-1650,"1525 Columbus St ste 100, Bakersfield, CA 93305, USA",Fast Casual Restaurant,Teriyaki Madness Official,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Barboursville,Barboursville,,3049486351,"6304 US-60, Barboursville, WV 25504, USA",Fast Casual Restaurant,Teriyaki Madness Official,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Baton Rouge,Baton Rouge,,(225) 408-6098,"6725 Siegen Ln, Baton Rouge, LA 70809, USA",Fast Casual Restaurant,Teriyaki Madness Official,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Billings,Billings,,(406) 409-3388,"1008 Shiloh Crossing Blvd, Billings, MT 59102, USA",Fast Casual Restaurant,Teriyaki Madness Official,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Mission Bay Plaza,Boca Raton,,(561) 409-2977,"0437 FL-7 B6, Boca Raton, FL",Fast Casual Restaurant,Teriyaki Madness Official,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Brentwood,Brentwood,,6156168623,"Brentwood, TN, USA",Fast Casual Restaurant,Teriyaki Madness Official,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Broomfield,Broomfield,,7205736921,"4700 W 121st Ave, Broomfield, CO 80020, USA",Fast Casual Restaurant,Teriyaki Madness Official,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Burlington,Burlington,,781-365-1687,"68 Burlington Mall Road, Burlington, MA 01803, USA",Fast Casual Restaurant,Teriyaki Madness Official,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Cape Girardeau,Cape Girardeau,,,"Cape Girardeau, MO, USA",Fast Casual Restaurant,Teriyaki Madness Official,FRANCHISE,HIGH
Teriyaki Madness - Chattanooga,Chattanooga,,,"Chattanooga, TN, USA",Restaurant,Teriyaki Madness Official,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness North Mayfair,Chicago,,,"4601 W Foster Ave, Chicago, IL 60630, USA",Fast Casual Restaurant,Teriyaki Madness Official,FRANCHISE,HIGH
Teriyaki Madness - Citrus Heights,Citrus Heights,,,,Fast Casual Restaurant,,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Citrus Heights,Citrus Heights,,,"Citrus Heights, CA, USA",Fast Casual Restaurant,Teriyaki Madness Official,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Clearwater,Clearwater,,727-408-5558,"23894 US highway 19 N., Suite 30, Clearwater, FL",Fast Casual Restaurant,Teriyaki Madness Official,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Feather Sound Place,Clearwater,,,"2657 Ulmerton Rd Clearwater, FL 33762",Fast Casual Restaurant,Teriyaki Madness Official,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Feather Sound Place,Clearwater,,,"2657 Ulmerton Rd Clearwater, FL 33762",Fast Casual Restaurant,Teriyaki Madness Franchise,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Colorado Springs,Colorado Springs,,719-900-5848,"7895 Silicon Hts Unit 150, Colorado Springs, CO 80922, USA",Fast Casual Restaurant,Teriyaki Madness Official,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Cypress,Cypress,,346-248-6015,"14119 Grant Rd, Cypress, TX 77429, USA",Fast Casual Restaurant,Teriyaki Madness Official,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Dallas,Dallas,,,"Dallas, TX, USA",Fast Casual Restaurant,Teriyaki Madness Official,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Dallas,Dallas,,,"Dallas, TX, USA",Fast Casual Restaurant,Teriyaki Madness Franchise,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Del Rio,Del Rio,,830-320-8078,"2409 Veterans Blvd suite 12, Del Rio, TX 78840, USA",Fast Casual Restaurant,Teriyaki Madness Official,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Del Rio,Del Rio,,830-320-8078,"2409 Veterans Blvd suite 12, Del Rio, TX 78840, USA",Fast Casual Restaurant,Teriyaki Madness Franchise,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Denver Tech Center,Denver,,720-519-0107,"8080 E Union Ave Suite 130, Denver, CO 80237​",Fast Casual Restaurant,Teriyaki Madness Official,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness El Dorado Hills,El Dorado Hills,,,"4060 Town Center Blvd, El Dorado Hills, CA 95762, USA",Fast Casual Restaurant,Teriyaki Madness Official,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Elizabeth,Elizabeth,,,"505 N Broad St, Elizabeth, NJ 07208, USA",Fast Casual Restaurant,Teriyaki Madness Official,FRANCHISE,HIGH
Teriyaki Madness - Elk Grove,Elk Grove,,,,Fast Casual Restaurant,,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Enfield,Enfield,,,"Enfield, CT 06082, USA",Fast Casual Restaurant,Teriyaki Madness Official,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Oviedo,FL,,407-542-5645,"441 E Mitchell Hammock Rd, Suite 1101 Oviedo, FL, 32765",Fast Casual Restaurant,Teriyaki Madness Official,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Fairfield Township,Fairfield Township,,,"Princeton Rd, Fairfield Township",Fast Casual Restaurant,Teriyaki Madness Official,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Fairmont,Fairmont,,(681) 404-5374,"Fairmont, WV 26554, USA",Fast Casual Restaurant,Teriyaki Madness Official,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Firestone,Firestone,,(720) 684-6484,"4275 City Centre Rd Unit 500, Firestone, CO 80504",Fast Casual Restaurant,Teriyaki Madness Official,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Flint,Flint,,(810) 339-6476,"3283 Miller Rd, Flint, MI 48503, USA",Fast Casual Restaurant,Teriyaki Madness Official,FRANCHISE,HIGH
Teriyaki Madness - Folsom,Folsom,,,,Fast Casual Restaurant,,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Fort Collins,Fort Collins,,(970) 631-8409,"1880 N College Ave ste 130, Fort Collins, CO 80524, USA",Fast Casual Restaurant,Teriyaki Madness Official,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Fort Dodge,Fort Dodge,,5152061179,"3rd Ave S, Fort Dodge, IA 50501, USA",Fast Casual Restaurant,Teriyaki Madness Official,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Franklin,Franklin,,,"2000 Mallory Ln suite 615, Franklin, TN 37067, USA",Fast Casual Restaurant,Teriyaki Madness Official,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Fresno,Fresno,,,"6587 N Riverside Dr, Fresno, CA 93722, USA",Fast Casual Restaurant,Teriyaki Madness Official,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Gonzales,Gonzales,,,"Gonzales, LA 70737, USA",Fast Casual Restaurant,Teriyaki Madness Official,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Greeley,Greeley,,9703014485,"111 Centerplace Dr Ste 104, Greeley, CO 80634",Fast Casual Restaurant,Teriyaki Madness Official,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Arapahoe Marketplace,Greenwood Village,,(303) 771-5280,"8547 E Arapahoe Rd Unit F, Greenwood Village, CO 80112",Fast Casual Restaurant,Teriyaki Madness Official,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Hampton,Hampton,,,"2033 Coliseum Dr, Hampton, VA 23666, USA",Fast Casual Restaurant,Teriyaki Madness Official,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Harrison,Harrison,,,"Harrison, NJ, USA",Fast Casual Restaurant,Teriyaki Madness Official,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness O‘ahu,Hawaii,,,"O‘ahu, Hawaii, USA",Fast Casual Restaurant,Teriyaki Madness Official,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness AM-PM Russell Road,Henderson,,702-202-2744,"5749 E Russell Rd, Henderson, NV 89011, USA",Fast Casual Restaurant,Teriyaki Madness Official,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Henderson,Henderson,,,"Henderson, NV, USA",Fast Casual Restaurant,Teriyaki Madness Official,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Horizon Ridge,Henderson,,(702) 473-9273,"Black Mountain Marketplace, 72 W Horizon Ridge Pkwy b 105, Henderson, NV 89012, USA",Fast Casual Restaurant,Teriyaki Madness Official,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Stephanie,Henderson,,702-228-8623,"43 S Stephanie St ste 160, Henderson, NV 89012, USA",Fast Casual Restaurant,Teriyaki Madness Official,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Wigwam,Henderson,,702-898-8623,"2548 Wigwam Pkwy #150, Henderson, NV 89074, USA",Fast Casual Restaurant,Teriyaki Madness Official,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Highlands Ranch,Highlands Ranch,,3039529391,"1525 Park Central Dr, Highlands Ranch, CO 80129, USA",Fast Casual Restaurant,Teriyaki Madness Official,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Holland,Holland,,(616) 796-8077,"3155 W Shr Dr ste 30, Holland, MI 49424, USA",Fast Casual Restaurant,Teriyaki Madness Official,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Honolulu,Honolulu,,,"1240 Ala Moana Blvd #200, Honolulu, HI 96814, USA",Fast Casual Restaurant,Teriyaki Madness Official,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Houston,Houston,,281-206-7951,"19227 Katy Fwy, Houston, TX 77094, USA",Fast Casual Restaurant,Teriyaki Madness Official,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Houston,Houston,,281-206-7951,"19227 Katy Fwy, Houston, TX 77094, USA",Fast Casual Restaurant,Teriyaki Madness Franchise,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Humble,Humble,,(281) 973-9884,"Farm to Market 1960 Rd E, Humble, TX, USA",Fast Casual Restaurant,Teriyaki Madness Official,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Humble,Humble,,(281) 973-9884,"Farm to Market 1960 Rd E, Humble, TX, USA",Fast Casual Restaurant,Teriyaki Madness Franchise,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Huntington Beach,Huntington Beach,,,"Huntington Beach, CA, USA",Fast Casual Restaurant,Teriyaki Madness Official,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Huntsville,Huntsville,,2562137966,"7216 Bailey Cove Rd SE, Huntsville, AL 35802",Fast Casual Restaurant,Teriyaki Madness Official,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Bettendorf,IA,,563-888-1187,"3721 State Street Bettendorf, IA, 52722",Fast Casual Restaurant,Teriyaki Madness Official,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Meridian,ID,,(208) 855-9026,"1653 W Island Green, Suite 301 Meridian, ID, 83646",Fast Casual Restaurant,Teriyaki Madness Official,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Gurnee,IL,,(224) 656-5282,"6409 Grand Ave Gurnee, IL, 60031",Fast Casual Restaurant,Teriyaki Madness Official,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Rolling Meadows,IL,,847-258-5761,"1319 West Golf Road Rolling Meadows, IL, 60008",Fast Casual Restaurant,Teriyaki Madness Official,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Johnstown,Johnstown,,970-663-9154,"4944 Thompson Pkwy., Johnstown, CO",Fast Casual Restaurant,Teriyaki Madness Official,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Overland Park,KS,,913-701-6983,"7074 W 105th St. Overland Park, KS, 66212",Fast Casual Restaurant,Teriyaki Madness Official,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Ft Knox,KY,,,"Ft Knox Military Base - Main Exchange 127 Gold Vault Rd Ft Knox, KY, 40121",Fast Casual Restaurant,Teriyaki Madness Official,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Kansas City,Kansas City,,,"Kansas City, MO, USA",Fast Casual Restaurant,Teriyaki Madness Official,FRANCHISE,HIGH
Teriyaki Madness - Teriyaki Madness Liberty,Kansas City,,8164766528,"10408 NE Cookingham Dr, Kansas City, MO 64157, USA",Fast Casual Restaurant,Teriyaki Madness Official,FRANCHISE,HIGH
