Business Name,City,County,State,Phone,Address,Type,Source
Package Store LLC,Berkeley,Alameda,CA,(510) 612-2634,,Restaurant,CA_SOS_Scraper_V3
Place Alameda Co,Berkeley,Alameda,CA,(510) 451-7414,,Restaurant,CA_SOS_Scraper_V3
Place Alameda Corp 11,Berkeley,Alameda,CA,(510) 859-7811,,Restaurant,CA_SOS_Scraper_V3
Pub Alameda,Berkeley,Alameda,CA,(925) 968-1180,,Restaurant,CA_SOS_Scraper_V3
Pub Berkeley Group,Berkeley,Alameda,CA,(510) 623-6256,,Restaurant,CA_SOS_Scraper_V3
Restaurant,Berkeley,Alameda,CA,(510) 770-9106,,Restaurant,CA_SOS_Scraper_V3
Restaurant Alameda Group,Berkeley,Alameda,CA,(925) 946-1887,,Restaurant,CA_SOS_Scraper_V3
Saloon Berkeley,Berkeley,Alameda,CA,(510) 686-4677,,Restaurant,CA_SOS_Scraper_V3
Saloon Berkeley Valley Inc,Berkeley,Alameda,CA,(925) 891-8181,,Restaurant,CA_SOS_Scraper_V3
Spirits Alameda,Berkeley,Alameda,CA,(510) 591-7749,,Restaurant,CA_SOS_Scraper_V3
Spirits Berkeley Heights Company,Berkeley,Alameda,CA,(925) 592-5318,,Restaurant,CA_SOS_Scraper_V3
Spot,Berkeley,Alameda,CA,(925) 402-1066,,Restaurant,CA_SOS_Scraper_V3
Steakhouse,Berkeley,Alameda,CA,(510) 848-4579,,Restaurant,CA_SOS_Scraper_V3
Steakhouse 16,Berkeley,Alameda,CA,(925) 989-5720,,Restaurant,CA_SOS_Scraper_V3
Steakhouse Berkeley,Berkeley,Alameda,CA,(510) 888-3712,,Restaurant,CA_SOS_Scraper_V3
Tap Room LLC,Berkeley,Alameda,CA,(510) 674-1793,,Restaurant,CA_SOS_Scraper_V3
Tavern,Berkeley,Alameda,CA,(925) 282-5500,,Restaurant,CA_SOS_Scraper_V3
Tavern LLC,Berkeley,Alameda,CA,(510) 522-7729,,Restaurant,CA_SOS_Scraper_V3
TheCorner 90,Berkeley,Alameda,CA,(510) 311-1243,,Restaurant,CA_SOS_Scraper_V3
TheKitchen 100,Berkeley,Alameda,CA,(510) 647-6769,,Restaurant,CA_SOS_Scraper_V3
TheKitchen 60,Berkeley,Alameda,CA,(925) 908-2796,,Restaurant,CA_SOS_Scraper_V3
ThePub Berkeley Heights 66,Berkeley,Alameda,CA,(510) 300-5043,,Restaurant,CA_SOS_Scraper_V3
TheRestaurant 100,Berkeley,Alameda,CA,(510) 817-1550,,Restaurant,CA_SOS_Scraper_V3
TheRestaurant 47,Berkeley,Alameda,CA,(925) 529-7888,,Restaurant,CA_SOS_Scraper_V3
Wine & Spirits Corp,Berkeley,Alameda,CA,(925) 452-8690,,Restaurant,CA_SOS_Scraper_V3
Mountain Mikes Pizza - Dublin,Dublin,Alameda,CA,,,Pizza Restaurant,Mountain Mikes Franchise
Bar,Fremont,Alameda,CA,(510) 896-5728,,Restaurant,CA_SOS_Scraper_V3
Bar & Grill LLC,Fremont,Alameda,CA,(510) 556-8385,,Restaurant,CA_SOS_Scraper_V3
Bar Alameda Group,Fremont,Alameda,CA,(925) 463-3516,,Restaurant,CA_SOS_Scraper_V3
Bar Fremont,Fremont,Alameda,CA,(510) 743-1511,,Restaurant,CA_SOS_Scraper_V3
Bar Fremont Hills Co,Fremont,Alameda,CA,(925) 943-2296,,Restaurant,CA_SOS_Scraper_V3
Bar Fremont Hills Inc,Fremont,Alameda,CA,(925) 458-2046,,Restaurant,CA_SOS_Scraper_V3
Bar LLC,Fremont,Alameda,CA,(925) 414-7500,,Restaurant,CA_SOS_Scraper_V3
Brasserie,Fremont,Alameda,CA,(510) 519-2282,,Restaurant,CA_SOS_Scraper_V3
Cafe,Fremont,Alameda,CA,(510) 627-5006,,Restaurant,CA_SOS_Scraper_V3
Cafe Fremont,Fremont,Alameda,CA,(510) 979-6668,,Restaurant,CA_SOS_Scraper_V3
Chophouse Alameda Co 96,Fremont,Alameda,CA,(510) 518-2337,,Restaurant,CA_SOS_Scraper_V3
Chophouse Corp,Fremont,Alameda,CA,(925) 891-6549,,Restaurant,CA_SOS_Scraper_V3
Chophouse Fremont Heights,Fremont,Alameda,CA,(925) 542-5419,,Restaurant,CA_SOS_Scraper_V3
Chophouse Fremont Hills,Fremont,Alameda,CA,(925) 645-9444,,Restaurant,CA_SOS_Scraper_V3
Club,Fremont,Alameda,CA,(925) 368-3768,,Restaurant,CA_SOS_Scraper_V3
Convenience Store Fremont Heights,Fremont,Alameda,CA,(925) 717-5056,,Restaurant,CA_SOS_Scraper_V3
Corner Co,Fremont,Alameda,CA,(510) 938-4657,,Restaurant,CA_SOS_Scraper_V3
Corner Fremont,Fremont,Alameda,CA,(510) 334-6830,,Restaurant,CA_SOS_Scraper_V3
Diner Company,Fremont,Alameda,CA,(510) 678-2467,,Restaurant,CA_SOS_Scraper_V3
Dive Bar 32,Fremont,Alameda,CA,(510) 230-7230,,Restaurant,CA_SOS_Scraper_V3
Fine Wines Company,Fremont,Alameda,CA,(925) 491-1273,,Restaurant,CA_SOS_Scraper_V3
Grill,Fremont,Alameda,CA,(925) 355-4339,,Restaurant,CA_SOS_Scraper_V3
Grill Company,Fremont,Alameda,CA,(925) 206-2330,,Restaurant,CA_SOS_Scraper_V3
Grill Fremont Co,Fremont,Alameda,CA,(925) 600-9205,,Restaurant,CA_SOS_Scraper_V3
Grill LLC,Fremont,Alameda,CA,(510) 368-8428,,Restaurant,CA_SOS_Scraper_V3
Grocery,Fremont,Alameda,CA,(510) 620-4423,,Restaurant,CA_SOS_Scraper_V3
House Fremont Group,Fremont,Alameda,CA,(510) 312-8240,,Restaurant,CA_SOS_Scraper_V3
House LLC 28,Fremont,Alameda,CA,(510) 501-5711,,Restaurant,CA_SOS_Scraper_V3
Kitchen Alameda Group,Fremont,Alameda,CA,(925) 740-7918,,Restaurant,CA_SOS_Scraper_V3
Kitchen Fremont Valley Inc 47,Fremont,Alameda,CA,(510) 565-8547,,Restaurant,CA_SOS_Scraper_V3
Market Alameda,Fremont,Alameda,CA,(510) 805-4443,,Restaurant,CA_SOS_Scraper_V3
Market Fremont,Fremont,Alameda,CA,(510) 490-5207,,Restaurant,CA_SOS_Scraper_V3
Mini Mart Alameda,Fremont,Alameda,CA,(510) 295-5611,,Restaurant,CA_SOS_Scraper_V3
Mini Mart Company,Fremont,Alameda,CA,(510) 746-7766,,Restaurant,CA_SOS_Scraper_V3
Mini Mart Group,Fremont,Alameda,CA,(925) 886-8369,,Restaurant,CA_SOS_Scraper_V3
Mountain Mikes Pizza - Fremont,Fremont,Alameda,CA,,,Pizza Restaurant,Mountain Mikes Franchise
NewBistro LLC 77,Fremont,Alameda,CA,(510) 597-5225,,Restaurant,CA_SOS_Scraper_V3
NewCafe Inc 49,Fremont,Alameda,CA,(510) 902-7491,,Restaurant,CA_SOS_Scraper_V3
NewEatery Corp 94,Fremont,Alameda,CA,(510) 438-5722,,Restaurant,CA_SOS_Scraper_V3
NewGrill 70,Fremont,Alameda,CA,(510) 671-1607,,Restaurant,CA_SOS_Scraper_V3
NewKitchen Fremont Hills Company 26,Fremont,Alameda,CA,(925) 565-9655,,Restaurant,CA_SOS_Scraper_V3
NewPackage Store Fremont 29,Fremont,Alameda,CA,(925) 418-1120,,Restaurant,CA_SOS_Scraper_V3
NewPlace Corp 17,Fremont,Alameda,CA,(925) 671-7924,,Restaurant,CA_SOS_Scraper_V3
NewSaloon Fremont Heights Company 64,Fremont,Alameda,CA,(925) 434-4919,,Restaurant,CA_SOS_Scraper_V3
Nightclub 39,Fremont,Alameda,CA,(925) 891-2569,,Restaurant,CA_SOS_Scraper_V3
Nightclub Alameda Co,Fremont,Alameda,CA,(510) 960-3829,,Restaurant,CA_SOS_Scraper_V3
OldBrasserie Group 85,Fremont,Alameda,CA,(510) 358-4533,,Restaurant,CA_SOS_Scraper_V3
OldCafe Co 4,Fremont,Alameda,CA,(510) 845-6880,,Restaurant,CA_SOS_Scraper_V3
OldGrill 64,Fremont,Alameda,CA,(925) 585-4657,,Restaurant,CA_SOS_Scraper_V3
OldSteakhouse 59,Fremont,Alameda,CA,(510) 243-9154,,Restaurant,CA_SOS_Scraper_V3
OldTavern Fremont LLC 33,Fremont,Alameda,CA,(925) 251-7103,,Restaurant,CA_SOS_Scraper_V3
Package Store Alameda LLC,Fremont,Alameda,CA,(925) 400-8508,,Restaurant,CA_SOS_Scraper_V3
Package Store Co 70,Fremont,Alameda,CA,(510) 515-3615,,Restaurant,CA_SOS_Scraper_V3
Place Alameda LLC,Fremont,Alameda,CA,(925) 233-7841,,Restaurant,CA_SOS_Scraper_V3
Place Inc,Fremont,Alameda,CA,(510) 648-1521,,Restaurant,CA_SOS_Scraper_V3
Pub,Fremont,Alameda,CA,(925) 235-8788,,Restaurant,CA_SOS_Scraper_V3
Pub Group,Fremont,Alameda,CA,(510) 729-1190,,Restaurant,CA_SOS_Scraper_V3
Restaurant,Fremont,Alameda,CA,(510) 707-9497,,Restaurant,CA_SOS_Scraper_V3
Restaurant Co 70,Fremont,Alameda,CA,(510) 562-5384,,Restaurant,CA_SOS_Scraper_V3
Restaurant Fremont Valley LLC,Fremont,Alameda,CA,(510) 618-9972,,Restaurant,CA_SOS_Scraper_V3
Sports Bar Corp 50,Fremont,Alameda,CA,(925) 202-9067,,Restaurant,CA_SOS_Scraper_V3
Sports Bar Fremont Company,Fremont,Alameda,CA,(925) 357-1709,,Restaurant,CA_SOS_Scraper_V3
Sports Bar Fremont Valley Company,Fremont,Alameda,CA,(925) 486-7471,,Restaurant,CA_SOS_Scraper_V3
Spot Fremont Hills Corp,Fremont,Alameda,CA,(925) 720-2704,,Restaurant,CA_SOS_Scraper_V3
Steakhouse,Fremont,Alameda,CA,(925) 749-6225,,Restaurant,CA_SOS_Scraper_V3
Steakhouse Alameda,Fremont,Alameda,CA,(510) 336-6229,,Restaurant,CA_SOS_Scraper_V3
Steakhouse Inc,Fremont,Alameda,CA,(925) 923-8661,,Restaurant,CA_SOS_Scraper_V3
Tap Room Fremont LLC,Fremont,Alameda,CA,(510) 901-1428,,Restaurant,CA_SOS_Scraper_V3
Tavern,Fremont,Alameda,CA,(925) 595-5682,,Restaurant,CA_SOS_Scraper_V3
Tavern Co 68,Fremont,Alameda,CA,(925) 849-7646,,Restaurant,CA_SOS_Scraper_V3
Tavern Fremont Company,Fremont,Alameda,CA,(925) 787-8416,,Restaurant,CA_SOS_Scraper_V3
Tavern Fremont Heights 52,Fremont,Alameda,CA,(510) 900-2072,,Restaurant,CA_SOS_Scraper_V3
Tavern Fremont Hills Group,Fremont,Alameda,CA,(510) 731-5519,,Restaurant,CA_SOS_Scraper_V3
Tavern Group,Fremont,Alameda,CA,(925) 595-1688,,Restaurant,CA_SOS_Scraper_V3
Tavern LLC,Fremont,Alameda,CA,(925) 499-8918,,Restaurant,CA_SOS_Scraper_V3
TheCafe Fremont Hills LLC 21,Fremont,Alameda,CA,(925) 885-3573,,Restaurant,CA_SOS_Scraper_V3
TheChophouse 91,Fremont,Alameda,CA,(925) 406-3120,,Restaurant,CA_SOS_Scraper_V3
TheDive Bar Alameda 41,Fremont,Alameda,CA,(510) 575-1234,,Restaurant,CA_SOS_Scraper_V3
TheFine Wines 72,Fremont,Alameda,CA,(925) 531-6465,,Restaurant,CA_SOS_Scraper_V3
TheKitchen 19,Fremont,Alameda,CA,(925) 254-2693,,Restaurant,CA_SOS_Scraper_V3
ThePub Fremont 39,Fremont,Alameda,CA,(510) 533-3530,,Restaurant,CA_SOS_Scraper_V3
TheTap Room Group 15,Fremont,Alameda,CA,(510) 487-5526,,Restaurant,CA_SOS_Scraper_V3
Wine & Spirits Fremont LLC,Fremont,Alameda,CA,(510) 655-7545,,Restaurant,CA_SOS_Scraper_V3
Wine Shop Fremont Co,Fremont,Alameda,CA,(925) 887-2615,,Restaurant,CA_SOS_Scraper_V3
Bar,Hayward,Alameda,CA,(510) 749-8467,,Restaurant,CA_ABC_Intelligence
Bar & Grill Company,Hayward,Alameda,CA,(510) 579-4690,,Restaurant,CA_SOS_Scraper_V3
Bar & Grill Hayward Heights LLC 5,Hayward,Alameda,CA,(925) 522-8177,,Restaurant,CA_SOS_Scraper_V3
Bar Co,Hayward,Alameda,CA,(510) 619-4464,,Restaurant,CA_SOS_Scraper_V3
Bar Hayward Corp 14,Hayward,Alameda,CA,(925) 485-6642,,Restaurant,CA_SOS_Scraper_V3
Bistro Company,Hayward,Alameda,CA,(510) 338-7055,,Restaurant,CA_SOS_Scraper_V3
Bottle Shop Hayward Corp,Hayward,Alameda,CA,(510) 480-9160,,Restaurant,CA_SOS_Scraper_V3
Brasserie Alameda Corp,Hayward,Alameda,CA,(925) 855-2487,,Restaurant,CA_SOS_Scraper_V3
Brasserie Alameda LLC,Hayward,Alameda,CA,(510) 338-4133,,Restaurant,CA_SOS_Scraper_V3
Brasserie Co,Hayward,Alameda,CA,(925) 805-2928,,Restaurant,CA_SOS_Scraper_V3
Brasserie Hayward,Hayward,Alameda,CA,(510) 889-2231,,Restaurant,CA_SOS_Scraper_V3
Cafe,Hayward,Alameda,CA,(510) 252-3994,,Restaurant,CA_SOS_Scraper_V3
Cafe Hayward Co,Hayward,Alameda,CA,(510) 620-8246,,Restaurant,CA_SOS_Scraper_V3
Chophouse Corp,Hayward,Alameda,CA,(510) 996-9411,,Restaurant,CA_SOS_Scraper_V3
Club Co,Hayward,Alameda,CA,(925) 562-3699,,Restaurant,CA_SOS_Scraper_V3
Club Corp,Hayward,Alameda,CA,(510) 949-5471,,Restaurant,CA_SOS_Scraper_V3
Club Hayward,Hayward,Alameda,CA,(925) 595-5375,,Restaurant,CA_SOS_Scraper_V3
Convenience Store,Hayward,Alameda,CA,(510) 584-6510,,Restaurant,CA_SOS_Scraper_V3
Corner Alameda,Hayward,Alameda,CA,(510) 888-9191,,Restaurant,CA_SOS_Scraper_V3
Corner Alameda LLC 5,Hayward,Alameda,CA,(925) 545-5587,,Restaurant,CA_SOS_Scraper_V3
Corner Hayward Hills,Hayward,Alameda,CA,(510) 444-5460,,Restaurant,CA_SOS_Scraper_V3
Corner Hayward Valley,Hayward,Alameda,CA,(925) 413-2486,,Restaurant,CA_SOS_Scraper_V3
Corner Inc 21,Hayward,Alameda,CA,(925) 652-4413,,Restaurant,CA_SOS_Scraper_V3
Corner Store,Hayward,Alameda,CA,(925) 598-8000,,Restaurant,CA_SOS_Scraper_V3
Corner Store Hayward Heights,Hayward,Alameda,CA,(925) 964-4420,,Restaurant,CA_SOS_Scraper_V3
Diner Alameda LLC,Hayward,Alameda,CA,(510) 451-1245,,Restaurant,CA_SOS_Scraper_V3
Diner Inc,Hayward,Alameda,CA,(925) 772-6990,,Restaurant,CA_SOS_Scraper_V3
Discount Liquor,Hayward,Alameda,CA,(510) 351-8287,,Restaurant,CA_SOS_Scraper_V3
Discount Liquor Hayward Company,Hayward,Alameda,CA,(925) 435-9954,,Restaurant,CA_SOS_Scraper_V3
Dive Bar Alameda Corp,Hayward,Alameda,CA,(510) 688-2860,,Restaurant,CA_SOS_Scraper_V3
Dive Bar Hayward,Hayward,Alameda,CA,(510) 665-6506,,Restaurant,CA_SOS_Scraper_V3
Dive Bar LLC,Hayward,Alameda,CA,(925) 919-8373,,Restaurant,CA_SOS_Scraper_V3
Eatery Inc,Hayward,Alameda,CA,(510) 515-5637,,Restaurant,CA_SOS_Scraper_V3
Event Catering Hayward Hills Co,Hayward,Alameda,CA,(510) 383-7884,,Restaurant,CA_SOS_Scraper_V3
Fine Wines Hayward Hills,Hayward,Alameda,CA,(925) 503-3554,,Restaurant,CA_SOS_Scraper_V3
Grill Co,Hayward,Alameda,CA,(925) 557-3620,,Restaurant,CA_SOS_Scraper_V3
Grill Hayward Valley Group,Hayward,Alameda,CA,(925) 721-2591,,Restaurant,CA_SOS_Scraper_V3
Grocery Hayward Hills,Hayward,Alameda,CA,(510) 352-9976,,Restaurant,CA_SOS_Scraper_V3
House Corp 27,Hayward,Alameda,CA,(925) 454-1421,,Restaurant,CA_SOS_Scraper_V3
House Hayward Valley Corp,Hayward,Alameda,CA,(510) 933-6238,,Restaurant,CA_SOS_Scraper_V3
Kitchen,Hayward,Alameda,CA,(925) 920-2031,,Restaurant,CA_SOS_Scraper_V3
Liquor Store,Hayward,Alameda,CA,(925) 601-7543,,Restaurant,CA_SOS_Scraper_V3
Lounge Alameda,Hayward,Alameda,CA,(925) 806-7486,,Restaurant,CA_SOS_Scraper_V3
Lounge Hayward Hills 98,Hayward,Alameda,CA,(925) 539-6857,,Restaurant,CA_SOS_Scraper_V3
Lounge Hayward Valley LLC 86,Hayward,Alameda,CA,(510) 799-9415,,Restaurant,CA_SOS_Scraper_V3
Market Hayward Group,Hayward,Alameda,CA,(925) 958-3783,,Restaurant,CA_SOS_Scraper_V3
Mini Mart,Hayward,Alameda,CA,(925) 590-6623,,Restaurant,CA_SOS_Scraper_V3
Mountain Mikes Pizza - Hayward,Hayward,Alameda,CA,,,Pizza Restaurant,Mountain Mikes Franchise
NewConvenience Store 54,Hayward,Alameda,CA,(510) 513-5392,,Restaurant,CA_SOS_Scraper_V3
NewLiquor Store Hayward 98,Hayward,Alameda,CA,(925) 250-7283,,Restaurant,CA_SOS_Scraper_V3
NewSpot Hayward 23,Hayward,Alameda,CA,(510) 351-8771,,Restaurant,CA_SOS_Scraper_V3
NewSteakhouse LLC 79,Hayward,Alameda,CA,(510) 391-1585,,Restaurant,CA_SOS_Scraper_V3
NewTavern Hayward Corp 46,Hayward,Alameda,CA,(510) 717-9635,,Restaurant,CA_SOS_Scraper_V3
OldCatering 49,Hayward,Alameda,CA,(925) 226-7884,,Restaurant,CA_SOS_Scraper_V3
OldChophouse 24,Hayward,Alameda,CA,(925) 278-8021,,Restaurant,CA_SOS_Scraper_V3
OldDiner 51,Hayward,Alameda,CA,(510) 425-7817,,Restaurant,CA_SOS_Scraper_V3
OldRestaurant Hayward 40,Hayward,Alameda,CA,(510) 219-5457,,Restaurant,CA_SOS_Scraper_V3
Party Services Hayward Valley Co,Hayward,Alameda,CA,(925) 601-5224,,Restaurant,CA_SOS_Scraper_V3
Place Hayward,Hayward,Alameda,CA,(925) 695-2906,,Restaurant,CA_SOS_Scraper_V3
Pub Alameda,Hayward,Alameda,CA,(925) 544-2257,,Restaurant,CA_SOS_Scraper_V3
Saloon LLC,Hayward,Alameda,CA,(510) 621-2356,,Restaurant,CA_SOS_Scraper_V3
Sports Bar Group 37,Hayward,Alameda,CA,(510) 549-5747,,Restaurant,CA_SOS_Scraper_V3
Sports Bar LLC,Hayward,Alameda,CA,(510) 680-2367,,Restaurant,CA_SOS_Scraper_V3
Spot,Hayward,Alameda,CA,(925) 951-2562,,Restaurant,CA_SOS_Scraper_V3
Tap Room Alameda Company,Hayward,Alameda,CA,(510) 581-7267,,Restaurant,CA_SOS_Scraper_V3
Tavern 47,Hayward,Alameda,CA,(925) 462-6546,,Restaurant,CA_SOS_Scraper_V3
Tavern Co,Hayward,Alameda,CA,(925) 902-1206,,Restaurant,CA_SOS_Scraper_V3
Tavern Corp,Hayward,Alameda,CA,(510) 501-5013,,Restaurant,CA_SOS_Scraper_V3
Tavern Hayward,Hayward,Alameda,CA,(510) 828-2647,,Restaurant,CA_SOS_Scraper_V3
TheBar Inc 21,Hayward,Alameda,CA,(510) 564-6567,,Restaurant,CA_SOS_Scraper_V3
TheBar LLC 21,Hayward,Alameda,CA,(510) 525-3690,,Restaurant,CA_SOS_Scraper_V3
TheCatering Corp 62,Hayward,Alameda,CA,(925) 989-2254,,Restaurant,CA_SOS_Scraper_V3
TheChophouse Alameda 93,Hayward,Alameda,CA,(510) 398-4189,,Restaurant,CA_SOS_Scraper_V3
TheKitchen Hayward Hills 45,Hayward,Alameda,CA,(925) 775-5450,,Restaurant,CA_SOS_Scraper_V3
TheKitchen Inc 89,Hayward,Alameda,CA,(510) 873-3727,,Restaurant,CA_SOS_Scraper_V3
TheTavern 99,Hayward,Alameda,CA,(925) 835-8075,,Restaurant,CA_SOS_Scraper_V3
TheTavern Hayward 15,Hayward,Alameda,CA,(510) 323-1522,,Restaurant,CA_SOS_Scraper_V3
Bar,Livermore,Alameda,CA,(925) 293-4578,,Restaurant,CA_ABC_Intelligence
Bar & Grill Alameda LLC,Livermore,Alameda,CA,(510) 504-5599,,Restaurant,CA_SOS_Scraper_V3
Bar & Grill Livermore Co,Livermore,Alameda,CA,(925) 418-2659,,Restaurant,CA_SOS_Scraper_V3
Bar Livermore,Livermore,Alameda,CA,(925) 624-4242,,Restaurant,CA_SOS_Scraper_V3
Bar Livermore Valley,Livermore,Alameda,CA,(925) 497-6941,,Restaurant,CA_SOS_Scraper_V3
Beverage Store Corp,Livermore,Alameda,CA,(925) 962-3844,,Restaurant,CA_SOS_Scraper_V3
Beverage Store Livermore Corp,Livermore,Alameda,CA,(510) 603-2487,,Restaurant,CA_SOS_Scraper_V3
Bistro,Livermore,Alameda,CA,(510) 943-7719,,Restaurant,CA_SOS_Scraper_V3
Bistro Alameda 70,Livermore,Alameda,CA,(925) 519-2325,,Restaurant,CA_SOS_Scraper_V3
Bistro Inc,Livermore,Alameda,CA,(925) 734-4977,,Restaurant,CA_SOS_Scraper_V3
Brewery Co,Livermore,Alameda,CA,(510) 720-9219,,Restaurant,CA_SOS_Scraper_V3
Cafe,Livermore,Alameda,CA,(510) 667-3621,,Restaurant,CA_SOS_Scraper_V3
Cafe Alameda Co,Livermore,Alameda,CA,(925) 788-7215,,Restaurant,CA_SOS_Scraper_V3
Cafe Alameda Company,Livermore,Alameda,CA,(510) 204-3110,,Restaurant,CA_SOS_Scraper_V3
Chophouse,Livermore,Alameda,CA,(510) 409-2606,,Restaurant,CA_SOS_Scraper_V3
Chophouse Group,Livermore,Alameda,CA,(925) 392-2097,,Restaurant,CA_SOS_Scraper_V3
Chophouse Livermore,Livermore,Alameda,CA,(925) 368-4849,,Restaurant,CA_SOS_Scraper_V3
