Business Name,City,County,Phone,Address,Source
Kitchen Sacramento,Roseville,Sacramento,(916) 976-2643,,CA_SOS_Scraper_V3
Chophouse Roseville Valley LLC,Roseville,Sacramento,(279) 379-8758,,CA_SOS_Scraper_V3
Chophouse Roseville Valley,Roseville,Sacramento,(279) 779-2147,,CA_SOS_Scraper_V3
Bottle Shop Sacramento Group,Roseville,Sacramento,(279) 564-6036,,CA_SOS_Scraper_V3
Nightclub Sacramento,Roseville,Sacramento,(279) 402-5955,,CA_SOS_Scraper_V3
Convenience Store Sacramento,Roseville,Sacramento,(279) 250-9192,,CA_SOS_Scraper_V3
Bar & Grill Sacramento Co,Roseville,Sacramento,(916) 761-3160,,CA_SOS_Scraper_V3
Chophouse Roseville Hills Corp,Roseville,Sacramento,(916) 963-6438,,CA_SOS_Scraper_V3
NewTavern Sacramento Company 63,Roseville,Sacramento,(916) 767-2305,,CA_SOS_Scraper_V3
Chophouse Roseville Corp,Roseville,Sacramento,(279) 960-4335,,CA_SOS_Scraper_V3
Chophouse Roseville,Roseville,Sacramento,(279) 478-8722,,CA_SOS_Scraper_V3
Pub Sacramento Co,Roseville,Sacramento,(279) 664-8881,,CA_SOS_Scraper_V3
Chophouse Roseville Valley Co,Roseville,Sacramento,(916) 430-8157,,CA_SOS_Scraper_V3
Chophouse Sacramento,Roseville,Sacramento,(279) 976-3296,,CA_SOS_Scraper_V3
Chophouse Corp,Roseville,Sacramento,(916) 448-5874,,CA_SOS_Scraper_V3
Wine & Spirits Sacramento LLC,Roseville,Sacramento,(279) 513-8994,,CA_SOS_Scraper_V3
OldWine & Spirits Sacramento LLC 95,Sacramento,Sacramento,(916) 461-4352,,CA_SOS_Scraper_V3
NewNightclub Sacramento 52,Sacramento,Sacramento,(279) 234-2214,,CA_SOS_Scraper_V3
Sports Bar Sacramento Hills,Sacramento,Sacramento,(916) 706-4368,,CA_SOS_Scraper_V3
Lounge Sacramento Heights,Sacramento,Sacramento,(916) 995-8280,,CA_SOS_Scraper_V3
Bar Sacramento Company,Sacramento,Sacramento,(279) 546-3405,,CA_SOS_Scraper_V3
NewRestaurant Sacramento Hills 64,Sacramento,Sacramento,(916) 712-9834,,CA_SOS_Scraper_V3
Wine Shop Sacramento LLC,Sacramento,Sacramento,(279) 542-2417,,CA_SOS_Scraper_V3
TheTavern Sacramento 36,Sacramento,Sacramento,(279) 263-7700,,CA_SOS_Scraper_V3
Bar & Grill Sacramento Hills,Sacramento,Sacramento,(279) 310-9053,,CA_SOS_Scraper_V3
Convenience Store Sacramento Corp 60,Sacramento,Sacramento,(916) 325-1622,,CA_SOS_Scraper_V3
OldDiner Sacramento Group 33,Sacramento,Sacramento,(916) 540-3872,,CA_SOS_Scraper_V3
Spot Sacramento LLC,Sacramento,Sacramento,(279) 288-5340,,CA_SOS_Scraper_V3
Brewery Sacramento LLC,Sacramento,Sacramento,(916) 538-7674,,CA_SOS_Scraper_V3
Club Sacramento Co,Sacramento,Sacramento,(916) 785-1175,,CA_SOS_Scraper_V3
Pub Sacramento LLC,Sacramento,Sacramento,(279) 350-7523,,CA_SOS_Scraper_V3
Lounge Sacramento,Sacramento,Sacramento,(916) 570-2941,,CA_SOS_Scraper_V3
Chophouse Group,Sacramento,Sacramento,(279) 413-5058,,CA_SOS_Scraper_V3
Lounge Sacramento Inc,Sacramento,Sacramento,(279) 439-4766,,CA_SOS_Scraper_V3
OldDive Bar Sacramento Heights Corp 40,Sacramento,Sacramento,(916) 955-8310,,CA_SOS_Scraper_V3
NewTavern Sacramento 45,Sacramento,Sacramento,(916) 891-7049,,CA_SOS_Scraper_V3
Bar & Grill Sacramento,Sacramento,Sacramento,(279) 566-9359,,CA_SOS_Scraper_V3
Spot Sacramento Group,Sacramento,Sacramento,(279) 470-5982,,CA_SOS_Scraper_V3
TheGrill Sacramento Co 99,Sacramento,Sacramento,(279) 441-5746,,CA_SOS_Scraper_V3
Brasserie Sacramento Group,Sacramento,Sacramento,(916) 918-4511,,CA_SOS_Scraper_V3
TheBistro Sacramento Inc 85,Sacramento,Sacramento,(916) 396-6021,,CA_SOS_Scraper_V3
Tavern Sacramento Heights,Sacramento,Sacramento,(279) 257-9351,,CA_SOS_Scraper_V3
Eatery Sacramento Hills,Sacramento,Sacramento,(916) 787-2065,,CA_SOS_Scraper_V3
Bar Sacramento Inc 15,Sacramento,Sacramento,(279) 939-2293,,CA_SOS_Scraper_V3
Dive Bar Sacramento,Sacramento,Sacramento,(916) 231-9637,,CA_SOS_Scraper_V3
Chophouse,Sacramento,Sacramento,(279) 827-8057,,CA_SOS_Scraper_V3
Brasserie Sacramento Corp,Sacramento,Sacramento,(916) 958-1692,,CA_SOS_Scraper_V3
Saloon Sacramento,Sacramento,Sacramento,(916) 263-5705,,CA_SOS_Scraper_V3
Tavern Sacramento,Sacramento,Sacramento,(279) 584-2099,,CA_SOS_Scraper_V3
Bistro Sacramento,Sacramento,Sacramento,(916) 638-8429,,CA_SOS_Scraper_V3
NewLiquor Store Sacramento Company 34,Sacramento,Sacramento,(916) 286-3636,,CA_SOS_Scraper_V3
Tavern Sacramento Corp,Sacramento,Sacramento,(916) 216-4450,,CA_SOS_Scraper_V3
TheChophouse 33,Sacramento,Sacramento,(279) 499-7317,,CA_SOS_Scraper_V3
Steakhouse Sacramento Hills,Sacramento,Sacramento,(279) 987-5496,,CA_SOS_Scraper_V3
Diner Sacramento Company,Sacramento,Sacramento,(916) 592-6840,,CA_SOS_Scraper_V3
Restaurant Sacramento Group,Sacramento,Sacramento,(279) 485-7207,,CA_SOS_Scraper_V3
Convenience Store Sacramento,Sacramento,Sacramento,(279) 612-8087,,CA_SOS_Scraper_V3
OldClub Sacramento Company 67,Sacramento,Sacramento,(279) 468-2249,,CA_SOS_Scraper_V3
OldLounge Sacramento 86,Sacramento,Sacramento,(279) 652-1317,,CA_SOS_Scraper_V3
Wine & Spirits Sacramento,Sacramento,Sacramento,(916) 897-2211,,CA_SOS_Scraper_V3
Wine & Spirits Sacramento Valley,Sacramento,Sacramento,(279) 616-5649,,CA_SOS_Scraper_V3
Bar Sacramento Hills,Sacramento,Sacramento,(279) 411-5923,,CA_SOS_Scraper_V3
Cafe Sacramento Corp,Sacramento,Sacramento,(916) 573-8870,,CA_SOS_Scraper_V3
Lounge Sacramento LLC,Sacramento,Sacramento,(916) 789-9376,,CA_SOS_Scraper_V3
Sports Bar Sacramento,Sacramento,Sacramento,(916) 969-2543,,CA_SOS_Scraper_V3
Eatery Sacramento Co,Sacramento,Sacramento,(279) 631-3044,,CA_SOS_Scraper_V3
Chophouse Sacramento,Sacramento,Sacramento,(916) 218-9226,,CA_SOS_Scraper_V3
Market Sacramento Corp,Sacramento,Sacramento,(279) 877-6253,,CA_SOS_Scraper_V3
House Sacramento,Sacramento,Sacramento,(279) 518-9481,,CA_SOS_Scraper_V3
OldChophouse Sacramento 1,Sacramento,Sacramento,(279) 207-5882,,CA_SOS_Scraper_V3
Mountain Mikes Pizza - Sacramento,Sacramento,Sacramento,,,Mountain Mikes Franchise
Chophouse Fairfield LLC,Fairfield,Solano,(707) 942-5257,,CA_SOS_Scraper_V3
Chophouse Solano Co,Fairfield,Solano,(707) 390-7968,,CA_SOS_Scraper_V3
Chophouse Co 33,Fairfield,Solano,(707) 315-1258,,CA_SOS_Scraper_V3
Chophouse Fairfield,Fairfield,Solano,(707) 770-5472,,CA_SOS_Scraper_V3
NewChophouse LLC 44,Fairfield,Solano,(707) 984-3622,,CA_SOS_Scraper_V3
Chophouse Vacaville,Vacaville,Solano,(707) 783-8093,,CA_SOS_Scraper_V3
Chophouse Solano LLC,Vacaville,Solano,(707) 205-5584,,CA_SOS_Scraper_V3
NewChophouse 92,Vacaville,Solano,(707) 779-9471,,CA_SOS_Scraper_V3
Chophouse Vacaville Group,Vacaville,Solano,(707) 604-6309,,CA_SOS_Scraper_V3
Chophouse Vacaville Company,Vacaville,Solano,(707) 810-8029,,CA_SOS_Scraper_V3
Chophouse,Vacaville,Solano,(707) 901-2982,,CA_SOS_Scraper_V3
Chophouse Inc,Vallejo,Solano,(707) 447-6855,,CA_SOS_Scraper_V3
OldChophouse Vallejo Hills 71,Vallejo,Solano,(707) 664-2675,,CA_SOS_Scraper_V3
Chophouse Petaluma,Petaluma,Sonoma,(707) 243-2164,,CA_SOS_Scraper_V3
Chophouse Sonoma 6,Petaluma,Sonoma,(707) 982-2871,,CA_SOS_Scraper_V3
NewChophouse Company 7,Santa Rosa,Sonoma,(707) 391-3812,,CA_SOS_Scraper_V3
NewChophouse 44,Santa Rosa,Sonoma,(707) 885-9092,,CA_SOS_Scraper_V3
Chophouse Company,Santa Rosa,Sonoma,(707) 831-5545,,CA_SOS_Scraper_V3
TheChophouse Sonoma Valley Inc 15,Sonoma,Sonoma,(707) 855-3597,,CA_SOS_Scraper_V3
Chophouse Sonoma Valley,Sonoma,Sonoma,(707) 286-7496,,CA_SOS_Scraper_V3
Chophouse Co,Sonoma,Sonoma,(707) 479-2982,,CA_SOS_Scraper_V3
Chophouse Sonoma Valley Company,Sonoma,Sonoma,(707) 628-6000,,CA_SOS_Scraper_V3
TheChophouse Sonoma 99,Sonoma,Sonoma,(707) 518-6120,,CA_SOS_Scraper_V3
Mountain Mikes Pizza - West Sacramento,West Sacramento,Yolo,,,Mountain Mikes Franchise
