Business Name,City,County,Phone,Address,Source
Tavern Solano Group,Vacaville,Solano,(707) 331-7401,,CA_SOS_Scraper_V3
Tavern Solano Corp,Vacaville,Solano,(707) 257-1018,,CA_SOS_Scraper_V3
Sports Bar Solano 19,Vacaville,Solano,(707) 363-7677,,CA_SOS_Scraper_V3
Sports Bar Vacaville,Vacaville,Solano,(707) 493-8974,,CA_SOS_Scraper_V3
Pub LLC,Vacaville,Solano,(707) 321-9997,,CA_SOS_Scraper_V3
NewLounge Group 15,Vacaville,Solano,(707) 780-4550,,CA_SOS_Scraper_V3
NewBrewery Vacaville Group 2,Vacaville,Solano,(707) 552-9058,,CA_SOS_Scraper_V3
Pub 19,Vacaville,Solano,(707) 229-5469,,CA_SOS_Scraper_V3
OldTavern Vacaville 13,Vacaville,Solano,(707) 967-9299,,CA_SOS_Scraper_V3
Tavern,Vallejo,Solano,(707) 969-4446,,CA_SOS_Scraper_V3
Pub,Vallejo,Solano,(707) 566-4208,,CA_SOS_Scraper_V3
Tavern Group,Vallejo,Solano,(707) 834-9813,,CA_SOS_Scraper_V3
NewBrewery Vallejo LLC 38,Vallejo,Solano,(707) 420-1426,,CA_SOS_Scraper_V3
Dive Bar,Vallejo,Solano,(707) 768-5306,,CA_SOS_Scraper_V3
Pub Vallejo Inc 12,Vallejo,Solano,(707) 229-7008,,CA_SOS_Scraper_V3
Pub Vallejo,Vallejo,Solano,(707) 939-7803,,CA_SOS_Scraper_V3
NewBrewery Solano Group 91,Vallejo,Solano,(707) 709-7714,,CA_SOS_Scraper_V3
Bar Vallejo Valley Inc,Vallejo,Solano,(707) 858-2172,,CA_SOS_Scraper_V3
Tavern Inc,Vallejo,Solano,(707) 499-9572,,CA_SOS_Scraper_V3
Brewery Vallejo Hills Inc,Vallejo,Solano,(707) 686-4151,,CA_SOS_Scraper_V3
Lounge Solano Inc,Vallejo,Solano,(707) 506-3115,,CA_SOS_Scraper_V3
Lounge Vallejo Hills Co 37,Vallejo,Solano,(707) 744-9047,,CA_SOS_Scraper_V3
NewLounge Solano LLC 97,Vallejo,Solano,(707) 559-8727,,CA_SOS_Scraper_V3
NewBar Vallejo Valley 5,Vallejo,Solano,(707) 687-6686,,CA_SOS_Scraper_V3
Sports Bar Group,Vallejo,Solano,(707) 760-2762,,CA_SOS_Scraper_V3
NewSports Bar Petaluma Hills 82,Petaluma,Sonoma,(707) 458-2780,,CA_SOS_Scraper_V3
Tavern Group,Petaluma,Sonoma,(707) 514-9240,,CA_SOS_Scraper_V3
Tavern LLC,Petaluma,Sonoma,(707) 376-6912,,CA_SOS_Scraper_V3
Lounge Sonoma Group,Petaluma,Sonoma,(707) 215-4276,,CA_SOS_Scraper_V3
Pub Petaluma Hills,Petaluma,Sonoma,(707) 704-1784,,CA_SOS_Scraper_V3
ThePub Sonoma 61,Petaluma,Sonoma,(707) 594-6270,,CA_SOS_Scraper_V3
Bar Petaluma,Petaluma,Sonoma,(707) 985-3566,,CA_SOS_Scraper_V3
Dive Bar Corp,Petaluma,Sonoma,(707) 223-8759,,CA_SOS_Scraper_V3
Brewery Petaluma Company,Petaluma,Sonoma,(707) 814-8701,,CA_SOS_Scraper_V3
Tavern,Petaluma,Sonoma,(707) 846-1266,,CA_SOS_Scraper_V3
Bar,Petaluma,Sonoma,(707) 681-1255,,CA_SOS_Scraper_V3
Dive Bar Petaluma Hills 41,Petaluma,Sonoma,(707) 499-2210,,CA_SOS_Scraper_V3
ThePub Petaluma Inc 50,Petaluma,Sonoma,(707) 291-9726,,CA_SOS_Scraper_V3
TheBar 3,Petaluma,Sonoma,(707) 726-8442,,CA_SOS_Scraper_V3
OldBar Company 89,Petaluma,Sonoma,(707) 817-8604,,CA_SOS_Scraper_V3
Lounge,Petaluma,Sonoma,(707) 488-1351,,CA_SOS_Scraper_V3
Bar Inc,Santa Rosa,Sonoma,(707) 453-2368,,CA_SOS_Scraper_V3
Brewery Group,Santa Rosa,Sonoma,(707) 398-9955,,CA_SOS_Scraper_V3
Dive Bar Co,Santa Rosa,Sonoma,(707) 810-4320,,CA_SOS_Scraper_V3
Tavern Company,Santa Rosa,Sonoma,(707) 695-7608,,CA_SOS_Scraper_V3
Tavern Sonoma,Santa Rosa,Sonoma,(707) 515-4115,,CA_SOS_Scraper_V3
Pub Santa Rosa,Santa Rosa,Sonoma,(707) 462-8283,,CA_SOS_Scraper_V3
Lounge Santa Rosa Group,Santa Rosa,Sonoma,(707) 302-1772,,CA_SOS_Scraper_V3
Lounge Sonoma,Santa Rosa,Sonoma,(707) 646-7841,,CA_SOS_Scraper_V3
Tavern,Santa Rosa,Sonoma,(707) 272-2874,,CA_SOS_Scraper_V3
NewPub Co 59,Santa Rosa,Sonoma,(707) 309-5216,,CA_SOS_Scraper_V3
Pub Sonoma,Santa Rosa,Sonoma,(707) 849-9274,,CA_SOS_Scraper_V3
Bar,Santa Rosa,Sonoma,(707) 950-8530,,CA_SOS_Scraper_V3
Brewery Santa Rosa Valley,Santa Rosa,Sonoma,(707) 204-2153,,CA_SOS_Scraper_V3
TheLounge Group 39,Santa Rosa,Sonoma,(707) 796-1860,,CA_SOS_Scraper_V3
Bar Company,Santa Rosa,Sonoma,(707) 718-1095,,CA_SOS_Scraper_V3
Tavern Santa Rosa Group,Santa Rosa,Sonoma,(707) 384-6394,,CA_SOS_Scraper_V3
Lounge Sonoma Co,Santa Rosa,Sonoma,(707) 412-7863,,CA_SOS_Scraper_V3
NewBar Corp 34,Santa Rosa,Sonoma,(707) 403-2498,,CA_SOS_Scraper_V3
Sports Bar Group,Santa Rosa,Sonoma,(707) 270-9089,,CA_SOS_Scraper_V3
NewPub Group 76,Sonoma,Sonoma,(707) 460-1827,,CA_SOS_Scraper_V3
Bar Company,Sonoma,Sonoma,(707) 978-9657,,CA_SOS_Scraper_V3
Sports Bar Sonoma 67,Sonoma,Sonoma,(707) 467-3807,,CA_SOS_Scraper_V3
Pub,Sonoma,Sonoma,(707) 508-3317,,CA_SOS_Scraper_V3
Tavern Sonoma,Sonoma,Sonoma,(707) 692-5134,,CA_SOS_Scraper_V3
Lounge LLC,Sonoma,Sonoma,(707) 343-2416,,CA_SOS_Scraper_V3
Bar Sonoma Hills LLC,Sonoma,Sonoma,(707) 874-7456,,CA_SOS_Scraper_V3
ThePub Sonoma 6,Sonoma,Sonoma,(707) 534-2179,,CA_SOS_Scraper_V3
Tavern Sonoma Heights,Sonoma,Sonoma,(707) 680-6980,,CA_SOS_Scraper_V3
Tavern Company,Sonoma,Sonoma,(707) 939-4157,,CA_SOS_Scraper_V3
Tavern Sonoma Hills LLC,Sonoma,Sonoma,(707) 760-7385,,CA_SOS_Scraper_V3
OldTavern 43,Sonoma,Sonoma,(707) 703-6727,,CA_SOS_Scraper_V3
Pub Sonoma,Sonoma,Sonoma,(707) 560-1757,,CA_SOS_Scraper_V3
Tavern LLC,Sonoma,Sonoma,(707) 800-5416,,CA_SOS_Scraper_V3
Brewery Sonoma Company,Sonoma,Sonoma,(707) 404-8899,,CA_SOS_Scraper_V3
Lounge Group,Sonoma,Sonoma,(707) 280-2003,,CA_SOS_Scraper_V3
Lounge,Sonoma,Sonoma,(707) 987-6721,,CA_SOS_Scraper_V3
Tavern Sonoma Co,Sonoma,Sonoma,(707) 559-8922,,CA_SOS_Scraper_V3
Sports Bar Sonoma,Sonoma,Sonoma,(707) 362-6158,,CA_SOS_Scraper_V3
Tavern Sonoma LLC,Sonoma,Sonoma,(707) 360-8200,,CA_SOS_Scraper_V3
