Business Name,City,County,State,Phone,Address,Business Type,Source,Chain Status
HUB & SPOKE WINE CO,AMERICAN CANYON,Napa,CA,,175 TOWER RD,Food Service,ABC License Data,INDEPENDENT
INDIGO WINE GROUP,AMERICAN CANYON,Napa,CA,,875 HANNA DR,Food Service,ABC License Data,INDEPENDENT
ISRAELI WINE DIRECT,AMERICAN CANYON,Napa,CA,,5555 BROADWAY,Food Service,ABC License Data,INDEPENDENT
JCOMMERCE WINE,AMERICAN CANYON,Napa,CA,,255 LOMBARD RD.  STE K,Food Service,ABC License Data,INDEPENDENT
JUNCTION BREWERY & GRILL,AMERICAN CANYON,Napa,CA,,110 W AMERICAN CANYON RD,Food Service,ABC License Data,INDEPENDENT
KING ESTATE WINERY,AMERICAN CANYON,Napa,CA,,760-820 HANNA DR,Food Service,ABC License Data,INDEPENDENT
LARUE WINES,AMERICAN CANYON,Napa,CA,,175 TOWER RD,Food Service,ABC License Data,INDEPENDENT
MASCOT WINE,AMERICAN CANYON,Napa,CA,,265 LOMBARD RD,Food Service,ABC License Data,INDEPENDENT
MOUNTAIN MIKES PIZZA,AMERICAN CANYON,Napa,CA,,410 NAPA JUNCTION RD,Food Service,ABC License Data,INDEPENDENT
NAKEDWINES.COM,AMERICAN CANYON,Napa,CA,,677 HANNA DR,Food Service,ABC License Data,INDEPENDENT
NAPA VALLEJO FLEA MARKET,AMERICAN CANYON,Napa,CA,,303 S KELLY RD,Food Service,ABC License Data,INDEPENDENT
NORTHWEST WINES LTD,AMERICAN CANYON,Napa,CA,,1200 GREEN ISLAND RD,Food Service,ABC License Data,INDEPENDENT
ONE-TEN RESTAURANT AND BAR LLC,AMERICAN CANYON,Napa,CA,,110 W AMERICAN CANYON RD,Bar,ABC License Data,INDEPENDENT
PARRY MARKET,AMERICAN CANYON,Napa,CA,,234 AMERICAN CANYON RD,Food Service,ABC License Data,INDEPENDENT
PARRYS PIZZERIA RESTAURANT,AMERICAN CANYON,Napa,CA,,234 AMERICAN CANYON RD,Restaurant,ABC License Data,INDEPENDENT
PLATA WINE PARTNERS,AMERICAN CANYON,Napa,CA,,205 JIM OSWALT WAY,Food Service,ABC License Data,INDEPENDENT
PRECEPT WINE,AMERICAN CANYON,Napa,CA,,700 HANNA DRIVE,Food Service,ABC License Data,INDEPENDENT
PRESTIGE WINE CO,AMERICAN CANYON,Napa,CA,,677 HANNA DR,Food Service,ABC License Data,INDEPENDENT
PURPLE WINE AND SPIRITS,AMERICAN CANYON,Napa,CA,,205 JIM OSWALT WY,Food Service,ABC License Data,INDEPENDENT
PURPLE WINES,AMERICAN CANYON,Napa,CA,,1166 COMMERCE BLVD,Food Service,ABC License Data,INDEPENDENT
RANCHO UVA BLANKA FAMILY WINES,AMERICAN CANYON,Napa,CA,,111 HOLCOMB LN,Food Service,ABC License Data,INDEPENDENT
SAN FRANCISCO WINE EXCHANGE,AMERICAN CANYON,Napa,CA,,644 HANNA DR,Food Service,ABC License Data,INDEPENDENT
SERENDIPITY WINES WC  LLC,AMERICAN CANYON,Napa,CA,,1200 GREEN ISLAND RD,Food Service,ABC License Data,INDEPENDENT
SOKOL BLOSSER WINERY,AMERICAN CANYON,Napa,CA,,760-820 HANNA DR,Food Service,ABC License Data,INDEPENDENT
SONOMA WINE COMPANY,AMERICAN CANYON,Napa,CA,,205 JIM OSWALT WAY,Food Service,ABC License Data,INDEPENDENT
SOUTH KELLY GRILL,AMERICAN CANYON,Napa,CA,,101 CAFE CT,Food Service,ABC License Data,INDEPENDENT
SOUTHERN WINE GROUP  LLC,AMERICAN CANYON,Napa,CA,,1275 COMMERCE BLVD,Food Service,ABC License Data,INDEPENDENT
SPRINGBOARD WINE COMPANY,AMERICAN CANYON,Napa,CA,,1200 GREEN ISLAND RD,Food Service,ABC License Data,INDEPENDENT
STOVER OAKS VINEYARD & WINERY,AMERICAN CANYON,Napa,CA,,102 GOLD VALLEY CT,Food Service,ABC License Data,INDEPENDENT
SUNRISE RANCH WINERY,AMERICAN CANYON,Napa,CA,,1 KIRKLAND RANCH RD,Food Service,ABC License Data,INDEPENDENT
SUTTER HOME WINERY,AMERICAN CANYON,Napa,CA,,303 GREEN ISLAND RD,Food Service,ABC License Data,INDEPENDENT
SWIRL WINE BROKERS INC,AMERICAN CANYON,Napa,CA,,644 HANNA DR.,Food Service,ABC License Data,INDEPENDENT
TACOS MICHOACHAN 2,AMERICAN CANYON,Napa,CA,,3945 BROADWAY ST,Mexican Restaurant,ABC License Data,INDEPENDENT
THAI KITCHEN RESTAURANT,AMERICAN CANYON,Napa,CA,,3425 BROADWAY ST,Asian Restaurant,ABC License Data,INDEPENDENT
TRI-VIN WINES AND SPIRITS,AMERICAN CANYON,Napa,CA,,1155 COMMERCE BLVD,Food Service,ABC License Data,INDEPENDENT
USA WINE WEST,AMERICAN CANYON,Napa,CA,,1200 GREEN ISLAND RD,Food Service,ABC License Data,INDEPENDENT
VALENTINA'S KITCHEN,AMERICAN CANYON,Napa,CA,,100 W AMERICAN CANYON RD,Food Service,ABC License Data,INDEPENDENT
VALLEY WINE WAREHOUSE,AMERICAN CANYON,Napa,CA,,175 TOWER RD,Food Service,ABC License Data,INDEPENDENT
VINITY WINE COMPANY,AMERICAN CANYON,Napa,CA,,1200 GREEN ISLAND RD,Food Service,ABC License Data,INDEPENDENT
WAUGH FAMILY WINES,AMERICAN CANYON,Napa,CA,,100 NAPA JUNCTION RD,Food Service,ABC License Data,INDEPENDENT
WESTERN WINE SERVICES INC,AMERICAN CANYON,Napa,CA,,1275 COMMERCE BLVD,Food Service,ABC License Data,INDEPENDENT
WILLIAM & MARY WINE COMPANY,AMERICAN CANYON,Napa,CA,,644 HANNA DR,Food Service,ABC License Data,INDEPENDENT
WINE SOURCE GROUP LLC,AMERICAN CANYON,Napa,CA,,875 HANNA DR,Food Service,ABC License Data,INDEPENDENT
WINE SPOTS CELLARS,AMERICAN CANYON,Napa,CA,,801 HANNA DR,Food Service,ABC License Data,INDEPENDENT
WINEDIRECT,AMERICAN CANYON,Napa,CA,,450 GREEN ISLAND RD,Food Service,ABC License Data,INDEPENDENT
WINESOURCE INTERNATIONAL,AMERICAN CANYON,Napa,CA,,1275 COMMERCE BLVD,Food Service,ABC License Data,INDEPENDENT
WINESU,AMERICAN CANYON,Napa,CA,,1275 COMMERCE BLVD,Food Service,ABC License Data,INDEPENDENT
WINGSTOP 418,AMERICAN CANYON,Napa,CA,,5075 MAIN ST,Food Service,ABC License Data,INDEPENDENT
ADAMVS WINERY,ANGWIN,Napa,CA,,501 WHITE COTTAGE RD N,Food Service,ABC License Data,INDEPENDENT
ALOFT WINES & DARK MATTER WINES,ANGWIN,Napa,CA,,383 LAS POSADAS,Food Service,ABC License Data,INDEPENDENT
BARTLETT FAMILY VINEYARDS,ANGWIN,Napa,CA,,555 WHITE COTTAGE RD S,Bar,ABC License Data,INDEPENDENT
BLACK SEARS ESTATE WINES  LLC,ANGWIN,Napa,CA,,2610 SUMMIT LAKE DRIVE,Food Service,ABC License Data,INDEPENDENT
CADE WINERY,ANGWIN,Napa,CA,,360 HOWELL MOUNTAIN RD,Food Service,ABC License Data,INDEPENDENT
FLATLEY WINES,ANGWIN,Napa,CA,,335 WEST LN,Food Service,ABC License Data,INDEPENDENT
HAYFORK WINE COMPANY,ANGWIN,Napa,CA,,2255 SUMMIT LAKE DR,Food Service,ABC License Data,INDEPENDENT
HOSSFELD VINEYARDS WINE CO.,ANGWIN,Napa,CA,,335 WEST LN,Food Service,ABC License Data,INDEPENDENT
JACKSON FAMILY WINES INC,ANGWIN,Napa,CA,,1102 LAS POSADAS RD,Food Service,ABC License Data,INDEPENDENT
JENNAMARISE WINES,ANGWIN,Napa,CA,,1300 SUMMIT LAKE DR,Food Service,ABC License Data,INDEPENDENT
MAXEM WINES,ANGWIN,Napa,CA,,335 WEST LN,Food Service,ABC License Data,INDEPENDENT
MONTESQUIEU WINERY,ANGWIN,Napa,CA,,335 WEST LN,Food Service,ABC License Data,INDEPENDENT
MOONE TSAI WINES,ANGWIN,Napa,CA,,1425 LAS POSADAS RD,Food Service,ABC License Data,INDEPENDENT
OSHAUGHNESSY ESTATE WINERY,ANGWIN,Napa,CA,,1150 FRIESEN DR,Food Service,ABC License Data,INDEPENDENT
OUTPOST WINES,ANGWIN,Napa,CA,,2075 SUMMIT LAKE DR,Food Service,ABC License Data,INDEPENDENT
PARAVEL WINES,ANGWIN,Napa,CA,,994 WHITE COTTAGE RD N,Food Service,ABC License Data,INDEPENDENT
PEACE WATER WINERY,ANGWIN,Napa,CA,,2000 SUMMIT LAKE DR,Food Service,ABC License Data,INDEPENDENT
RED THREAD WINE COMAPANY,ANGWIN,Napa,CA,,2000 SUMMIT LAKE DR,Food Service,ABC License Data,INDEPENDENT
ROBERT CRAIG WINERY,ANGWIN,Napa,CA,,2475 SUMMIT LAKE DR,Food Service,ABC License Data,INDEPENDENT
SELAH WINES,ANGWIN,Napa,CA,,2075 SUMMIT LAKE DR,Food Service,ABC License Data,INDEPENDENT
SOUNDS  SOUNDS WINE,ANGWIN,Napa,CA,,1181 LAS POSADAS RD,Food Service,ABC License Data,INDEPENDENT
STELLAREESE WINES,ANGWIN,Napa,CA,,480 BAY ST,Food Service,ABC License Data,INDEPENDENT
SUMMIT LAKE VINEYARDS & WINERY,ANGWIN,Napa,CA,,2000 SUMMIT LAKE DR,Food Service,ABC License Data,INDEPENDENT
THREE FURIES WINES,ANGWIN,Napa,CA,,716 LIPARITA AVE,Food Service,ABC License Data,INDEPENDENT
TRUJILLO WINES,ANGWIN,Napa,CA,,1250 LAS POSADOS RD,Food Service,ABC License Data,INDEPENDENT
VIDA VALIENTE WINERY,ANGWIN,Napa,CA,,335 WEST LN,Food Service,ABC License Data,INDEPENDENT
Mountain Mikes Pizza - American Canyon,American Canyon,Napa,CA,,,Pizza Restaurant,Mountain Mikes Franchise,INDEPENDENT
1510 LIQUOR LLC,CALISTOGA,Napa,CA,,1510 DIAMOND MOUNTAIN RD,Food Service,ABC License Data,INDEPENDENT
1520 LIQUOR LLC,CALISTOGA,Napa,CA,,1520 DIAMOND MOUNTAIN RD,Food Service,ABC License Data,INDEPENDENT
AUBERT WINES,CALISTOGA,Napa,CA,,333 SILVERADO TRL,Food Service,ABC License Data,INDEPENDENT
AUGUST BRIGGS WINERY,CALISTOGA,Napa,CA,,1307 LINCOLN AVE,Food Service,ABC License Data,INDEPENDENT
BARLOW VINEYARDS,CALISTOGA,Napa,CA,,4411 SILVERADO TRL,Bar,ABC License Data,INDEPENDENT
BATISTA WINE IMPORTS LLC,CALISTOGA,Napa,CA,,1471 1ST ST,Food Service,ABC License Data,INDEPENDENT
BENNETT LANE WINERY,CALISTOGA,Napa,CA,,3340 STATE HIGHWAY 128,Food Service,ABC License Data,INDEPENDENT
BETA-WINES,CALISTOGA,Napa,CA,,1999 DIAMOND MOUNTAIN RD,Food Service,ABC License Data,INDEPENDENT
BOATIQUE WINERY  LLC,CALISTOGA,Napa,CA,,965 SILVERADO TRL,Food Service,ABC License Data,INDEPENDENT
BURE FAMILY WINES,CALISTOGA,Napa,CA,,1171 TUBBS LN,Food Service,ABC License Data,INDEPENDENT
BUSTERS SOUTHERN BARBECUE,CALISTOGA,Napa,CA,,1207 FOOTHILL BLVD,Bar,ABC License Data,INDEPENDENT
C BECK WINERY/TIN MAN WINES,CALISTOGA,Napa,CA,,2424 JANIS WY,Food Service,ABC License Data,INDEPENDENT
CALISTOGA INN RESTAURANT & BREWERY,CALISTOGA,Napa,CA,,1250 LINCOLN AVE,Restaurant,ABC License Data,INDEPENDENT
CALISTOGA LIQUOR,CALISTOGA,Napa,CA,,1102 TUBBS LN,Food Service,ABC License Data,INDEPENDENT
CALISTOGA ORTHODOX WINES INC,CALISTOGA,Napa,CA,,1507 WASHINGTON ST,Food Service,ABC License Data,INDEPENDENT
CALISTOGA THAI KITCHEN,CALISTOGA,Napa,CA,,1359 LINCOLN AVE,Asian Restaurant,ABC License Data,INDEPENDENT
CALISTOGA WINE WAY INN,CALISTOGA,Napa,CA,,1019 FOOTHILL BLVD,Food Service,ABC License Data,INDEPENDENT
CASA DOMINGUEZ WINES,CALISTOGA,Napa,CA,,3070 OLD LAWLEY TOLL RD,Food Service,ABC License Data,INDEPENDENT
CLOS PEGASE WINERY,CALISTOGA,Napa,CA,,1060 DUNAWEAL LN,Food Service,ABC License Data,INDEPENDENT
CRESTA VELIA WINES,CALISTOGA,Napa,CA,,1413 EARL ST,Food Service,ABC License Data,INDEPENDENT
DEUTSCH FAMILY WINE & SPIRITS,CALISTOGA,Napa,CA,,1077 DUNAWEAL LN,Food Service,ABC License Data,INDEPENDENT
DIAMOND MOUNTAIN WINERY,CALISTOGA,Napa,CA,,2121 DIAMOND MOUNTAIN RD,Food Service,ABC License Data,INDEPENDENT
DOI DA WINES,CALISTOGA,Napa,CA,,1251 TUBBS LN,Food Service,ABC License Data,INDEPENDENT
ELUSA WINERY,CALISTOGA,Napa,CA,,400 SILVERADO TRL,Food Service,ABC License Data,INDEPENDENT
ENCROACHMENT WINES LLC,CALISTOGA,Napa,CA,,4708 SILVERADO TRAIL,Food Service,ABC License Data,INDEPENDENT
ENVY WINES,CALISTOGA,Napa,CA,,1170 TUBBS LN,Food Service,ABC License Data,INDEPENDENT
FAST GAS & MINI MART 2,CALISTOGA,Napa,CA,,1108 LINCOLN AVE,Food Service,ABC License Data,INDEPENDENT
FIVE SENSES NAPA VALLEY - MODERN JAPANESE,CALISTOGA,Napa,CA,,1227 LINCOLN AVE,Food Service,ABC License Data,INDEPENDENT
FORTUNATE SON WINES,CALISTOGA,Napa,CA,,3718 ST HELENA HWY N,Food Service,ABC License Data,INDEPENDENT
FTM WINE COMPANY LLC,CALISTOGA,Napa,CA,,4300 SILVERADO TRL,Food Service,ABC License Data,INDEPENDENT
FULTON FAMILY WINERY,CALISTOGA,Napa,CA,,263 PETRIFIED FOREST RD,Food Service,ABC License Data,INDEPENDENT
GARNET CREEK WINERY,CALISTOGA,Napa,CA,,2280 GREENWOOD AVE,Food Service,ABC License Data,INDEPENDENT
GIRARD WINERY,CALISTOGA,Napa,CA,,1077 DUNAWEAL LN,Food Service,ABC License Data,INDEPENDENT
GLOBAL WINE,CALISTOGA,Napa,CA,,3111 LAKE COUNTY HWY,Food Service,ABC License Data,INDEPENDENT
GLORIOUS REVOLUTION WINE,CALISTOGA,Napa,CA,,4199 HEITZ WAY,Food Service,ABC License Data,INDEPENDENT
GRIEVE FAMILY WINES,CALISTOGA,Napa,CA,,865 SILVERADO TRL,Food Service,ABC License Data,INDEPENDENT
GROW WINES,CALISTOGA,Napa,CA,,1599 LAKE ST,Food Service,ABC License Data,INDEPENDENT
HELENA VIEW JOHNSTON VINEYARDS WINERY,CALISTOGA,Napa,CA,,3500 STATE HIGHWAY 128,Food Service,ABC License Data,INDEPENDENT
HINDSIGHT WINES  HINDSIGHT VINEYARDS,CALISTOGA,Napa,CA,,2383 MORA AVE,Food Service,ABC License Data,INDEPENDENT
HINDSIGHTS WINES,CALISTOGA,Napa,CA,,2383 MORA AVE,Food Service,ABC License Data,INDEPENDENT
HOBEL WINES,CALISTOGA,Napa,CA,,1251 TUBBS LN,Food Service,ABC License Data,INDEPENDENT
HONOR WINERY,CALISTOGA,Napa,CA,,4550 SILVERADO TRL,Food Service,ABC License Data,INDEPENDENT
HOURGLASS WINE COMPANY,CALISTOGA,Napa,CA,,701 LOMMEL RD,Food Service,ABC License Data,INDEPENDENT
HYDRO GRILL,CALISTOGA,Napa,CA,,1403 LINCOLN AVE,Food Service,ABC License Data,INDEPENDENT
INIZI WINES,CALISTOGA,Napa,CA,,1703 MAGGIE AVE,Food Service,ABC License Data,INDEPENDENT
JOSEPH CELLARS WINERY,CALISTOGA,Napa,CA,,4455 SAINT HELENA HWY,Food Service,ABC License Data,INDEPENDENT
K.R. III NAPA WINES LLC,CALISTOGA,Napa,CA,,3887 SILVERADO TRL N,Food Service,ABC License Data,INDEPENDENT
KAISER FAMILY WINERY  INC,CALISTOGA,Napa,CA,,2280 GREENWOOD AVE,Food Service,ABC License Data,INDEPENDENT
KALM CELLARS @ CALISTOGA FARMERS MARKET,CALISTOGA,Napa,CA,,1311 WASHINGTON ST,Food Service,ABC License Data,INDEPENDENT
KENEFICK RANCH WINERY,CALISTOGA,Napa,CA,,2200 PICKETT RD,Food Service,ABC License Data,INDEPENDENT
KENEFICK RANCHES WINERY,CALISTOGA,Napa,CA,,4550 SILVERADO TRL,Food Service,ABC License Data,INDEPENDENT
KEYES WINE  LLC,CALISTOGA,Napa,CA,,1170 TUBBS LN,Food Service,ABC License Data,INDEPENDENT
KNIGHTS BRIDGE WINERY,CALISTOGA,Napa,CA,,17134 SPENCER LN,Food Service,ABC License Data,INDEPENDENT
KNIGHTS BRIDGE WINERY  LLC,CALISTOGA,Napa,CA,,17134 SPENCER LN,Food Service,ABC License Data,INDEPENDENT
KOCHANA WINES,CALISTOGA,Napa,CA,,8289 FRANZ VALLEY SCHOOL RD,Food Service,ABC License Data,INDEPENDENT
LA CORONA MARKET,CALISTOGA,Napa,CA,,1856 LINCOLN AVE,Food Service,ABC License Data,INDEPENDENT
LA PRIMA PIZZA,CALISTOGA,Napa,CA,,1923 LAKE ST,Food Service,ABC License Data,INDEPENDENT
LADERA WINERY,CALISTOGA,Napa,CA,,3942 SILVERADO TRL N,Food Service,ABC License Data,INDEPENDENT
LAURA MICHAEL WINES,CALISTOGA,Napa,CA,,2250 LAKE COUNTY HWY,Food Service,ABC License Data,INDEPENDENT
LAWER FAMILY WINERY INC,CALISTOGA,Napa,CA,,8910 FRANZ VALLEY SCHOOL RD,Food Service,ABC License Data,INDEPENDENT
LAWER FAMILY WINES @ CALISTOGA FARMERS MARKET,CALISTOGA,Napa,CA,,1235 WASHINGTON ST,Food Service,ABC License Data,INDEPENDENT
LOLA WINES,CALISTOGA,Napa,CA,,916 FOOTHILL BLVD,Food Service,ABC License Data,INDEPENDENT
MACAULEY WINE CORPORATION,CALISTOGA,Napa,CA,,4708 SILVERADO TRAIL,Food Service,ABC License Data,INDEPENDENT
MANDET WINES,CALISTOGA,Napa,CA,,1251 TUBBS LN,Food Service,ABC License Data,INDEPENDENT
MARIA CONCETTO WINERY  INC.,CALISTOGA,Napa,CA,,1367 LINCOLN AVE,Food Service,ABC License Data,INDEPENDENT
MARNET WINES,CALISTOGA,Napa,CA,,1572 CENTENNIAL CIR,Food Service,ABC License Data,INDEPENDENT
MC WINES LLC,CALISTOGA,Napa,CA,,1170 TUBBS LN,Food Service,ABC License Data,INDEPENDENT
MONTESQUIEU WINERY,CALISTOGA,Napa,CA,,4550 SILVERADO TRL,Food Service,ABC License Data,INDEPENDENT
NEOTEMPO WINES,CALISTOGA,Napa,CA,,701 LOMMEL RD,Food Service,ABC License Data,INDEPENDENT
NEXT DOOR WINE,CALISTOGA,Napa,CA,,3111 LAKE COUNTY HWY,Food Service,ABC License Data,INDEPENDENT
NIMROD WINES  LLC,CALISTOGA,Napa,CA,,1471 1ST ST,Food Service,ABC License Data,INDEPENDENT
NOAH RIVER WINES LLC,CALISTOGA,Napa,CA,,2450 FOOTHILL BLVD,Food Service,ABC License Data,INDEPENDENT
OFF ROUTE WINE COMPANY LLC,CALISTOGA,Napa,CA,,1611 HARLEY ST,Food Service,ABC License Data,INDEPENDENT
OTRA VEZ WINERY,CALISTOGA,Napa,CA,,2280 GREENWOOD AVE,Food Service,ABC License Data,INDEPENDENT
PACIFICO RESTAURANTE MEXICANO,CALISTOGA,Napa,CA,,1237 LINCOLN AVE,Mexican Restaurant,ABC License Data,INDEPENDENT
PALISADES WINE COMPANY,CALISTOGA,Napa,CA,,3130 OLD LAWLEY TOLL RD,Food Service,ABC License Data,INDEPENDENT
PAOLETTI ESTATES WINERY,CALISTOGA,Napa,CA,,4501 SILVERADO TRL,Food Service,ABC License Data,INDEPENDENT
PARADY FAMILY WINES,CALISTOGA,Napa,CA,,1124 LINCOLN AVE,Food Service,ABC License Data,INDEPENDENT
PETER MICHAEL WINERY,CALISTOGA,Napa,CA,,12400 IDA CLAYTON RD,Food Service,ABC License Data,INDEPENDENT
PHIFER PAVITT WINES,CALISTOGA,Napa,CA,,4660 SILVERADO TRL,Food Service,ABC License Data,INDEPENDENT
PICKETT ACRE WINES,CALISTOGA,Napa,CA,,2395 PICKETT RD,Food Service,ABC License Data,INDEPENDENT
PICKETT ROAD WINE COMPANY,CALISTOGA,Napa,CA,,2339 PICKETT RD,Food Service,ABC License Data,INDEPENDENT
POGGI WINES  LLC,CALISTOGA,Napa,CA,,30 ROSEDALE RD,Food Service,ABC License Data,INDEPENDENT
PUERTO VALLARTA MARKET,CALISTOGA,Napa,CA,,1009 FOOTHILL BLVD,Food Service,ABC License Data,INDEPENDENT
PWR WINES,CALISTOGA,Napa,CA,,1311 PINE ST,Food Service,ABC License Data,INDEPENDENT
RARECAT WINES,CALISTOGA,Napa,CA,,965 SILVERADO TRL,Food Service,ABC License Data,INDEPENDENT
RESORT AT INDIAN SPRINGS LLC,CALISTOGA,Napa,CA,,1712 LINCOLN AVE,Food Service,ABC License Data,INDEPENDENT
REVERIE WINERY,CALISTOGA,Napa,CA,,1520 DIAMOND MOUNTAIN RD,Food Service,ABC License Data,INDEPENDENT
RIOS WINE COMPANY LLC,CALISTOGA,Napa,CA,,3070 OLD LAWLEY TOLL RD,Food Service,ABC License Data,INDEPENDENT
RIVERS-MARIE WINES,CALISTOGA,Napa,CA,,900 FOOTHILL BLVD,Food Service,ABC License Data,INDEPENDENT
RJS BOUTIQUE WINES LLC,CALISTOGA,Napa,CA,,3190 HIGHWAY 128,Food Service,ABC License Data,INDEPENDENT
ROB LAWSON WINES,CALISTOGA,Napa,CA,,965 SILVERADO TRL,Food Service,ABC License Data,INDEPENDENT
RUBIO FAMILY WINES  LLC,CALISTOGA,Napa,CA,,4395 SCOTT WAY,Food Service,ABC License Data,INDEPENDENT
SARAFORNIA CAFE INC,CALISTOGA,Napa,CA,,1413 LINCOLN AVE,Restaurant,ABC License Data,INDEPENDENT
SCARLETT WINES,CALISTOGA,Napa,CA,,1251 TUBBS LN,Food Service,ABC License Data,INDEPENDENT
SCULATTI WINE,CALISTOGA,Napa,CA,,1124 LINCOLN AVE,Food Service,ABC License Data,INDEPENDENT
SELAH WINES,CALISTOGA,Napa,CA,,1127  MAPLE LN,Food Service,ABC License Data,INDEPENDENT
SEPIA WINES  LLC,CALISTOGA,Napa,CA,,817 LOMMEL RD,Food Service,ABC License Data,INDEPENDENT
SILVER OAK WINE CELLARS,CALISTOGA,Napa,CA,,1183 DUNAWEAL LN,Food Service,ABC License Data,INDEPENDENT
SOLORIO FAMILY WINES,CALISTOGA,Napa,CA,,2280 GREENWOOD AVE,Food Service,ABC License Data,INDEPENDENT
SOMNIUM WINE COMPANY  LLC,CALISTOGA,Napa,CA,,1307 LINCOLN AVE,Food Service,ABC License Data,INDEPENDENT
STORMY WEATHER WINE LLC,CALISTOGA,Napa,CA,,3750 SILVERADO TRL,Food Service,ABC License Data,INDEPENDENT
STORYBOOK MOUNTAIN WINERY,CALISTOGA,Napa,CA,,3835 STATE HIGHWAY 128,Food Service,ABC License Data,INDEPENDENT
SUSHI MAMBO,CALISTOGA,Napa,CA,,1631 LINCOLN AVE,Food Service,ABC License Data,INDEPENDENT
SWANSON VINEYARDS AND WINERY,CALISTOGA,Napa,CA,,1077 DUNAWEAL LN,Food Service,ABC License Data,INDEPENDENT
T BERKLEY WINES,CALISTOGA,Napa,CA,,4451 N ST HELENA HWY,Food Service,ABC License Data,INDEPENDENT
T-VINE WINERY,CALISTOGA,Napa,CA,,810 FOOTHILL BLVD,Food Service,ABC License Data,INDEPENDENT
TANK GARAGE WINERY,CALISTOGA,Napa,CA,,1020 FOOTHILL BLVD,Food Service,ABC License Data,INDEPENDENT
TEACHWORTH WINERY,CALISTOGA,Napa,CA,,4451 N ST HELENA HWY,Food Service,ABC License Data,INDEPENDENT
TEDESCHI FAMILY WINERY,CALISTOGA,Napa,CA,,2779 GRANT ST,Food Service,ABC License Data,INDEPENDENT
TENUTA FOPPA & AMBROSI WINES  LLC,CALISTOGA,Napa,CA,,1380 TUCKER RD,Food Service,ABC License Data,INDEPENDENT
TOFANELLI WINES,CALISTOGA,Napa,CA,,1212 PINE ST,Food Service,ABC License Data,INDEPENDENT
TOM EDDY WINES,CALISTOGA,Napa,CA,,3870 STATE HIGHWAY 128,Food Service,ABC License Data,INDEPENDENT
TUMULT WINES,CALISTOGA,Napa,CA,,8300 FRANZ VALLEY SCHOOL RD,Food Service,ABC License Data,INDEPENDENT
UPPER VALLEY BARREL STORAGE,CALISTOGA,Napa,CA,,3 IDA LN,Bar,ABC License Data,INDEPENDENT
UPROOT WINES,CALISTOGA,Napa,CA,,965 SILVERADO TRL,Food Service,ABC License Data,INDEPENDENT
VENDING MACHINE WINERY  LLC,CALISTOGA,Napa,CA,,1471 1ST ST,Food Service,ABC License Data,INDEPENDENT
