name,dba,primary,city,county,state,zip,address,license_type,license_num,expiry
MOUNTAIN MIKES PIZZA,MOUNTAIN MIKES PIZZA,AMERICAN CANYON MMP INC,AMERICAN CANYON,Napa,CA,94503-1281,410 NAPA JUNCTION RD,41,00593812,30-JUN-2026
NAKEDWINES.COM,NAKEDWINES.COM,NAKEDWINES.COM  INC.,AMERICAN CANYON,Napa,CA,94503-5105,677 HANNA DR,02,00604088,30-JUN-2027
NAKEDWINES.COM,NAKEDWINES.COM,NAKEDWINES.COM  INC.,AMERICAN CANYON,Napa,CA,94503-5105,677 HANNA DR,09,00604088,30-JUN-2027
NAPA VALLEJO FLEA MARKET,NAPA VALLEJO FLEA MARKET,HARDING  HARRY NELSON,AMERICAN CANYON,Napa,CA,94503,303 S KELLY RD,40,00028999,30-SEP-2026
NORTHWEST WINES LTD,NORTHWEST WINES LTD,NORTHWEST WINES LTD,AMERICAN CANYON,Napa,CA,94503-9639,1200 GREEN ISLAND RD,17,00660821,31-JUL-2026
NORTHWEST WINES LTD,NORTHWEST WINES LTD,NORTHWEST WINES LTD,AMERICAN CANYON,Napa,CA,94503-9639,1200 GREEN ISLAND RD,09,00660821,31-JUL-2026
ONE-TEN RESTAURANT AND BAR LLC,,ONE-TEN RESTAURANT AND BAR LLC,AMERICAN CANYON,Napa,CA,94503-4196,110 W AMERICAN CANYON RD,47,00660459,31-OCT-2026
PARRY MARKET,PARRY MARKET,PARRY MARKET,AMERICAN CANYON,Napa,CA,94503-3004,234 AMERICAN CANYON RD,21,00646267,31-JUL-2026
PARRYS PIZZERIA RESTAURANT,PARRYS PIZZERIA RESTAURANT,KAUR  MANDEEP,AMERICAN CANYON,Napa,CA,94503,234 AMERICAN CANYON RD,41,00535744,31-AUG-2026
PLATA WINE PARTNERS,PLATA WINE PARTNERS,PLATA WINE PARTNERS LLC,AMERICAN CANYON,Napa,CA,94508,205 JIM OSWALT WAY,02,00448351,
PLATA WINE PARTNERS,PLATA WINE PARTNERS,PLATA WINE PARTNERS LLC,AMERICAN CANYON,Napa,CA,94503-5105,677 HANNA DR,02,00589045,
PLATA WINE PARTNERS,PLATA WINE PARTNERS,PLATA WINE PARTNERS LLC,AMERICAN CANYON,Napa,CA,94503-5105,677 HANNA DR,02,00589045,30-JUN-2027
PLATA WINE PARTNERS,PLATA WINE PARTNERS,PLATA WINE PARTNERS LLC,AMERICAN CANYON,Napa,CA,94508,205 JIM OSWALT WAY,02,00448351,
PRECEPT WINE,PRECEPT WINE,PRECEPT BRANDS LLC,AMERICAN CANYON,Napa,CA,94503-9681,700 HANNA DRIVE,13,00557330,30-JUN-2027
PRECEPT WINE,PRECEPT WINE,PRECEPT BRANDS LLC,AMERICAN CANYON,Napa,CA,94503-9681,700 HANNA DRIVE,17,00557330,30-JUN-2027
PRECEPT WINE,PRECEPT WINE,PRECEPT BRANDS LLC,AMERICAN CANYON,Napa,CA,94503-9681,700 HANNA DRIVE,09,00557330,30-JUN-2027
PRESTIGE WINE CO,PRESTIGE WINE CO,PRESTIGE WORLDWIDE WINE COMPANY LLC,AMERICAN CANYON,Napa,CA,94503-5105,677 HANNA DR,02,00627835,30-JUN-2026
PURPLE WINE AND SPIRITS,PURPLE WINE AND SPIRITS,PURPLE WINE COMPANY  LLC,AMERICAN CANYON,Napa,CA,94503-9695,205 JIM OSWALT WY,02,00552050,
PURPLE WINES,PURPLE WINES,PURPLE WINE COMPANY  LLC,AMERICAN CANYON,Napa,CA,94503-9621,1166 COMMERCE BLVD,09,00657403,
PURPLE WINES,PURPLE WINES,PURPLE WINE COMPANY  LLC,AMERICAN CANYON,Napa,CA,94503-9621,1166 COMMERCE BLVD,02,00657403,
PURPLE WINES,PURPLE WINES,PURPLE WINE COMPANY  LLC,AMERICAN CANYON,Napa,CA,94503-9621,1166 COMMERCE BLVD,09,00657403,30-JUN-2027
PURPLE WINES,PURPLE WINES,PURPLE WINE COMPANY  LLC,AMERICAN CANYON,Napa,CA,94503-9621,1166 COMMERCE BLVD,02,00657403,30-JUN-2027
RANCHO UVA BLANKA FAMILY WINES,RANCHO UVA BLANKA FAMILY WINES,RODRIGUEZ  BILLY,AMERICAN CANYON,Napa,CA,94573-1206,111 HOLCOMB LN,17,00602844,28-FEB-2027
RANCHO UVA BLANKA FAMILY WINES,RANCHO UVA BLANKA FAMILY WINES,RODRIGUEZ  BILLY,AMERICAN CANYON,Napa,CA,94573-1206,111 HOLCOMB LN,20,00602844,28-FEB-2027
ROUND TABLE PIZZA,ROUND TABLE PIZZA,BABAK ENTERPRISES INC,AMERICAN CANYON,Napa,CA,94503,5055 MAIN ST,41,00443940,30-SEP-2026
SAN FRANCISCO WINE EXCHANGE,SAN FRANCISCO WINE EXCHANGE,SAN FRANCISCO WINE EXCHANGE INC THE,AMERICAN CANYON,Napa,CA,94503-5106,644 HANNA DR,13,00539370,
SERENDIPITY WINES WC  LLC,SERENDIPITY WINES WC  LLC,SERENDIPITY WINES WC  LLC,AMERICAN CANYON,Napa,CA,94503-9639,1200 GREEN ISLAND RD,18,00651399,31-JAN-2027
SERENDIPITY WINES WC  LLC,SERENDIPITY WINES WC  LLC,SERENDIPITY WINES WC  LLC,AMERICAN CANYON,Napa,CA,94503-9639,1200 GREEN ISLAND RD,12,00651399,31-JAN-2027
SOKOL BLOSSER WINERY,SOKOL BLOSSER WINERY,SOKOL BLOSSER LTD,AMERICAN CANYON,Napa,CA,94503,760-820 HANNA DR,10,00579649,30-SEP-2026
SONOMA WINE COMPANY,SONOMA WINE COMPANY,SONOMA WINE COMPANY  LLC,AMERICAN CANYON,Napa,CA,94503-9624,205 JIM OSWALT WAY,02,00522702,
SONOMA WINE COMPANY,SONOMA WINE COMPANY,SONOMA WINE COMPANY  LLC,AMERICAN CANYON,Napa,CA,94503-9624,205 JIM OSWALT WAY,06,00522702,
SOUTH KELLY GRILL,SOUTH KELLY GRILL,KILLIAN  ELIZABETH KATHERN,AMERICAN CANYON,Napa,CA,94503,101 CAFE CT,41,00577824,28-FEB-2027
SOUTHERN WINE GROUP  LLC,SOUTHERN WINE GROUP  LLC,SOUTHERN WINE GROUP  LLC,AMERICAN CANYON,Napa,CA,94503-9611,1275 COMMERCE BLVD,17,00426583,30-JUN-2027
SOUTHERN WINE GROUP  LLC,SOUTHERN WINE GROUP  LLC,SOUTHERN WINE GROUP  LLC,AMERICAN CANYON,Napa,CA,94503-9611,1275 COMMERCE BLVD,20,00426583,30-JUN-2027
SOUTHERN WINE GROUP  LLC,SOUTHERN WINE GROUP  LLC,SOUTHERN WINE GROUP  LLC,AMERICAN CANYON,Napa,CA,94503-9611,1275 COMMERCE BLVD,09,00426583,30-JUN-2027
SPRINGBOARD WINE COMPANY,SPRINGBOARD WINE COMPANY,SPRINGBOARD WINE COMPANY LLC,AMERICAN CANYON,Napa,CA,94503-9639,1200 GREEN ISLAND RD,18,00615547,31-MAR-2027
SPRINGBOARD WINE COMPANY,SPRINGBOARD WINE COMPANY,SPRINGBOARD WINE COMPANY LLC,AMERICAN CANYON,Napa,CA,94503-9639,1200 GREEN ISLAND RD,12,00615547,31-MAR-2027
STOVER OAKS VINEYARD & WINERY,STOVER OAKS VINEYARD & WINERY,BLACKTHORN ENTERPRISES INC,AMERICAN CANYON,Napa,CA,94503-3164,102 GOLD VALLEY CT,02,00526589,30-JUN-2026
SUNRISE RANCH WINERY,SUNRISE RANCH WINERY,LAIRD FAMILY ESTATE LLC,AMERICAN CANYON,Napa,CA,94503-9697,1 KIRKLAND RANCH RD,02,00588793,30-JUN-2027
SUTTER HOME WINERY,SUTTER HOME WINERY,SUTTER HOME WINERY INC,AMERICAN CANYON,Napa,CA,94503-9637,303 GREEN ISLAND RD,02,00242717,
SUTTER HOME WINERY,SUTTER HOME WINERY,SUTTER HOME WINERY INC,AMERICAN CANYON,Napa,CA,94503-9637,303 GREEN ISLAND RD,02,00242717,30-JUN-2027
SUTTER HOME WINERY,SUTTER HOME WINERY,SUTTER HOME WINERY INC,AMERICAN CANYON,Napa,CA,94503-9637,303 GREEN ISLAND RD,18,00242717,31-JUL-2027
SUTTER HOME WINERY,SUTTER HOME WINERY,SUTTER HOME WINERY INC,AMERICAN CANYON,Napa,CA,94503-9637,303 GREEN ISLAND RD,24,00242717,28-FEB-2027
SUTTER HOME WINERY,SUTTER HOME WINERY,SUTTER HOME WINERY INC,AMERICAN CANYON,Napa,CA,94503-9637,303 GREEN ISLAND RD,14,00242717,31-OCT-2026
SUTTER HOME WINERY,SUTTER HOME WINERY,SUTTER HOME WINERY INC,AMERICAN CANYON,Napa,CA,94503-9637,303 GREEN ISLAND RD,12,00242717,31-JUL-2027
SWIRL WINE BROKERS INC,,SWIRL WINE BROKERS INC,AMERICAN CANYON,Napa,CA,94503-5103,644 HANNA DR.,17,00567098,31-MAY-2026
SWIRL WINE BROKERS INC,,SWIRL WINE BROKERS INC,AMERICAN CANYON,Napa,CA,94503-5103,644 HANNA DR.,09,00567098,31-MAY-2026
TACOS MICHOACHAN 2,TACOS MICHOACHAN 2,RUEDA ARREOLA  JOSE N,AMERICAN CANYON,Napa,CA,94503-9659,3945 BROADWAY ST,41,00547754,31-AUG-2026
THAI KITCHEN RESTAURANT,THAI KITCHEN RESTAURANT,THAI KITCHEN AM CAN,AMERICAN CANYON,Napa,CA,94503-1253,3425 BROADWAY ST,41,00560017,31-JAN-2027
TRI-VIN WINES AND SPIRITS,TRI-VIN WINES AND SPIRITS,TRI-VIN IMPORTS  INC.,AMERICAN CANYON,Napa,CA,94503-9626,1155 COMMERCE BLVD,17,00659201,31-JAN-2027
TRI-VIN WINES AND SPIRITS,TRI-VIN WINES AND SPIRITS,TRI-VIN IMPORTS  INC.,AMERICAN CANYON,Napa,CA,94503-9626,1155 COMMERCE BLVD,18,00659201,31-JAN-2027
TRI-VIN WINES AND SPIRITS,TRI-VIN WINES AND SPIRITS,TRI-VIN IMPORTS  INC.,AMERICAN CANYON,Napa,CA,94503-9626,1155 COMMERCE BLVD,09,00659201,31-JAN-2027
TRI-VIN WINES AND SPIRITS,TRI-VIN WINES AND SPIRITS,TRI-VIN IMPORTS  INC.,AMERICAN CANYON,Napa,CA,94503-9626,1155 COMMERCE BLVD,12,00659201,31-JAN-2027
USA WINE WEST,USA WINE WEST,USA WINE WEST  LLC,AMERICAN CANYON,Napa,CA,94503-9639,1200 GREEN ISLAND RD,12,00594958,
USA WINE WEST,USA WINE WEST,USA WINE WEST  LLC,AMERICAN CANYON,Napa,CA,94503-9639,1200 GREEN ISLAND RD,09,00594958,
USA WINE WEST,USA WINE WEST,USA WINE WEST  LLC,AMERICAN CANYON,Napa,CA,94503-9639,1200 GREEN ISLAND RD,18,00594958,
USA WINE WEST,USA WINE WEST,USA WINE WEST  LLC,AMERICAN CANYON,Napa,CA,94503-9639,1200 GREEN ISLAND RD,17,00594958,
USA WINE WEST,USA WINE WEST,USA WINE WEST  LLC,AMERICAN CANYON,Napa,CA,94503-9639,1200 GREEN ISLAND RD,18,00594958,30-APR-2027
USA WINE WEST,USA WINE WEST,USA WINE WEST  LLC,AMERICAN CANYON,Napa,CA,94503-9639,1200 GREEN ISLAND RD,17,00594958,30-SEP-2026
USA WINE WEST,USA WINE WEST,USA WINE WEST  LLC,AMERICAN CANYON,Napa,CA,94503-9639,1200 GREEN ISLAND RD,12,00594958,30-APR-2027
USA WINE WEST,USA WINE WEST,USA WINE WEST  LLC,AMERICAN CANYON,Napa,CA,94503-9639,1200 GREEN ISLAND RD,09,00594958,30-SEP-2026
VALENTINA'S KITCHEN,VALENTINA'S KITCHEN,VALENTINA'S KITCHEN  LLC,AMERICAN CANYON,Napa,CA,94503-4195,100 W AMERICAN CANYON RD,41,00656243,30-APR-2027
VALLEY WINE WAREHOUSE,VALLEY WINE WAREHOUSE,H P D CONSOLIDATION INC,AMERICAN CANYON,Napa,CA,94503-9667,175 TOWER RD,14,00352158,30-APR-2027
VALLEY WINE WAREHOUSE,VALLEY WINE WAREHOUSE,H P D CONSOLIDATION INC,AMERICAN CANYON,Napa,CA,94503-9667,175 TOWER RD,22,00352158,30-JUN-2026
VALLEY WINE WAREHOUSE,VALLEY WINE WAREHOUSE,H P D CONSOLIDATION INC,AMERICAN CANYON,Napa,CA,94503-5106,644 HANNA DR,22,00470585,30-JUN-2026
VALLEY WINE WAREHOUSE,VALLEY WINE WAREHOUSE,H P D CONSOLIDATION INC,AMERICAN CANYON,Napa,CA,94503-5152,677 HANNA DR,14,00480778,31-OCT-2026
VALLEY WINE WAREHOUSE,VALLEY WINE WAREHOUSE,H P D CONSOLIDATION INC,AMERICAN CANYON,Napa,CA,94503-5152,677 HANNA DR,22,00480778,30-JUN-2026
VALLEY WINE WAREHOUSE,VALLEY WINE WAREHOUSE,H P D CONSOLIDATION INC,AMERICAN CANYON,Napa,CA,94503-1716,265 LOMBARD RD,22,00559292,30-JUN-2026
VALLEY WINE WAREHOUSE,VALLEY WINE WAREHOUSE,H P D CONSOLIDATION INC,AMERICAN CANYON,Napa,CA,94503-9670,75 S KELLY RD,22,00579722,30-JUN-2026
VINITY WINE COMPANY,VINITY WINE COMPANY,VINITY WINE COMPANY INC,AMERICAN CANYON,Napa,CA,94503-9639,1200 GREEN ISLAND RD,17,00607501,30-JUN-2027
VINITY WINE COMPANY,VINITY WINE COMPANY,VINITY WINE COMPANY INC,AMERICAN CANYON,Napa,CA,94503-9639,1200 GREEN ISLAND RD,18,00607501,30-JUN-2027
VINITY WINE COMPANY,VINITY WINE COMPANY,VINITY WINE COMPANY INC,AMERICAN CANYON,Napa,CA,94503-9639,1200 GREEN ISLAND RD,09,00607501,30-JUN-2027
VINITY WINE COMPANY,VINITY WINE COMPANY,VINITY WINE COMPANY INC,AMERICAN CANYON,Napa,CA,94503-9639,1200 GREEN ISLAND RD,12,00607501,30-JUN-2027
WAUGH FAMILY WINES,WAUGH FAMILY WINES,JC WAUGH WINE CO LLC,AMERICAN CANYON,Napa,CA,94503-1298,100 NAPA JUNCTION RD,02,00640959,30-JUN-2027
WESTERN WINE SERVICES INC,WESTERN WINE SERVICES INC,WESTERN WINE SERVICES INC,AMERICAN CANYON,Napa,CA,94503-9611,1275 COMMERCE BLVD,22,00342489,30-JUN-2027
WESTERN WINE SERVICES INC,WESTERN WINE SERVICES INC,WESTERN WINE SERVICES INC,AMERICAN CANYON,Napa,CA,94503,760-820 HANNA DR,22,00315867,30-JUN-2027
WESTERN WINE SERVICES INC,WESTERN WINE SERVICES INC,WESTERN WINE SERVICES INC,AMERICAN CANYON,Napa,CA,94503,760-820 HANNA DR,14,00315867,31-MAY-2027
WESTERN WINE SERVICES INC,,WESTERN WINE SERVICES INC,AMERICAN CANYON,Napa,CA,94503-9605,880 HANNA DR,22,00482602,30-JUN-2027
WESTERN WINE SERVICES INC,WESTERN WINE SERVICES INC,WESTERN WINE SERVICES INC,AMERICAN CANYON,Napa,CA,94503,125 MEZZETTA CT,22,00356017,30-JUN-2027
WESTERN WINE SERVICES INC,,WESTERN WINE SERVICES INC,AMERICAN CANYON,Napa,CA,94503-9626,1155 COMMERCE BLVD,22,00482587,30-JUN-2027
WESTERN WINE SERVICES INC,,WESTERN WINE SERVICES INC,AMERICAN CANYON,Napa,CA,94503-9606,875 HANNA DR,22,00247182,30-JUN-2027
WESTERN WINE SERVICES INC,,WESTERN WINE SERVICES INC,AMERICAN CANYON,Napa,CA,94503-9606,875 HANNA DR,14,00247182,28-FEB-2027
WESTERN WINE SERVICES INC,,WESTERN WINE SERVICES INC,AMERICAN CANYON,Napa,CA,94503-1394,100 JIM OSWALT WAY,22,00608834,30-JUN-2027
WESTERN WINE SERVICES INC,,WESTERN WINE SERVICES INC,AMERICAN CANYON,Napa,CA,94503-9500,1005 COMMERCE CT,22,00624218,30-JUN-2027
WESTERN WINE SERVICES INC,,WESTERN WINE SERVICES INC,AMERICAN CANYON,Napa,CA,94503-9500,1005 COMMERCE CT,14,00624218,31-MAY-2027
WESTERN WINE SERVICES INC,,WESTERN WINE SERVICES INC,AMERICAN CANYON,Napa,CA,94503-9626,1155 COMMERCE BLVD,14,00482587,28-FEB-2027
WILLIAM & MARY WINE COMPANY,WILLIAM & MARY WINE COMPANY,SEGUI FAMILY WINE COMPANY  LLC,AMERICAN CANYON,Napa,CA,94503-5106,644 HANNA DR,17,00575978,30-NOV-2026
WILLIAM & MARY WINE COMPANY,WILLIAM & MARY WINE COMPANY,SEGUI FAMILY WINE COMPANY  LLC,AMERICAN CANYON,Napa,CA,94503-5106,644 HANNA DR,20,00575978,30-NOV-2026
WINE SOURCE GROUP LLC,WINE SOURCE GROUP LLC,WINE SOURCE GROUP LLC,AMERICAN CANYON,Napa,CA,94503-9606,875 HANNA DR,17,00561449,30-APR-2027
WINE SOURCE GROUP LLC,WINE SOURCE GROUP LLC,WINE SOURCE GROUP LLC,AMERICAN CANYON,Napa,CA,94503-9606,875 HANNA DR,09,00561449,30-APR-2027
WINE SPOTS CELLARS,WINE SPOTS CELLARS,WINE SPOTS CELLARS  INC.,AMERICAN CANYON,Napa,CA,94503,801 HANNA DR,17,00608460,31-JUL-2026
WINE SPOTS CELLARS,WINE SPOTS CELLARS,WINE SPOTS CELLARS  INC.,AMERICAN CANYON,Napa,CA,94503,801 HANNA DR,20,00608460,31-JUL-2026
WINE SPOTS CELLARS,WINE SPOTS CELLARS,WINE SPOTS CELLARS  INC.,AMERICAN CANYON,Napa,CA,94503,801 HANNA DR,09,00608460,31-JUL-2026
WINEDIRECT,WINEDIRECT,WINEDIRECT  INC.,AMERICAN CANYON,Napa,CA,94503-9649,450 GREEN ISLAND RD,14,00581236,31-DEC-2026
WINESOURCE INTERNATIONAL,WINESOURCE INTERNATIONAL,WI  INC. DBA WINESOURCE INTERNATIONAL,AMERICAN CANYON,Napa,CA,94503-9611,1275 COMMERCE BLVD,10,00522301,30-JUN-2027
WINESU,WINESU,WINES UNLIMITED INC,AMERICAN CANYON,Napa,CA,94503-9611,1275 COMMERCE BLVD,10,00534781,31-AUG-2026
WINGSTOP 418,WINGSTOP 418,WINGSINGH - AC  INC,AMERICAN CANYON,Napa,CA,94503-1199,5075 MAIN ST,41,00601700,31-AUG-2026
ADAMVS WINERY,ADAMVS WINERY,ADAMVS LLC,ANGWIN,Napa,CA,94508-9768,501 WHITE COTTAGE RD N,02,00469425,
ADAMVS WINERY,ADAMVS WINERY,ADAMVS LLC,ANGWIN,Napa,CA,94508-9768,501 WHITE COTTAGE RD N,02,00469425,30-JUN-2027
ADAMVS WINERY,ADAMVS WINERY,ADAMVS LLC,ANGWIN,Napa,CA,94508-9768,501 WHITE COTTAGE RD N,02,00664971,30-JUN-2027
ADAMVS WINERY,ADAMVS WINERY,ADAMVS LLC,ANGWIN,Napa,CA,94508-9768,501 WHITE COTTAGE RD N,09,00469425,30-JUN-2027
